run_id,binary,compiler,level,cpu,seed,rounds,warmup_rounds,min_log2,max_log2,step_log2,target_log2
1,build/bench-gcc-O2,gcc,O2,11,20260916,2,1,4,8,2,10
2,build/bench-clang-O2,clang,O2,11,20260916,2,1,4,8,2,10
3,build/bench-clang-O0,clang,O0,11,20260916,2,1,4,8,2,10
4,build/bench-clang-O3,clang,O3,11,20260916,2,1,4,8,2,10
5,build/bench-gcc-O1,gcc,O1,11,20260916,2,1,4,8,2,10
6,build/bench-gcc-O3,gcc,O3,11,20260916,2,1,4,8,2,10
7,build/bench-clang-O1,clang,O1,11,20260916,2,1,4,8,2,10
8,build/bench-gcc-O0,gcc,O0,11,20260916,2,1,4,8,2,10
