run_id,level,seed,sample,round,phase,position,label,n,calls,elapsed_ns,cpu_before,cpu_after,result,expected
8,gcc-O0,20260916,0,0,warmup,0,sum_array_bis,16,64,3216,11,11,322597332075875456,322597332075875456
8,gcc-O0,20260916,1,0,warmup,1,sum_array_bis,256,4,3129,11,11,1886021557338955696,1886021557338955696
8,gcc-O0,20260916,2,0,warmup,2,sum_array_twice,64,16,6151,11,11,18426378299932135648,18426378299932135648
8,gcc-O0,20260916,3,0,warmup,3,sum_array_twice,256,4,6921,11,11,3772043114677911392,3772043114677911392
8,gcc-O0,20260916,4,0,warmup,4,sum_indices,16,64,2766,11,11,7680,7680
8,gcc-O0,20260916,5,0,warmup,5,sum_array,64,16,3463,11,11,18436561186820843632,18436561186820843632
8,gcc-O0,20260916,6,0,warmup,6,sum_array,16,64,2998,11,11,322597332075875456,322597332075875456
8,gcc-O0,20260916,7,0,warmup,7,sum_array_twice,16,64,5791,11,11,645194664151750912,645194664151750912
8,gcc-O0,20260916,8,0,warmup,8,sum_array_bis,64,16,3136,11,11,18436561186820843632,18436561186820843632
8,gcc-O0,20260916,9,0,warmup,9,sum_discarded,64,16,2636,11,11,0,0
8,gcc-O0,20260916,10,0,warmup,10,sum_indices,64,16,3206,11,11,32256,32256
8,gcc-O0,20260916,11,0,warmup,11,sum_array,256,4,3230,11,11,1886021557338955696,1886021557338955696
8,gcc-O0,20260916,12,0,warmup,12,sum_indices,256,4,3604,11,11,130560,130560
8,gcc-O0,20260916,13,0,warmup,13,sum_discarded,16,64,2981,11,11,0,0
8,gcc-O0,20260916,14,0,warmup,14,sum_discarded,256,4,3412,11,11,0,0
8,gcc-O0,20260916,15,1,measure,0,sum_array,64,16,3098,11,11,18436561186820843632,18436561186820843632
8,gcc-O0,20260916,16,1,measure,1,sum_discarded,256,4,3197,11,11,0,0
8,gcc-O0,20260916,17,1,measure,2,sum_discarded,16,64,2991,11,11,0,0
8,gcc-O0,20260916,18,1,measure,3,sum_indices,256,4,3584,11,11,130560,130560
8,gcc-O0,20260916,19,1,measure,4,sum_discarded,64,16,3704,11,11,0,0
8,gcc-O0,20260916,20,1,measure,5,sum_array_twice,64,16,6388,11,11,18426378299932135648,18426378299932135648
8,gcc-O0,20260916,21,1,measure,6,sum_array,256,4,3196,11,11,1886021557338955696,1886021557338955696
8,gcc-O0,20260916,22,1,measure,7,sum_array_bis,256,4,3097,11,11,1886021557338955696,1886021557338955696
8,gcc-O0,20260916,23,1,measure,8,sum_array_twice,16,64,5655,11,11,645194664151750912,645194664151750912
8,gcc-O0,20260916,24,1,measure,9,sum_array_bis,64,16,3573,11,11,18436561186820843632,18436561186820843632
8,gcc-O0,20260916,25,1,measure,10,sum_array_twice,256,4,6607,11,11,3772043114677911392,3772043114677911392
8,gcc-O0,20260916,26,1,measure,11,sum_array_bis,16,64,2987,11,11,322597332075875456,322597332075875456
8,gcc-O0,20260916,27,1,measure,12,sum_indices,16,64,2787,11,11,7680,7680
8,gcc-O0,20260916,28,1,measure,13,sum_array,16,64,3019,11,11,322597332075875456,322597332075875456
8,gcc-O0,20260916,29,1,measure,14,sum_indices,64,16,3679,11,11,32256,32256
