run_id,level,seed,sample,round,phase,position,label,n,calls,elapsed_ns,cpu_before,cpu_after,result,expected
2,clang-O2,20260916,0,0,warmup,0,sum_indices,64,16,227,11,11,32256,32256
2,clang-O2,20260916,1,0,warmup,1,sum_discarded,16,64,241,11,11,0,0
2,clang-O2,20260916,2,0,warmup,2,sum_array_bis,64,16,411,11,11,18436561186820843632,18436561186820843632
2,clang-O2,20260916,3,0,warmup,3,sum_array_bis,16,64,532,11,11,322597332075875456,322597332075875456
2,clang-O2,20260916,4,0,warmup,4,sum_discarded,64,16,150,11,11,0,0
2,clang-O2,20260916,5,0,warmup,5,sum_array_twice,16,64,1076,11,11,645194664151750912,645194664151750912
2,clang-O2,20260916,6,0,warmup,6,sum_array_twice,256,4,651,11,11,3772043114677911392,3772043114677911392
2,clang-O2,20260916,7,0,warmup,7,sum_array_bis,256,4,346,11,11,1886021557338955696,1886021557338955696
2,clang-O2,20260916,8,0,warmup,8,sum_array_twice,64,16,739,11,11,18426378299932135648,18426378299932135648
2,clang-O2,20260916,9,0,warmup,9,sum_indices,16,64,223,11,11,7680,7680
2,clang-O2,20260916,10,0,warmup,10,sum_indices,256,4,81,11,11,130560,130560
2,clang-O2,20260916,11,0,warmup,11,sum_array,16,64,532,11,11,322597332075875456,322597332075875456
2,clang-O2,20260916,12,0,warmup,12,sum_array,64,16,324,11,11,18436561186820843632,18436561186820843632
2,clang-O2,20260916,13,0,warmup,13,sum_array,256,4,337,11,11,1886021557338955696,1886021557338955696
2,clang-O2,20260916,14,0,warmup,14,sum_discarded,256,4,70,11,11,0,0
2,clang-O2,20260916,15,1,measure,0,sum_array_twice,256,4,614,11,11,3772043114677911392,3772043114677911392
2,clang-O2,20260916,16,1,measure,1,sum_array_bis,16,64,518,11,11,322597332075875456,322597332075875456
2,clang-O2,20260916,17,1,measure,2,sum_discarded,16,64,280,11,11,0,0
2,clang-O2,20260916,18,1,measure,3,sum_array_bis,64,16,309,11,11,18436561186820843632,18436561186820843632
2,clang-O2,20260916,19,1,measure,4,sum_indices,16,64,226,11,11,7680,7680
2,clang-O2,20260916,20,1,measure,5,sum_indices,64,16,98,11,11,32256,32256
2,clang-O2,20260916,21,1,measure,6,sum_discarded,64,16,100,11,11,0,0
2,clang-O2,20260916,22,1,measure,7,sum_array,256,4,295,11,11,1886021557338955696,1886021557338955696
2,clang-O2,20260916,23,1,measure,8,sum_array_twice,16,64,961,11,11,645194664151750912,645194664151750912
2,clang-O2,20260916,24,1,measure,9,sum_array_twice,64,16,615,11,11,18426378299932135648,18426378299932135648
2,clang-O2,20260916,25,1,measure,10,sum_indices,256,4,75,11,11,130560,130560
2,clang-O2,20260916,26,1,measure,11,sum_array,16,64,431,11,11,322597332075875456,322597332075875456
2,clang-O2,20260916,27,1,measure,12,sum_array,64,16,316,11,11,18436561186820843632,18436561186820843632
2,clang-O2,20260916,28,1,measure,13,sum_array_bis,256,4,296,11,11,1886021557338955696,1886021557338955696
2,clang-O2,20260916,29,1,measure,14,sum_discarded,256,4,62,11,11,0,0
