run_id,core,seed,sample,round,phase,position,label,bytes,accesses,start,salt,elapsed_ns,cpu_before,cpu_after,result,expected
2,E,20260918,43,0,warmup,43,pair_same_line,98304,65536,5138,12790768200318507931,194112,19,19,12484420068714454807,12484420068714454807
2,E,20260918,44,0,warmup,44,random,16777216,65536,198096,16705988892969177508,1093139,19,19,6070926925441604000,6070926925441604000
2,E,20260918,45,0,warmup,45,stride_513,16777216,65536,1867014,11985085100877126518,892602,19,19,2293729518755671331,2293729518755671331
2,E,20260918,46,0,warmup,46,pair_same_line,262144,65536,15705,366855452053694485,205780,19,19,3770661585947688884,3770661585947688884
2,E,20260918,47,0,warmup,47,stride_1_bis,98304,65536,3349,8754194146388534731,138934,19,19,447360249464409029,447360249464409029
2,E,20260918,48,0,warmup,48,stride_1_bis,16777216,65536,1145308,15252073905831196532,163734,19,19,11627512839221535702,11627512839221535702
2,E,20260918,49,0,warmup,49,stride_1_double,524288,131072,18250,4407979045367622924,279146,19,19,10481107534335697748,10481107534335697748
2,E,20260918,50,0,warmup,50,stride_1_double,49152,131072,2010,13865911449577159235,277722,19,19,15250453053748433012,15250453053748433012
2,E,20260918,51,0,warmup,51,pair_split_line,24576,65536,424,18356479354923529707,180132,19,19,10353549539860307323,10353549539860307323
2,E,20260918,52,0,warmup,52,stride_17,12582912,65536,904925,2343389553978595120,504603,19,19,10083419379883478038,10083419379883478038
2,E,20260918,53,0,warmup,53,stride_513,131072,65536,2743,10425562273927897033,143564,19,19,11433881829531298912,11433881829531298912
2,E,20260918,54,0,warmup,54,stride_1_double,196608,131072,17879,13140139573718385249,277911,19,19,10524536363062136991,10524536363062136991
2,E,20260918,55,0,warmup,55,pair_split_line,196608,65536,11492,7770626082612914529,205085,19,19,5122077414475076780,5122077414475076780
2,E,20260918,56,0,warmup,56,pair_same_line,2097152,65536,232804,1836302913311457255,334173,19,19,6616881411335290736,6616881411335290736
2,E,20260918,57,0,warmup,57,stride_513,4096,65536,496,6971307629679274593,138984,19,19,12038877257683673088,12038877257683673088
2,E,20260918,58,0,warmup,58,stride_17,393216,65536,35683,5836944516377771585,143606,19,19,3553654628104658266,3553654628104658266
2,E,20260918,59,0,warmup,59,stride_1_bis,49152,65536,2904,9876204902229236714,139047,19,19,14921359176446619666,14921359176446619666
2,E,20260918,60,0,warmup,60,pair_split_line,12582912,65536,1357499,7590678313416167578,1540911,19,19,6418715830598077686,6418715830598077686
