run_id,core,seed,sample,round,phase,position,label,chunk,calls,elapsed_ns,user_us,system_us,read_syscalls,write_syscalls,cpu_before,cpu_after,result,expected
1,P,20260920,52,1,measure,19,write_dev_null,16384,64,15131,16,0,2,64,11,11,1048576,1048576
1,P,20260920,53,1,measure,20,write_dev_null,64,256,58668,59,0,2,256,11,11,16384,16384
1,P,20260920,54,1,measure,21,write_dev_null,16,256,58725,59,0,2,256,11,11,4096,4096
1,P,20260920,55,1,measure,22,read_dev_zero,4096,256,80812,81,0,258,0,11,11,1048576,1048576
1,P,20260920,56,1,measure,23,syscall_getppid_double,0,1024,365099,367,0,2,0,11,11,3714150400,3714150400
1,P,20260920,57,1,measure,24,read_dev_zero,1,256,72552,73,0,258,0,11,11,256,256
1,P,20260920,58,1,measure,25,write_dev_null,1048576,1,833,2,0,2,1,11,11,1048576,1048576
1,P,20260920,59,1,measure,26,syscall_clock_gettime,0,1024,247443,248,0,2,0,11,11,1024,1024
1,P,20260920,60,1,measure,27,syscall_getppid_bis,0,1024,212065,213,0,2,0,11,11,1857075200,1857075200
1,P,20260920,61,1,measure,28,read_dev_zero,4,256,97978,72,26,258,0,11,11,1024,1024
1,P,20260920,62,1,measure,29,write_dev_null,262144,4,1516,1,1,2,4,11,11,1048576,1048576
1,P,20260920,63,1,measure,30,write_dev_null,256,256,113791,114,0,2,256,11,11,65536,65536
1,P,20260920,64,1,measure,31,write_dev_null,1024,256,81555,83,0,2,256,11,11,262144,262144
1,P,20260920,65,1,measure,32,read_dev_zero,1024,256,118253,120,0,258,0,11,11,262144,262144
