run_id,core,pages,seed,sample,round,phase,position,label,bytes,accesses,start,salt,elapsed_ns,second_elapsed_ns,faults,cpu_before,cpu_after,result,expected
4,P,4k,20260919,42,0,warmup,42,chase_random_double,16384,32768,13,12661647517993365442,86198,0,0,11,11,33538048,33538048
4,P,4k,20260919,43,0,warmup,43,independent_random_bis,262144,65536,27474,485389122462739700,90800,0,0,11,11,1074269547,1074269547
4,P,4k,20260919,44,0,warmup,44,page_fault_touch,4194304,1024,22131,11356957931556061019,1908858,6758,1024,11,11,2048,2048
4,P,4k,20260919,45,0,warmup,45,chase_sequential,524288,16384,40317,5899804100579057059,53085,0,0,11,11,794763264,794763264
4,P,4k,20260919,46,0,warmup,46,chase_random,8388608,16384,761822,7921034485797166732,3976449,0,0,11,11,8633142633,8633142633
4,P,4k,20260919,47,0,warmup,47,chase_random,1048576,16384,103034,10495612474765246345,1927889,0,0,11,11,1071516104,1071516104
4,P,4k,20260919,48,0,warmup,48,chase_random_double,1048576,32768,124543,14053231146381217938,624120,0,0,11,11,2149556977,2149556977
4,P,4k,20260919,49,0,warmup,49,independent_random,1048576,65536,6819,813358722718665022,101616,0,0,11,11,4273315900,4273315900
4,P,4k,20260919,50,0,warmup,50,chase_random,4096,16384,335,4830500018734614899,46214,0,0,11,11,4186112,4186112
4,P,4k,20260919,51,0,warmup,51,independent_random_bis,16777216,65536,729237,17472619202738953193,941885,0,0,11,11,68506705607,68506705607
4,P,4k,20260919,52,0,warmup,52,chase_random_double,524288,32768,43377,9961631284809284377,1276083,0,0,11,11,1072773948,1072773948
4,P,4k,20260919,53,0,warmup,53,independent_random,8388608,65536,398965,15228539493966176809,848038,0,0,11,11,34328804601,34328804601
4,P,4k,20260919,54,0,warmup,54,chase_random,65536,16384,3207,5087620826507909120,140598,0,0,11,11,67100672,67100672
4,P,4k,20260919,55,0,warmup,55,page_fault_touch,16777216,4096,118052,1673330853304947024,8353373,72692,4096,11,11,8192,8192
4,P,4k,20260919,56,0,warmup,56,chase_random,4194304,16384,86163,12763862857714706741,3684377,0,0,11,11,4308614435,4308614435
4,P,4k,20260919,57,0,warmup,57,independent_random_bis,4194304,65536,189638,17037374745676074535,754597,0,0,11,11,17199337133,17199337133
4,P,4k,20260919,58,0,warmup,58,independent_random_bis,8192,65536,900,10968583070892899841,84727,0,0,11,11,33568743,33568743
4,P,4k,20260919,59,0,warmup,59,independent_random_bis,1048576,65536,1326,2389635793622693690,538711,0,0,11,11,4290096951,4290096951
4,P,4k,20260919,60,0,warmup,60,independent_random_bis,65536,65536,281,18223836055393363966,101850,0,0,11,11,268287989,268287989
4,P,4k,20260919,61,0,warmup,61,chase_sequential,8192,16384,967,15669875304737330347,39046,0,0,11,11,8380416,8380416
4,P,4k,20260919,62,0,warmup,62,independent_random_bis,32768,65536,2108,5195882673472209872,83652,0,0,11,11,134767549,134767549
4,P,4k,20260919,63,0,warmup,63,independent_random,131072,65536,8606,301023524398214899,106476,0,0,11,11,534865428,534865428
4,P,4k,20260919,64,0,warmup,64,independent_random,16777216,65536,1016529,6783728429614806746,983250,0,0,11,11,68562376174,68562376174
4,P,4k,20260919,65,0,warmup,65,chase_random_double,65536,32768,3752,11251705085421601434,148715,0,0,11,11,134201344,134201344
4,P,4k,20260919,66,0,warmup,66,chase_sequential,131072,16384,6675,3699848327687345237,56342,0,0,11,11,134209536,134209536
4,P,4k,20260919,67,1,measure,0,chase_random_double,8192,32768,102,7238708206028785665,81141,0,0,11,11,16760832,16760832
4,P,4k,20260919,68,1,measure,1,independent_random,32768,65536,3769,7405019489070879975,81979,0,0,11,11,133781657,133781657
4,P,4k,20260919,69,1,measure,2,chase_random_double,32768,32768,2883,3137964517799347399,74656,0,0,11,11,67092480,67092480
