run_id,core,cpu,seed,rounds,warmup_rounds,min_log2,max_log2,accesses_log2
1,P,11,20260918,2,1,10,12,8
2,E,19,20260918,2,1,10,12,8
3,LP-E,21,20260918,2,1,10,12,8
