core,label,chunk,processes,median_ns_per_call,ci95_low,ci95_high,median_system_share
LP-E,vdso_clock_gettime,0,1,59.190,59.190,59.190,0.000
LP-E,write_dev_null,1,1,390.210,390.210,390.210,0.496
LP-E,write_dev_null,4,1,381.704,381.704,381.704,0.197
LP-E,write_dev_null,16,1,382.455,382.455,382.455,0.486
LP-E,write_dev_null,64,1,382.801,382.801,382.801,0.848
LP-E,write_dev_null,256,1,388.098,388.098,388.098,0.202
LP-E,write_dev_null,1024,1,383.300,383.300,383.300,0.837
LP-E,write_dev_null,4096,1,382.140,382.140,382.140,1.000
LP-E,write_dev_null,16384,1,379.772,379.772,379.772,0.546
LP-E,write_dev_null,65536,1,380.656,380.656,380.656,0.541
LP-E,write_dev_null,262144,1,383.219,383.219,383.219,0.538
LP-E,write_dev_null,1048576,1,435.062,435.062,435.062,0.571
