stratum,processes,H_ns,H_low_ns,H_high_ns,C_ns,C_low_ns,C_high_ns
tous (prévu),20,30.48,29.37,31.30,5.003,4.468,5.390
P,12,29.74,29.43,30.52,4.402,4.395,4.431
E,13,29.50,29.36,30.05,5.394,5.391,5.658
