protocol,comparison,processes,median,ci95_low,ci95_high,min,max,share_below_1,share_gap_over_5pct_from_1
naive,A_bis/A,5,0.2256,0.2081,0.2868,0.2081,0.2868,1.000,1.000
naive,B/A,5,0.4966,0.4085,0.5574,0.4085,0.5574,1.000,
batched,A_bis/A,5,0.9990,0.9987,0.9993,0.9987,0.9993,1.000,0.000
batched,B/A,5,2.0422,1.9981,2.0896,1.9981,2.0896,0.000,
interleaved,A_bis/A,5,1.0000,0.9999,1.0000,0.9999,1.0000,0.600,0.000
interleaved,B/A,5,1.9996,1.9995,2.0016,1.9995,2.0016,0.000,
