protocol,comparison,processes,median,ci95_low,ci95_high,min,max,share_below_1,share_gap_over_5pct_from_1
naive,A_bis/A,30,0.2081,0.2005,0.2176,0.1751,0.2893,1.000,1.000
naive,B/A,30,0.4012,0.3930,0.4265,0.3171,0.5429,1.000,
batched,A_bis/A,30,0.9990,0.9988,0.9991,0.8809,1.5480,0.833,0.200
batched,B/A,30,1.9979,1.9977,1.9982,1.7620,2.1276,0.000,
interleaved,A_bis/A,30,1.0000,1.0000,1.0000,0.9761,1.0149,0.433,0.000
interleaved,B/A,30,1.9999,1.9999,1.9999,1.9331,2.0369,0.000,
