variant,metric,n,min_ns,median_ns,mean_ns,p95_ns,max_ns
consecutive_reads,elapsed,1000,31,34,36,41,89
batched_reads,per_read,5,41,41,41,42,42
busy_cpu,elapsed,5,10001902,10002534,10007883,10024374,10029734
busy_cpu,cpu,5,10001438,10002068,10002230,10003460,10003721
sleep,elapsed,5,20071724,20082352,20110676,20163517,20164451
sleep,cpu,5,15773,17428,17969,20189,20549
