build,kernel,dataset,processes,median_ns_per_element,ci95_low,ci95_high
gcc-O3-v3,filter_copy_mask,p900,2,0.4537,0.4467,0.4606
gcc-O3-v3,filter_copy_mask,p1000,2,0.4615,0.4338,0.4892
gcc-O3-v3,filter_copy_mask,p500_sorted,2,0.4337,0.4216,0.4457
gcc-O3-v3,filter_copy_mask,p500_alternating,2,0.4278,0.4271,0.4285
clang-scalar,sum_if,p000,2,0.3162,0.3092,0.3232
clang-scalar,sum_if,p100,2,0.3245,0.3228,0.3263
clang-scalar,sum_if,p250,2,0.3164,0.3108,0.3220
clang-scalar,sum_if,p500,2,0.3189,0.3093,0.3284
clang-scalar,sum_if,p750,2,0.3179,0.3098,0.3260
clang-scalar,sum_if,p900,2,0.3841,0.3270,0.4412
clang-scalar,sum_if,p1000,2,0.3173,0.3100,0.3245
clang-scalar,sum_if,p500_sorted,2,0.3173,0.3149,0.3196
clang-scalar,sum_if,p500_alternating,2,0.4184,0.3181,0.5187
clang-scalar,filter_copy,p000,2,0.3168,0.3160,0.3176
clang-scalar,filter_copy,p100,2,1.7140,1.6695,1.7585
clang-scalar,filter_copy,p250,2,3.1953,3.1575,3.2331
clang-scalar,filter_copy,p500,2,5.1086,5.0604,5.1567
clang-scalar,filter_copy,p750,2,3.2151,3.0845,3.3456
clang-scalar,filter_copy,p900,2,1.5030,1.4956,1.5105
clang-scalar,filter_copy,p1000,2,0.5188,0.4268,0.6109
clang-scalar,filter_copy,p500_sorted,2,0.4040,0.3472,0.4608
clang-scalar,filter_copy,p500_alternating,2,0.3550,0.3203,0.3896
clang-scalar,filter_copy_mask,p000,2,0.4163,0.4138,0.4189
clang-scalar,filter_copy_mask,p100,2,0.4400,0.4393,0.4407
clang-scalar,filter_copy_mask,p250,2,0.4359,0.4347,0.4372
clang-scalar,filter_copy_mask,p500,2,0.4843,0.4194,0.5492
clang-scalar,filter_copy_mask,p750,2,0.6423,0.4316,0.8531
clang-scalar,filter_copy_mask,p900,2,0.4527,0.4316,0.4739
clang-scalar,filter_copy_mask,p1000,2,0.6171,0.5536,0.6805
clang-scalar,filter_copy_mask,p500_sorted,2,0.4410,0.4295,0.4525
clang-scalar,filter_copy_mask,p500_alternating,2,0.4442,0.4391,0.4492
clang-O2,sum_if,p000,2,0.3097,0.3094,0.3099
clang-O2,sum_if,p100,2,0.3099,0.3088,0.3109
clang-O2,sum_if,p250,2,0.3092,0.3092,0.3093
clang-O2,sum_if,p500,2,0.3098,0.3095,0.3102
clang-O2,sum_if,p750,2,0.3198,0.3168,0.3227
clang-O2,sum_if,p900,2,0.3094,0.3092,0.3097
clang-O2,sum_if,p1000,2,0.3092,0.3091,0.3093
clang-O2,sum_if,p500_sorted,2,0.3107,0.3107,0.3107
clang-O2,sum_if,p500_alternating,2,0.3110,0.3109,0.3111
clang-O2,filter_copy,p000,2,0.3087,0.3026,0.3148
clang-O2,filter_copy,p100,2,1.6461,1.6375,1.6547
clang-O2,filter_copy,p250,2,3.0912,3.0781,3.1044
clang-O2,filter_copy,p500,2,5.1104,5.0367,5.1841
clang-O2,filter_copy,p750,2,2.9718,2.9566,2.9869
clang-O2,filter_copy,p900,2,1.4771,1.4469,1.5073
clang-O2,filter_copy,p1000,2,0.4155,0.4088,0.4222
clang-O2,filter_copy,p500_sorted,2,0.3452,0.3439,0.3465
clang-O2,filter_copy,p500_alternating,2,0.3185,0.3108,0.3262
clang-O2,filter_copy_mask,p000,2,0.4127,0.4125,0.4130
clang-O2,filter_copy_mask,p100,2,0.4255,0.4128,0.4382
clang-O2,filter_copy_mask,p250,2,0.4133,0.4131,0.4136
clang-O2,filter_copy_mask,p500,2,0.4163,0.4152,0.4173
clang-O2,filter_copy_mask,p750,2,0.4186,0.4182,0.4189
clang-O2,filter_copy_mask,p900,2,0.4187,0.4145,0.4230
clang-O2,filter_copy_mask,p1000,2,0.4335,0.4213,0.4456
clang-O2,filter_copy_mask,p500_sorted,2,0.4102,0.4068,0.4136
clang-O2,filter_copy_mask,p500_alternating,2,0.4227,0.4103,0.4351
clang-O3-v3,sum_if,p000,2,0.1463,0.1459,0.1467
