run_id,build,seed,sample,round,phase,position,part,label,dataset,n,calls,elapsed_ns,cpu_before,cpu_after,result,expected,output_ok
10,gcc-O3-v3,20260917,42,0,warmup,42,branch,sum_if,p500_alternating,65536,1,13179,11,11,4196774058536912234,4196774058536912234,1
10,gcc-O3-v3,20260917,43,0,warmup,43,branch,sum_if,p000,65536,1,13092,11,11,0,0,1
10,gcc-O3-v3,20260917,44,0,warmup,44,branch,sum_if,p100,65536,1,13082,11,11,3083979731501324985,3083979731501324985,1
10,gcc-O3-v3,20260917,45,0,warmup,45,branch,filter_copy,p250,65536,1,270837,11,11,16384,16384,1
10,gcc-O3-v3,20260917,46,0,warmup,46,small,sum_one,uniform,16,16384,69033,11,11,4962451668699840512,4962451668699840512,1
10,gcc-O3-v3,20260917,47,0,warmup,47,dependency,chain_xor_mul,uniform,65536,16,1724646,11,11,10548315203952146112,10548315203952146112,1
10,gcc-O3-v3,20260917,48,0,warmup,48,small,sum_one,uniform,384,682,31390,11,11,1346291423408334390,1346291423408334390,1
10,gcc-O3-v3,20260917,49,0,warmup,49,small,sum_one,uniform,192,1365,41646,11,11,7791738934772679037,7791738934772679037,1
10,gcc-O3-v3,20260917,50,0,warmup,50,small,sum_one,uniform,48,5461,52558,11,11,12243521522999887564,12243521522999887564,1
10,gcc-O3-v3,20260917,51,0,warmup,51,small,sum_one,uniform,4,65536,157718,11,11,1506939474123620352,1506939474123620352,1
10,gcc-O3-v3,20260917,52,0,warmup,52,branch,filter_copy,p000,65536,1,26409,11,11,0,0,1
10,gcc-O3-v3,20260917,53,1,measure,0,branch,sum_if,p900,65536,1,13031,11,11,1957202038211152021,1957202038211152021,1
10,gcc-O3-v3,20260917,54,1,measure,1,small,sum_one,uniform,4,65536,157681,11,11,1506939474123620352,1506939474123620352,1
10,gcc-O3-v3,20260917,55,1,measure,2,small,sum_one,uniform,512,512,30084,11,11,15367005133848558592,15367005133848558592,1
10,gcc-O3-v3,20260917,56,1,measure,3,small,sum_one,uniform,384,682,30769,11,11,1346291423408334390,1346291423408334390,1
10,gcc-O3-v3,20260917,57,1,measure,4,branch,filter_copy,p100,65536,1,146511,11,11,6554,6554,1
10,gcc-O3-v3,20260917,58,1,measure,5,small,sum_one,uniform,128,2048,32372,11,11,18210940820042733568,18210940820042733568,1
