mode,runtime,processes,c_median,c_ci95_low,c_ci95_high,c_min,c_max,b50_median,b50_ci95_low,b50_ci95_high,b50_min,b50_max,b99_median,b99_ci95_low,b99_ci95_high,b99_min,b99_max,bmax_median,bmax_ci95_low,bmax_ci95_high,bmax_min,bmax_max,gc_median,gc_ci95_low,gc_ci95_high,gc_min,gc_max,pause_median,pause_ci95_low,pause_ci95_high,pause_min,pause_max,rss_median,rss_ci95_low,rss_ci95_high,rss_min,rss_max,bmax_over_b50_median,b99_over_b50_median
c,glibc malloc,1,9.41,9.41,9.41,9.41,9.41,0.078,0.078,0.078,0.078,0.078,0.098,0.098,0.098,0.098,0.098,0.101,0.101,0.101,0.101,0.101,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,42.0,42.0,42.0,42.0,42.0,1.30,1.26
go-gogc100,go1.26.0 GOGC=100,1,49.41,49.41,49.41,49.41,49.41,0.240,0.240,0.240,0.240,0.240,1.237,1.237,1.237,1.237,1.237,8.078,8.078,8.078,8.078,8.078,2,2,2,2,2,0.04,0.04,0.04,0.04,0.04,71.2,71.2,71.2,71.2,71.2,33.59,5.14
go-gogc400,go1.26.0 GOGC=400,1,31.52,31.52,31.52,31.52,31.52,0.243,0.243,0.243,0.243,0.243,0.640,0.640,0.640,0.640,0.640,0.811,0.811,0.811,0.811,0.811,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,85.6,85.6,85.6,85.6,85.6,3.34,2.64
java-g1,java 17.0.20+8-1-26.04-Ubuntu G1_Young_Generation+G1_Old_Generation,1,83.18,83.18,83.18,83.18,83.18,0.097,0.097,0.097,0.097,0.097,11.272,11.272,11.272,11.272,11.272,51.157,51.157,51.157,51.157,51.157,3,3,3,3,3,112.00,112.00,112.00,112.00,112.00,197.1,197.1,197.1,197.1,197.1,528.09,116.36
java-serial,java 17.0.20+8-1-26.04-Ubuntu Copy+MarkSweepCompact,1,64.30,64.30,64.30,64.30,64.30,0.051,0.051,0.051,0.051,0.051,3.572,3.572,3.572,3.572,3.572,53.324,53.324,53.324,53.324,53.324,2,2,2,2,2,103.00,103.00,103.00,103.00,103.00,192.3,192.3,192.3,192.3,192.3,1037.38,69.49
node,node v26.7.0,1,43.05,43.05,43.05,43.05,43.05,0.319,0.319,0.319,0.319,0.319,0.960,0.960,0.960,0.960,0.960,1.815,1.815,1.815,1.815,1.815,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,246.8,246.8,246.8,246.8,246.8,5.68,3.01
python-gc,CPython gc=on,1,182.03,182.03,182.03,182.03,182.03,1.474,1.474,1.474,1.474,1.474,1.645,1.645,1.645,1.645,1.645,1.770,1.770,1.770,1.770,1.770,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,183.9,183.9,183.9,183.9,183.9,1.20,1.12
python-nogc,CPython gc=off,1,183.99,183.99,183.99,183.99,183.99,1.472,1.472,1.472,1.472,1.472,2.069,2.069,2.069,2.069,2.069,2.251,2.251,2.251,2.251,2.251,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,183.9,183.9,183.9,183.9,183.9,1.53,1.41
