protocol,mode,prime,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,none,9,20260925,LP-E,1,0,1,0,0,warmup,0,B,50,2,1541,21,21,15619593334451337879
interleaved,interleaved,none,9,20260925,LP-E,1,0,1,1,0,warmup,1,A,50,1,628,21,21,17104221303406597557
interleaved,interleaved,none,9,20260925,LP-E,1,0,1,2,0,warmup,2,A_bis,50,1,536,21,21,7017856606742574147
interleaved,interleaved,none,9,20260925,LP-E,1,0,1,3,1,measure,0,B,50,2,1058,21,21,4273674314566420418
interleaved,interleaved,none,9,20260925,LP-E,1,0,1,4,1,measure,1,A_bis,50,1,537,21,21,6455701512641166870
interleaved,interleaved,none,9,20260925,LP-E,1,0,1,5,1,measure,2,A,50,1,558,21,21,3762454810508060054
interleaved,interleaved,none,9,20260925,LP-E,1,0,1,6,2,measure,0,A_bis,50,1,537,21,21,15382042269449523434
interleaved,interleaved,none,9,20260925,LP-E,1,0,1,7,2,measure,1,B,50,2,1060,21,21,13323695591695514332
interleaved,interleaved,none,9,20260925,LP-E,1,0,1,8,2,measure,2,A,50,1,539,21,21,7129769702406440082
interleaved,interleaved,none,9,20260925,LP-E,1,0,1,9,3,measure,0,B,50,2,1060,21,21,13992422948377735180
interleaved,interleaved,none,9,20260925,LP-E,1,0,1,10,3,measure,1,A_bis,50,1,539,21,21,9993440448236496386
interleaved,interleaved,none,9,20260925,LP-E,1,0,1,11,3,measure,2,A,50,1,539,21,21,13278679244859729905
