protocol,mode,prime,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,none,68,20260984,P,1,0,10,0,0,warmup,0,A_bis,20000,1,90369,11,11,13784594296051137941
interleaved,interleaved,none,68,20260984,P,1,0,10,1,0,warmup,1,A,20000,1,90217,11,11,14718596642766821431
interleaved,interleaved,none,68,20260984,P,1,0,10,2,0,warmup,2,B,20000,2,180464,11,11,15537178167679893424
interleaved,interleaved,none,68,20260984,P,1,0,10,3,1,warmup,0,A_bis,20000,1,90231,11,11,15475698104706637559
interleaved,interleaved,none,68,20260984,P,1,0,10,4,1,warmup,1,B,20000,2,180431,11,11,293195327749623877
interleaved,interleaved,none,68,20260984,P,1,0,10,5,1,warmup,2,A,20000,1,90235,11,11,1678011290369450734
interleaved,interleaved,none,68,20260984,P,1,0,10,6,2,warmup,0,B,20000,2,180421,11,11,10487865914786834227
interleaved,interleaved,none,68,20260984,P,1,0,10,7,2,warmup,1,A,20000,1,93641,11,11,11402106975652854182
interleaved,interleaved,none,68,20260984,P,1,0,10,8,2,warmup,2,A_bis,20000,1,90216,11,11,12164118493286281013
interleaved,interleaved,none,68,20260984,P,1,0,10,9,3,warmup,0,B,20000,2,180420,11,11,17528360961327861219
interleaved,interleaved,none,68,20260984,P,1,0,10,10,3,warmup,1,A_bis,20000,1,90213,11,11,17589272629195394458
interleaved,interleaved,none,68,20260984,P,1,0,10,11,3,warmup,2,A,20000,1,90238,11,11,7551354044671438700
interleaved,interleaved,none,68,20260984,P,1,0,10,12,4,warmup,0,B,20000,2,180409,11,11,8969849104475136079
interleaved,interleaved,none,68,20260984,P,1,0,10,13,4,warmup,1,A_bis,20000,1,90222,11,11,10078868217301996547
interleaved,interleaved,none,68,20260984,P,1,0,10,14,4,warmup,2,A,20000,1,90223,11,11,10284052131116011465
interleaved,interleaved,none,68,20260984,P,1,0,10,15,5,warmup,0,B,20000,2,180417,11,11,810169746541744052
interleaved,interleaved,none,68,20260984,P,1,0,10,16,5,warmup,1,A_bis,20000,1,92490,11,11,4994388188733255319
interleaved,interleaved,none,68,20260984,P,1,0,10,17,5,warmup,2,A,20000,1,90347,11,11,9215932124703416435
interleaved,interleaved,none,68,20260984,P,1,0,10,18,6,warmup,0,A_bis,20000,1,90223,11,11,8847212859153633810
interleaved,interleaved,none,68,20260984,P,1,0,10,19,6,warmup,1,A,20000,1,90749,11,11,17200673916271697837
interleaved,interleaved,none,68,20260984,P,1,0,10,20,6,warmup,2,B,20000,2,182985,11,11,5812095752884986041
interleaved,interleaved,none,68,20260984,P,1,0,10,21,7,warmup,0,A_bis,20000,1,90920,11,11,6875456879998529778
interleaved,interleaved,none,68,20260984,P,1,0,10,22,7,warmup,1,B,20000,2,180564,11,11,8313310042737666848
interleaved,interleaved,none,68,20260984,P,1,0,10,23,7,warmup,2,A,20000,1,92148,11,11,16646981346306845332
interleaved,interleaved,none,68,20260984,P,1,0,10,24,8,warmup,0,B,20000,2,188466,11,11,7856376555678939583
interleaved,interleaved,none,68,20260984,P,1,0,10,25,8,warmup,1,A_bis,20000,1,90269,11,11,5314932703704002623
interleaved,interleaved,none,68,20260984,P,1,0,10,26,8,warmup,2,A,20000,1,90233,11,11,1820742467825400385
interleaved,interleaved,none,68,20260984,P,1,0,10,27,9,warmup,0,B,20000,2,180419,11,11,9983707193190294438
interleaved,interleaved,none,68,20260984,P,1,0,10,28,9,warmup,1,A_bis,20000,1,90214,11,11,15252069344702173776
interleaved,interleaved,none,68,20260984,P,1,0,10,29,9,warmup,2,A,20000,1,90237,11,11,16055535175403845104
interleaved,interleaved,none,68,20260984,P,1,0,10,30,10,measure,0,A_bis,20000,1,90232,11,11,9999603668972691321
interleaved,interleaved,none,68,20260984,P,1,0,10,31,10,measure,1,B,20000,2,180413,11,11,5778326785979199725
interleaved,interleaved,none,68,20260984,P,1,0,10,32,10,measure,2,A,20000,1,93175,11,11,6905577657594117833
interleaved,interleaved,none,68,20260984,P,1,0,10,33,11,measure,0,A,20000,1,90402,11,11,11720147899786446700
interleaved,interleaved,none,68,20260984,P,1,0,10,34,11,measure,1,A_bis,20000,1,91524,11,11,16474507378619142151
interleaved,interleaved,none,68,20260984,P,1,0,10,35,11,measure,2,B,20000,2,180421,11,11,8328846870027682453
interleaved,interleaved,none,68,20260984,P,1,0,10,36,12,measure,0,B,20000,2,180431,11,11,1272912237392698508
interleaved,interleaved,none,68,20260984,P,1,0,10,37,12,measure,1,A,20000,1,90220,11,11,16909680202416206569
interleaved,interleaved,none,68,20260984,P,1,0,10,38,12,measure,2,A_bis,20000,1,90231,11,11,9758889266710001532
interleaved,interleaved,none,68,20260984,P,1,0,10,39,13,measure,0,B,20000,2,180411,11,11,16382067563291885746
interleaved,interleaved,none,68,20260984,P,1,0,10,40,13,measure,1,A,20000,1,90222,11,11,8977830820401510132
interleaved,interleaved,none,68,20260984,P,1,0,10,41,13,measure,2,A_bis,20000,1,93903,11,11,3824077531769250740
interleaved,interleaved,none,68,20260984,P,1,0,10,42,14,measure,0,B,20000,2,180433,11,11,4823273650487402528
interleaved,interleaved,none,68,20260984,P,1,0,10,43,14,measure,1,A_bis,20000,1,90220,11,11,10790423146606932905
interleaved,interleaved,none,68,20260984,P,1,0,10,44,14,measure,2,A,20000,1,90233,11,11,7237905902095306640
interleaved,interleaved,none,68,20260984,P,1,0,10,45,15,measure,0,A_bis,20000,1,90234,11,11,18188001951585220470
interleaved,interleaved,none,68,20260984,P,1,0,10,46,15,measure,1,A,20000,1,90212,11,11,826798616918295806
interleaved,interleaved,none,68,20260984,P,1,0,10,47,15,measure,2,B,20000,2,180431,11,11,7544211200372203269
interleaved,interleaved,none,68,20260984,P,1,0,10,48,16,measure,0,A,20000,1,90210,11,11,16319033125966392591
interleaved,interleaved,none,68,20260984,P,1,0,10,49,16,measure,1,A_bis,20000,1,90221,11,11,9545126444700850021
interleaved,interleaved,none,68,20260984,P,1,0,10,50,16,measure,2,B,20000,2,183644,11,11,11589330067645809719
interleaved,interleaved,none,68,20260984,P,1,0,10,51,17,measure,0,A,20000,1,90213,11,11,15725240067168312099
interleaved,interleaved,none,68,20260984,P,1,0,10,52,17,measure,1,A_bis,20000,1,90233,11,11,6342709761228960164
interleaved,interleaved,none,68,20260984,P,1,0,10,53,17,measure,2,B,20000,2,180423,11,11,542833781440804731
interleaved,interleaved,none,68,20260984,P,1,0,10,54,18,measure,0,A,20000,1,90213,11,11,5494848114663573929
interleaved,interleaved,none,68,20260984,P,1,0,10,55,18,measure,1,B,20000,2,180432,11,11,3458186693058098581
interleaved,interleaved,none,68,20260984,P,1,0,10,56,18,measure,2,A_bis,20000,1,90217,11,11,15432177670655949775
interleaved,interleaved,none,68,20260984,P,1,0,10,57,19,measure,0,A_bis,20000,1,90215,11,11,12614570366708806293
interleaved,interleaved,none,68,20260984,P,1,0,10,58,19,measure,1,B,20000,2,182768,11,11,5123183652295538771
interleaved,interleaved,none,68,20260984,P,1,0,10,59,19,measure,2,A,20000,1,90213,11,11,6589204745246382046
interleaved,interleaved,none,68,20260984,P,1,0,10,60,20,measure,0,A,20000,1,90233,11,11,6423404501922628956
interleaved,interleaved,none,68,20260984,P,1,0,10,61,20,measure,1,A_bis,20000,1,90211,11,11,14026927360452265777
interleaved,interleaved,none,68,20260984,P,1,0,10,62,20,measure,2,B,20000,2,180432,11,11,9970382093243527741
interleaved,interleaved,none,68,20260984,P,1,0,10,63,21,measure,0,A_bis,20000,1,90221,11,11,10552510021904799872
interleaved,interleaved,none,68,20260984,P,1,0,10,64,21,measure,1,B,20000,2,180430,11,11,9555804088121388784
interleaved,interleaved,none,68,20260984,P,1,0,10,65,21,measure,2,A,20000,1,90222,11,11,6364828205118422263
interleaved,interleaved,none,68,20260984,P,1,0,10,66,22,measure,0,A_bis,20000,1,101115,11,11,7343477547408354233
interleaved,interleaved,none,68,20260984,P,1,0,10,67,22,measure,1,A,20000,1,90221,11,11,17845095426216698931
interleaved,interleaved,none,68,20260984,P,1,0,10,68,22,measure,2,B,20000,2,181061,11,11,2652157987648724963
interleaved,interleaved,none,68,20260984,P,1,0,10,69,23,measure,0,A_bis,20000,1,90213,11,11,15113350784026717967
interleaved,interleaved,none,68,20260984,P,1,0,10,70,23,measure,1,A,20000,1,90224,11,11,3093980215799431926
interleaved,interleaved,none,68,20260984,P,1,0,10,71,23,measure,2,B,20000,2,180429,11,11,18121538679785163683
interleaved,interleaved,none,68,20260984,P,1,0,10,72,24,measure,0,A,20000,1,90210,11,11,11932942551702402060
interleaved,interleaved,none,68,20260984,P,1,0,10,73,24,measure,1,A_bis,20000,1,90221,11,11,10987600682662266809
interleaved,interleaved,none,68,20260984,P,1,0,10,74,24,measure,2,B,20000,2,183240,11,11,10980610035720305956
interleaved,interleaved,none,68,20260984,P,1,0,10,75,25,measure,0,A,20000,1,90216,11,11,6376344838023400496
interleaved,interleaved,none,68,20260984,P,1,0,10,76,25,measure,1,A_bis,20000,1,90227,11,11,6821883710570926069
interleaved,interleaved,none,68,20260984,P,1,0,10,77,25,measure,2,B,20000,2,180431,11,11,12790197608902624431
interleaved,interleaved,none,68,20260984,P,1,0,10,78,26,measure,0,A_bis,20000,1,90213,11,11,8958864072815428646
interleaved,interleaved,none,68,20260984,P,1,0,10,79,26,measure,1,A,20000,1,90226,11,11,8336432548701092149
interleaved,interleaved,none,68,20260984,P,1,0,10,80,26,measure,2,B,20000,2,180426,11,11,8515263625567572648
interleaved,interleaved,none,68,20260984,P,1,0,10,81,27,measure,0,A_bis,20000,1,90213,11,11,9549121163493550503
interleaved,interleaved,none,68,20260984,P,1,0,10,82,27,measure,1,A,20000,1,90231,11,11,5838933694671513113
interleaved,interleaved,none,68,20260984,P,1,0,10,83,27,measure,2,B,20000,2,182586,11,11,12790164733623823314
interleaved,interleaved,none,68,20260984,P,1,0,10,84,28,measure,0,A_bis,20000,1,90214,11,11,3099469185924348300
interleaved,interleaved,none,68,20260984,P,1,0,10,85,28,measure,1,A,20000,1,90216,11,11,15153024021946147978
interleaved,interleaved,none,68,20260984,P,1,0,10,86,28,measure,2,B,20000,2,180435,11,11,5847980517327386609
interleaved,interleaved,none,68,20260984,P,1,0,10,87,29,measure,0,A,20000,1,90211,11,11,8985965732629113902
interleaved,interleaved,none,68,20260984,P,1,0,10,88,29,measure,1,A_bis,20000,1,90212,11,11,2273720796685790327
interleaved,interleaved,none,68,20260984,P,1,0,10,89,29,measure,2,B,20000,2,180412,11,11,6958493624938084449
interleaved,interleaved,none,68,20260984,P,1,0,10,90,30,measure,0,B,20000,2,183256,11,11,4248265112222184356
interleaved,interleaved,none,68,20260984,P,1,0,10,91,30,measure,1,A,20000,1,90215,11,11,16920912839700383662
interleaved,interleaved,none,68,20260984,P,1,0,10,92,30,measure,2,A_bis,20000,1,90218,11,11,7780293366237641442
interleaved,interleaved,none,68,20260984,P,1,0,10,93,31,measure,0,A_bis,20000,1,90214,11,11,5498971034576812215
interleaved,interleaved,none,68,20260984,P,1,0,10,94,31,measure,1,B,20000,2,180425,11,11,2781764767733761684
interleaved,interleaved,none,68,20260984,P,1,0,10,95,31,measure,2,A,20000,1,90220,11,11,2738374551850640867
interleaved,interleaved,none,68,20260984,P,1,0,10,96,32,measure,0,A,20000,1,90213,11,11,11142826851364815495
interleaved,interleaved,none,68,20260984,P,1,0,10,97,32,measure,1,B,20000,2,180433,11,11,5427615573042797483
interleaved,interleaved,none,68,20260984,P,1,0,10,98,32,measure,2,A_bis,20000,1,90222,11,11,13010238718079206416
interleaved,interleaved,none,68,20260984,P,1,0,10,99,33,measure,0,B,20000,2,182991,11,11,5636303789813763206
interleaved,interleaved,none,68,20260984,P,1,0,10,100,33,measure,1,A,20000,1,90218,11,11,12775689026621275398
interleaved,interleaved,none,68,20260984,P,1,0,10,101,33,measure,2,A_bis,20000,1,90216,11,11,12055777769157931863
interleaved,interleaved,none,68,20260984,P,1,0,10,102,34,measure,0,B,20000,2,180417,11,11,14095626948978790618
interleaved,interleaved,none,68,20260984,P,1,0,10,103,34,measure,1,A_bis,20000,1,90233,11,11,13796517640428564846
interleaved,interleaved,none,68,20260984,P,1,0,10,104,34,measure,2,A,20000,1,90214,11,11,8999294240302104737
interleaved,interleaved,none,68,20260984,P,1,0,10,105,35,measure,0,A_bis,20000,1,90222,11,11,4779514634135767313
interleaved,interleaved,none,68,20260984,P,1,0,10,106,35,measure,1,B,20000,2,180427,11,11,10611216815064185740
interleaved,interleaved,none,68,20260984,P,1,0,10,107,35,measure,2,A,20000,1,94515,11,11,13120379304092521977
interleaved,interleaved,none,68,20260984,P,1,0,10,108,36,measure,0,B,20000,2,180428,11,11,13620395161850026119
interleaved,interleaved,none,68,20260984,P,1,0,10,109,36,measure,1,A_bis,20000,1,90217,11,11,771931164391592261
interleaved,interleaved,none,68,20260984,P,1,0,10,110,36,measure,2,A,20000,1,90212,11,11,13330486503165213389
interleaved,interleaved,none,68,20260984,P,1,0,10,111,37,measure,0,A_bis,20000,1,90232,11,11,403295000792580073
interleaved,interleaved,none,68,20260984,P,1,0,10,112,37,measure,1,A,20000,1,90224,11,11,10206212263900681059
interleaved,interleaved,none,68,20260984,P,1,0,10,113,37,measure,2,B,20000,2,180420,11,11,12948173191302322969
interleaved,interleaved,none,68,20260984,P,1,0,10,114,38,measure,0,A,20000,1,90220,11,11,9394376536387950213
interleaved,interleaved,none,68,20260984,P,1,0,10,115,38,measure,1,A_bis,20000,1,90221,11,11,7918471208675211938
interleaved,interleaved,none,68,20260984,P,1,0,10,116,38,measure,2,B,20000,2,183566,11,11,14041328716918706583
interleaved,interleaved,none,68,20260984,P,1,0,10,117,39,measure,0,A_bis,20000,1,90214,11,11,18049997256305226543
interleaved,interleaved,none,68,20260984,P,1,0,10,118,39,measure,1,B,20000,2,180427,11,11,3506271918000487080
interleaved,interleaved,none,68,20260984,P,1,0,10,119,39,measure,2,A,20000,1,90209,11,11,3069610776752631380
interleaved,interleaved,none,68,20260984,P,1,0,10,120,40,measure,0,A,20000,1,90225,11,11,10224150216682629401
interleaved,interleaved,none,68,20260984,P,1,0,10,121,40,measure,1,B,20000,2,180413,11,11,17844971027584188095
