protocol,mode,prime,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
amortization,amortization,none,95,20261011,libre,22,100000,0,0,37,measure,0,A,64,1,567,14,14,11631141097471928421
amortization,amortization,none,95,20261011,libre,22,100000,0,1,14,measure,0,A,4096,1,25120,14,14,2448302254317524471
amortization,amortization,none,95,20261011,libre,22,100000,0,2,26,measure,0,A,16384,1,100352,14,14,8347081015154713918
amortization,amortization,none,95,20261011,libre,22,100000,0,3,28,measure,0,A,32768,1,200732,14,14,6059927365481163662
amortization,amortization,none,95,20261011,libre,22,100000,0,4,35,measure,0,A,1024,1,6284,14,14,7577557083813233074
amortization,amortization,none,95,20261011,libre,22,100000,0,5,27,measure,0,A,32,1,218,14,14,3544183497682742663
amortization,amortization,none,95,20261011,libre,22,100000,0,6,15,measure,0,A,1024,1,6292,14,14,9489045004178238203
amortization,amortization,none,95,20261011,libre,22,100000,0,7,11,measure,0,A,2048,1,12583,14,14,13290010753203711699
amortization,amortization,none,95,20261011,libre,22,100000,0,8,7,measure,0,A,32768,1,200692,14,14,10579127773028909187
amortization,amortization,none,95,20261011,libre,22,100000,0,9,28,measure,0,A,1024,1,6305,14,14,4443723312858208275
amortization,amortization,none,95,20261011,libre,22,100000,0,10,14,measure,0,A,2,1,47,14,14,5150453820180202665
amortization,amortization,none,95,20261011,libre,22,100000,0,11,20,measure,0,A,1024,1,6297,14,14,3738314556750171188
amortization,amortization,none,95,20261011,libre,22,100000,0,12,4,measure,0,A,128,1,805,14,14,10199998287522328260
amortization,amortization,none,95,20261011,libre,22,100000,0,13,29,measure,0,A,16,1,122,14,14,12876098096732354259
amortization,amortization,none,95,20261011,libre,22,100000,0,14,2,measure,0,A,512,1,3154,14,14,14530731229500717811
amortization,amortization,none,95,20261011,libre,22,100000,0,15,34,measure,0,A,8192,1,50199,14,14,1172799074558630895
amortization,amortization,none,95,20261011,libre,22,100000,0,16,5,measure,0,A,2048,1,12552,14,14,18054915317395162777
amortization,amortization,none,95,20261011,libre,22,100000,0,17,0,measure,0,A,512,1,3157,14,14,8733432720601255751
amortization,amortization,none,95,20261011,libre,22,100000,0,18,30,measure,0,A,64,1,416,14,14,5998584804516319426
amortization,amortization,none,95,20261011,libre,22,100000,0,19,16,measure,0,A,1024,1,6300,14,14,6731614774553248394
amortization,amortization,none,95,20261011,libre,22,100000,0,20,35,measure,0,A,2,1,47,14,14,4180927555492628268
amortization,amortization,none,95,20261011,libre,22,100000,0,21,32,measure,0,A,32,1,220,14,14,11655362775921064924
amortization,amortization,none,95,20261011,libre,22,100000,0,22,24,measure,0,A,8192,1,52473,14,14,13697200276612171903
amortization,amortization,none,95,20261011,libre,22,100000,0,23,23,measure,0,A,8192,1,45196,14,14,16265988512354775712
amortization,amortization,none,95,20261011,libre,22,100000,0,24,38,measure,0,A,512,1,2843,14,14,10134142244373954875
amortization,amortization,none,95,20261011,libre,22,100000,0,25,26,measure,0,A,512,1,2841,14,14,5079221913290129503
amortization,amortization,none,95,20261011,libre,22,100000,0,26,8,measure,0,A,8,1,65,14,14,7030983573953499596
amortization,amortization,none,95,20261011,libre,22,100000,0,27,39,measure,0,A,4,1,46,14,14,11751060586053340553
amortization,amortization,none,95,20261011,libre,22,100000,0,28,4,measure,0,A,1,1,40,14,14,6327544452153364208
amortization,amortization,none,95,20261011,libre,22,100000,0,29,37,measure,0,A,2,1,42,14,14,5163853151709771703
amortization,amortization,none,95,20261011,libre,22,100000,0,30,31,measure,0,A,4,1,81,14,14,17003014180864995544
amortization,amortization,none,95,20261011,libre,22,100000,0,31,7,measure,0,A,64,1,394,14,14,14461471992146982560
amortization,amortization,none,95,20261011,libre,22,100000,0,32,12,measure,0,A,512,1,2838,14,14,14546475797519909106
amortization,amortization,none,95,20261011,libre,22,100000,0,33,11,measure,0,A,4,1,45,14,14,11390887052570418630
amortization,amortization,none,95,20261011,libre,22,100000,0,34,37,measure,0,A,8,1,64,14,14,3774983935633853548
amortization,amortization,none,95,20261011,libre,22,100000,0,35,6,measure,0,A,16,1,110,14,14,12839148059949283332
amortization,amortization,none,95,20261011,libre,22,100000,0,36,9,measure,0,A,64,1,373,14,14,6739043956441730467
amortization,amortization,none,95,20261011,libre,22,100000,0,37,6,measure,0,A,8192,1,45180,14,14,1831073703602902847
amortization,amortization,none,95,20261011,libre,22,100000,0,38,13,measure,0,A,64,1,374,14,14,13604594809722740607
amortization,amortization,none,95,20261011,libre,22,100000,0,39,26,measure,0,A,32768,1,180636,14,14,10089928031501071645
amortization,amortization,none,95,20261011,libre,22,100000,0,40,4,measure,0,A,256,1,1433,14,14,17462796436708188982
amortization,amortization,none,95,20261011,libre,22,100000,0,41,33,measure,0,A,32,1,198,14,14,1233460634509185477
amortization,amortization,none,95,20261011,libre,22,100000,0,42,14,measure,0,A,128,1,726,14,14,3633790179034513408
amortization,amortization,none,95,20261011,libre,22,100000,0,43,16,measure,0,A,16384,1,90325,14,14,11712884904693735003
amortization,amortization,none,95,20261011,libre,22,100000,0,44,5,measure,0,A,16,1,109,14,14,13465313330574264663
amortization,amortization,none,95,20261011,libre,22,100000,0,45,24,measure,0,A,4,1,46,14,14,17319844195577262948
amortization,amortization,none,95,20261011,libre,22,100000,0,46,38,measure,0,A,16384,1,90330,14,14,11883725122206015673
amortization,amortization,none,95,20261011,libre,22,100000,0,47,25,measure,0,A,1,1,40,14,14,17569757245697610531
