protocol,mode,prime,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,43,14,measure,1,A,20000,1,205850,21,21,15968353013626593758
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,44,14,measure,2,B,20000,2,401192,21,21,12216914425767383358
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,45,15,measure,0,A,20000,1,200645,21,21,12006043268436596778
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,46,15,measure,1,A_bis,20000,1,200542,21,21,10073206745693045042
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,47,15,measure,2,B,20000,2,407283,21,21,10209295541434376663
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,48,16,measure,0,A,20000,1,200525,21,21,6668850089753403414
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,49,16,measure,1,B,20000,2,401038,21,21,12184671131108031099
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,50,16,measure,2,A_bis,20000,1,208158,21,21,5649224724999221407
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,51,17,measure,0,A_bis,20000,1,200522,21,21,6008879782538196053
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,52,17,measure,1,A,20000,1,200543,21,21,14272392392629831241
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,53,17,measure,2,B,20000,2,401017,21,21,3351758416136263401
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,54,18,measure,0,B,20000,2,407451,21,21,14345921087118365216
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,55,18,measure,1,A,20000,1,200514,21,21,2569047388988090480
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,56,18,measure,2,A_bis,20000,1,200523,21,21,10134531695696032321
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,57,19,measure,0,A_bis,20000,1,200541,21,21,12062182957154537695
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,58,19,measure,1,B,20000,2,405699,21,21,16526200327227494829
