protocol,mode,prime,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
naive,fixed,clock,12,20260928,libre,22,0,0,0,0,measure,0,A,1,1,84,19,19,643750483507673544
naive,fixed,clock,12,20260928,libre,22,0,0,1,0,measure,1,A_bis,1,1,43,19,19,8687328709255317696
naive,fixed,clock,12,20260928,libre,22,0,0,2,0,measure,2,B,1,2,69,19,19,2825449324562487486
