compiler,level,label,n,processes,calls_per_sample,median_ns_per_element,ci95_low,ci95_high,q25_ns_per_element,q75_ns_per_element,between_process_relative_iqr,median_ns_per_call,median_throughput_elements_per_s
clang,O3,sum_array_bis,16384,15,256,0.138119,0.138060,0.138285,0.138022,0.138274,0.0018,2262.941,7240134435
clang,O3,sum_array_bis,65536,15,64,0.140320,0.139708,0.141838,0.139660,0.141514,0.0132,9196.016,7126564664
clang,O3,sum_array_bis,262144,15,16,0.211250,0.202869,0.219388,0.204462,0.217966,0.0639,55378.000,4733720972
clang,O3,sum_array_bis,1048576,15,4,0.560324,0.493187,0.603815,0.500827,0.594289,0.1668,587542.000,1784682627
clang,O3,sum_array_bis,4194304,15,1,0.719333,0.696676,0.754464,0.696301,0.760412,0.0891,3017100.000,1390177323
clang,O3,sum_array_twice,64,15,65536,0.402004,0.396591,0.421208,0.390695,0.420728,0.0747,25.728,2487540366
clang,O3,sum_array_twice,256,15,16384,0.324152,0.323432,0.327452,0.323441,0.327307,0.0119,82.983,3084970282
clang,O3,sum_array_twice,1024,15,4096,0.256110,0.255509,0.256385,0.255483,0.256401,0.0036,262.257,3904572972
clang,O3,sum_array_twice,4096,15,1024,0.258125,0.258032,0.258361,0.258038,0.258397,0.0014,1057.280,3874091008
clang,O3,sum_array_twice,16384,15,256,0.276184,0.276020,0.276433,0.275970,0.276388,0.0015,4524.992,3620779732
clang,O3,sum_array_twice,65536,15,64,0.277040,0.276509,0.278173,0.276620,0.277982,0.0049,18156.078,3609590108
clang,O3,sum_array_twice,262144,15,16,0.401029,0.394168,0.406873,0.394610,0.417699,0.0576,105127.250,2493587533
clang,O3,sum_array_twice,1048576,15,4,1.020184,0.944826,1.152459,0.944953,1.146063,0.1971,1069740.000,980215753
clang,O3,sum_array_twice,4194304,15,1,1.504389,1.464489,1.545302,1.469053,1.548691,0.0529,6309865.000,664721670
clang,O3,sum_discarded,64,15,65536,0.025065,0.025063,0.025067,0.025063,0.025066,0.0001,1.604,39895977400
clang,O3,sum_discarded,256,15,16384,0.006276,0.006276,0.006277,0.006275,0.006277,0.0003,1.607,159339892869
clang,O3,sum_discarded,1024,15,4096,0.001580,0.001579,0.001580,0.001578,0.001581,0.0014,1.618,633006942348
