compiler,level,processes,aa_median,aa_ci95_low,aa_ci95_high,aa_min,aa_max,twice_median,twice_ci95_low,twice_ci95_high,twice_min,twice_max,aa_share_gap_over_5pct,max_involuntary_switches,max_minor_faults
clang,O0,2,1.0023,0.9963,1.0083,0.9963,1.0083,1.9434,1.9091,1.9778,1.9091,1.9778,0.000,3,2
clang,O1,2,0.9909,0.9713,1.0105,0.9713,1.0105,1.9665,1.9498,1.9832,1.9498,1.9832,0.000,1,2
clang,O2,2,1.0056,0.9967,1.0144,0.9967,1.0144,2.0430,2.0243,2.0617,2.0243,2.0617,0.000,3,2
clang,O3,2,0.9913,0.9825,1.0002,0.9825,1.0002,2.0380,2.0343,2.0416,2.0343,2.0416,0.000,1,2
gcc,O0,2,1.0013,0.9993,1.0032,0.9993,1.0032,2.0496,2.0358,2.0633,2.0358,2.0633,0.000,26,2
gcc,O1,2,0.9948,0.9842,1.0054,0.9842,1.0054,2.0039,1.9782,2.0296,1.9782,2.0296,0.000,1,2
gcc,O2,2,1.0103,1.0084,1.0123,1.0084,1.0123,2.0058,2.0019,2.0097,2.0019,2.0097,0.000,7,2
gcc,O3,2,0.9887,0.9803,0.9972,0.9803,0.9972,1.9510,1.9428,1.9591,1.9428,1.9591,0.000,2,2
