compiler,level,c_ns_per_element,F_ns_per_call,sizes
clang,O0,1.0267,26.11,64-65536
clang,O1,0.4024,12.10,64-65536
clang,O2,0.1346,1.56,64-65536
clang,O3,0.1347,1.55,64-65536
gcc,O0,2.8262,-57.79,64-65536
gcc,O1,0.4037,12.28,64-65536
gcc,O2,0.4029,11.47,64-65536
gcc,O3,0.2013,3.74,64-65536
