compiler,level,label,n,processes,calls_per_sample,median_ns_per_element,ci95_low,ci95_high,q25_ns_per_element,q75_ns_per_element,between_process_relative_iqr,median_ns_per_call,median_throughput_elements_per_s
gcc,O3,sum_array_bis,256,2,4096,0.221705,0.217036,0.226374,0.219370,0.224039,0.0211,56.756,4510503852
gcc,O3,sum_array_bis,1024,2,1024,0.195570,0.194615,0.196525,0.195092,0.196048,0.0049,200.264,5113258887
gcc,O3,sum_array_bis,4096,2,256,0.202832,0.200096,0.205569,0.201464,0.204201,0.0135,830.802,4930177340
gcc,O3,sum_array_bis,16384,2,64,0.204578,0.203678,0.205479,0.204128,0.205029,0.0044,3351.812,4888101587
gcc,O3,sum_array_bis,65536,2,16,0.204677,0.202137,0.207217,0.203407,0.205947,0.0124,13413.703,4885749997
gcc,O3,sum_array_bis,262144,2,4,0.285874,0.258793,0.312955,0.272334,0.299415,0.0947,74940.188,3498043023
gcc,O3,sum_array_bis,1048576,2,1,0.649911,0.616427,0.683394,0.633169,0.666653,0.0515,681481.000,1538672391
gcc,O3,sum_array_bis,4194304,2,1,0.706444,0.677303,0.735586,0.691874,0.721015,0.0413,2963042.000,1415539840
gcc,O3,sum_array_twice,64,2,16384,0.487250,0.487020,0.487479,0.487135,0.487365,0.0005,31.184,2052335157
gcc,O3,sum_array_twice,256,2,4096,0.445399,0.439685,0.451114,0.442542,0.448256,0.0128,114.022,2245176486
gcc,O3,sum_array_twice,1024,2,1024,0.390687,0.389431,0.391943,0.390059,0.391315,0.0032,400.063,2559595376
gcc,O3,sum_array_twice,4096,2,256,0.400456,0.399951,0.400961,0.400204,0.400709,0.0013,1640.269,2497152060
gcc,O3,sum_array_twice,16384,2,64,0.402644,0.401624,0.403663,0.402134,0.403153,0.0025,6596.914,2483585483
gcc,O3,sum_array_twice,65536,2,16,0.414933,0.413630,0.416235,0.414281,0.415584,0.0031,27193.031,2410029224
gcc,O3,sum_array_twice,262144,2,4,0.600342,0.479984,0.720700,0.540163,0.660521,0.2005,157376.062,1665717110
gcc,O3,sum_array_twice,1048576,2,1,0.997380,0.994745,1.000016,0.996063,0.998698,0.0026,1045829.000,1002626624
gcc,O3,sum_array_twice,4194304,2,1,1.359323,1.281778,1.436868,1.320551,1.398096,0.0570,5701414.500,735660247
gcc,O3,sum_discarded,64,2,16384,0.025167,0.025108,0.025226,0.025137,0.025196,0.0023,1.611,39734967837
