run_id,core,seed,sample,round,phase,position,label,param,ops,units_per_op,elapsed_ns,deferred_ns,result,expected,resident_before,resident_after,file_pages,read_syscalls,write_syscalls,read_bytes,write_bytes,cancelled_write_bytes,device_reads,device_read_sectors,device_writes,device_write_sectors,device_flushes,journal_commits,deferred_device_writes,deferred_device_write_sectors,deferred_device_flushes,deferred_journal_commits,voluntary_switches,involuntary_switches,cpu_before,cpu_after
1,P,20260921,0,0,warmup,0,append_fsync,256,1,256,8782266,0,256,256,0,0,2048,2,256,4096,1048576,0,1,8,10,2088,1,1,0,0,0,0,3,0,11,11
1,P,20260921,1,0,warmup,1,rand_read_cold_bis,0,256,1,14907570,0,256,256,0,256,2048,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
1,P,20260921,2,0,warmup,2,seq_read_direct,0,64,32,6394740,0,2048,2048,256,256,2048,66,0,8388608,0,0,64,16384,0,0,0,0,0,0,0,0,64,0,11,11
1,P,20260921,3,0,warmup,3,seq_read_warm,0,64,32,1455336,0,2048,2048,2048,2048,2048,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
1,P,20260921,4,0,warmup,4,append_fsync,4,64,4,437219953,0,256,256,0,0,2048,2,256,12288,1048576,0,3,24,192,5240,64,64,0,0,0,0,131,0,11,11
1,P,20260921,5,0,warmup,5,rand_read_cold,0,256,1,14716102,0,256,256,0,256,2048,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
1,P,20260921,6,0,warmup,6,seq_read_cold,0,64,32,3957005,0,2048,2048,0,2048,2048,66,0,8388608,0,0,64,16384,0,0,0,0,0,0,0,0,21,0,11,11
1,P,20260921,7,0,warmup,7,overwrite_fsync,1,256,1,1770136679,0,256,256,0,0,2048,2,256,0,1048576,0,0,0,768,8200,256,256,0,0,0,0,511,0,11,11
1,P,20260921,8,0,warmup,8,rand_read_direct_double,0,256,2,28367684,0,512,512,2048,2048,2048,514,0,2097152,0,0,512,4096,0,0,0,0,0,0,0,0,512,0,11,11
1,P,20260921,9,0,warmup,9,overwrite_odsync_folio,1,256,1,524451123,0,256,256,0,0,2048,2,256,0,268435456,0,0,0,512,2048,256,0,0,0,0,0,512,1,11,11
1,P,20260921,10,0,warmup,10,overwrite_fdatasync_folio,1,256,1,518763059,0,256,256,0,0,2048,2,256,0,268435456,0,0,0,512,2048,256,0,0,0,0,0,511,2,11,11
1,P,20260921,11,0,warmup,11,overwrite_fdatasync_bis,1,256,1,535170032,0,256,256,0,0,2048,2,256,0,1048576,0,0,0,512,2048,256,0,0,0,0,0,512,3,11,11
1,P,20260921,12,0,warmup,12,rand_read_warm,0,256,1,310435,0,256,256,2048,2048,2048,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
1,P,20260921,13,0,warmup,13,append_fsync,16,16,16,114827185,0,256,256,0,0,2048,2,256,0,1048576,0,0,0,48,2840,16,16,0,0,0,0,32,0,11,11
1,P,20260921,14,0,warmup,14,rand_read_direct,0,256,1,14119629,0,256,256,2048,2048,2048,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
1,P,20260921,15,0,warmup,15,overwrite_odsync,1,256,1,524715242,0,256,256,0,0,2048,2,256,0,1048576,0,0,0,512,2048,256,0,0,0,0,0,512,0,11,11
1,P,20260921,16,0,warmup,16,append_fsync,64,4,64,31095219,0,256,256,0,0,2048,2,256,0,1048576,0,0,0,16,2208,4,4,0,0,0,0,12,0,11,11
1,P,20260921,17,0,warmup,17,append_fsync,1,256,1,1817168433,0,256,256,0,0,2048,2,256,4096,1048576,0,1,8,799,18384,256,256,0,0,0,0,513,0,11,11
1,P,20260921,18,0,warmup,18,tmpfs_append_fsync,1,256,1,734283,0,256,256,0,0,2048,2,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
1,P,20260921,19,0,warmup,19,overwrite_fdatasync_double,1,256,2,1060486808,0,512,512,0,0,2048,2,512,0,2097152,0,0,0,1024,4096,512,0,0,0,0,0,1023,5,11,11
1,P,20260921,20,0,warmup,20,append_fdatasync,1,256,1,1782714351,0,256,256,0,0,2048,2,256,8192,1048576,0,2,16,778,15112,260,258,0,0,0,0,516,0,11,11
1,P,20260921,21,0,warmup,21,append_buffered,0,256,1,1138347,7192802,256,256,0,0,2048,2,256,0,1048576,0,0,0,0,0,0,0,10,2088,1,1,0,0,11,11
1,P,20260921,22,0,warmup,22,overwrite_fdatasync,1,256,1,518185087,0,256,256,0,0,2048,2,256,0,1048576,0,0,0,512,2048,256,0,0,0,0,0,512,1,11,11
1,P,20260921,23,1,measure,0,overwrite_odsync_folio,1,256,1,552639375,0,256,256,0,0,2048,2,256,0,268435456,0,0,0,512,2048,256,0,0,0,0,0,512,6,11,11
1,P,20260921,24,1,measure,1,rand_read_direct,0,256,1,14081619,0,256,256,2048,2048,2048,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
1,P,20260921,25,1,measure,2,append_buffered,0,256,1,1365096,7158561,256,256,0,0,2048,2,256,0,1048576,0,0,0,0,0,0,0,10,2088,1,1,0,0,11,11
