run_id,core,seed,sample,round,phase,position,label,chunk,calls,elapsed_ns,user_us,system_us,read_syscalls,write_syscalls,cpu_before,cpu_after,result,expected
1,P,20260920,50,1,measure,17,read_dev_zero,16,4096,737831,103,635,4098,0,11,11,65536,65536
1,P,20260920,51,1,measure,18,syscall_enosys,0,16384,1773105,904,869,2,0,11,11,16384,16384
1,P,20260920,52,1,measure,19,write_dev_null,16384,1024,155033,66,90,2,1024,11,11,16777216,16777216
1,P,20260920,53,1,measure,20,write_dev_null,64,4096,637843,0,639,2,4096,11,11,262144,262144
1,P,20260920,54,1,measure,21,write_dev_null,16,4096,626146,627,0,2,4096,11,11,65536,65536
1,P,20260920,55,1,measure,22,read_dev_zero,4096,4096,874757,875,0,4098,0,11,11,16777216,16777216
1,P,20260920,56,1,measure,23,syscall_getppid_double,0,16384,3804193,470,3334,2,0,11,11,59150532608,59150532608
1,P,20260920,57,1,measure,24,read_dev_zero,1,4096,742127,0,743,4098,0,11,11,4096,4096
1,P,20260920,58,1,measure,25,write_dev_null,1048576,16,2713,0,3,2,16,11,11,16777216,16777216
1,P,20260920,59,1,measure,26,syscall_clock_gettime,0,16384,2604989,0,2605,2,0,11,11,16384,16384
1,P,20260920,60,1,measure,27,syscall_getppid_bis,0,16384,1916858,726,1191,2,0,11,11,29575266304,29575266304
1,P,20260920,61,1,measure,28,read_dev_zero,4,4096,735899,288,448,4098,0,11,11,16384,16384
1,P,20260920,62,1,measure,29,write_dev_null,262144,64,9918,4,6,2,64,11,11,16777216,16777216
1,P,20260920,63,1,measure,30,write_dev_null,256,4096,626146,626,0,2,4096,11,11,1048576,1048576
1,P,20260920,64,1,measure,31,write_dev_null,1024,4096,630846,76,555,2,4096,11,11,4194304,4194304
1,P,20260920,65,1,measure,32,read_dev_zero,1024,4096,801999,0,802,4098,0,11,11,4194304,4194304
