run_id,build,seed,sample,round,phase,position,workload,variant,elements,passes,elapsed_ns,result,gc_delta,cpu_before,cpu_after
32,c-O2,20260922,0,0,warmup,0,hash_chain,control_bis,1048576,1,1724014,60edcbcfce416d11,0,11,11
32,c-O2,20260922,1,0,warmup,1,hash_chain,control,1048576,1,1849148,60edcbcfce416d11,0,11,11
32,c-O2,20260922,2,0,warmup,2,count,control,4194304,1,15187924,575011b204ab0ef9,0,11,11
32,c-O2,20260922,3,0,warmup,3,hash_chain,control_double,1048576,2,4745827,cafe17741c251268,0,11,11
32,c-O2,20260922,4,0,warmup,4,dot,control,1048576,1,1731065,410ff74524ad2567,0,11,11
32,c-O2,20260922,5,1,measure,0,hash_chain,control_bis,1048576,1,1786992,60edcbcfce416d11,0,11,11
32,c-O2,20260922,6,1,measure,1,count,control,4194304,1,15303547,575011b204ab0ef9,0,11,11
32,c-O2,20260922,7,1,measure,2,dot,control,1048576,1,1762661,410ff74524ad2567,0,11,11
32,c-O2,20260922,8,1,measure,3,hash_chain,control_double,1048576,2,4126544,cafe17741c251268,0,11,11
32,c-O2,20260922,9,1,measure,4,hash_chain,control,1048576,1,1990068,60edcbcfce416d11,0,11,11
32,c-O2,20260922,10,2,measure,0,hash_chain,control_double,1048576,2,3952075,cafe17741c251268,0,11,11
32,c-O2,20260922,11,2,measure,1,dot,control,1048576,1,1495183,410ff74524ad2567,0,11,11
32,c-O2,20260922,12,2,measure,2,count,control,4194304,1,15568672,575011b204ab0ef9,0,11,11
32,c-O2,20260922,13,2,measure,3,hash_chain,control_bis,1048576,1,1952522,60edcbcfce416d11,0,11,11
32,c-O2,20260922,14,2,measure,4,hash_chain,control,1048576,1,1877868,60edcbcfce416d11,0,11,11
32,c-O2,20260922,15,3,measure,0,dot,control,1048576,1,1903400,410ff74524ad2567,0,11,11
32,c-O2,20260922,16,3,measure,1,hash_chain,control,1048576,1,1912948,60edcbcfce416d11,0,11,11
32,c-O2,20260922,17,3,measure,2,count,control,4194304,1,16001524,575011b204ab0ef9,0,11,11
32,c-O2,20260922,18,3,measure,3,hash_chain,control_double,1048576,2,3803563,cafe17741c251268,0,11,11
32,c-O2,20260922,19,3,measure,4,hash_chain,control_bis,1048576,1,1866749,60edcbcfce416d11,0,11,11
32,c-O2,20260922,20,4,measure,0,dot,control,1048576,1,1087897,410ff74524ad2567,0,11,11
32,c-O2,20260922,21,4,measure,1,hash_chain,control_bis,1048576,1,1886723,60edcbcfce416d11,0,11,11
32,c-O2,20260922,22,4,measure,2,hash_chain,control_double,1048576,2,3599422,cafe17741c251268,0,11,11
32,c-O2,20260922,23,4,measure,3,hash_chain,control,1048576,1,1916776,60edcbcfce416d11,0,11,11
32,c-O2,20260922,24,4,measure,4,count,control,4194304,1,15164112,575011b204ab0ef9,0,11,11
32,c-O2,20260922,25,5,measure,0,hash_chain,control_bis,1048576,1,2025001,60edcbcfce416d11,0,11,11
32,c-O2,20260922,26,5,measure,1,hash_chain,control,1048576,1,1929218,60edcbcfce416d11,0,11,11
