run_id,build,seed,sample,round,phase,position,workload,variant,elements,passes,elapsed_ns,result,gc_delta,cpu_before,cpu_after
8,go,20260922,0,0,warmup,0,hash_chain,control_double,1048576,2,3830691,cafe17741c251268,0,11,11
8,go,20260922,1,0,warmup,1,count,idiomatic,4194304,1,85865804,575011b204ab0ef9,0,11,11
8,go,20260922,2,0,warmup,2,dot,control,1048576,1,1670703,410ff74524ad2567,0,11,11
8,go,20260922,3,0,warmup,3,hash_chain,control_bis,1048576,1,1930130,60edcbcfce416d11,0,11,11
8,go,20260922,4,0,warmup,4,hash_chain,idiomatic,1048576,1,2123786,60edcbcfce416d11,0,11,11
8,go,20260922,5,0,warmup,5,count,idiomatic_bis,4194304,1,84233970,575011b204ab0ef9,0,11,11
8,go,20260922,6,0,warmup,6,dot,idiomatic,1048576,1,1565671,410ff74524ad2567,0,11,11
8,go,20260922,7,0,warmup,7,hash_chain,control,1048576,1,1961930,60edcbcfce416d11,0,11,11
8,go,20260922,8,0,warmup,8,count,control,4194304,1,15398609,575011b204ab0ef9,0,11,11
8,go,20260922,9,1,measure,0,count,idiomatic,4194304,1,83702389,575011b204ab0ef9,0,11,11
8,go,20260922,10,1,measure,1,hash_chain,control_bis,1048576,1,1739672,60edcbcfce416d11,0,11,11
8,go,20260922,11,1,measure,2,dot,control,1048576,1,1575697,410ff74524ad2567,0,11,11
8,go,20260922,12,1,measure,3,count,control,4194304,1,15348619,575011b204ab0ef9,0,11,11
8,go,20260922,13,1,measure,4,hash_chain,control_double,1048576,2,4029709,cafe17741c251268,0,11,11
8,go,20260922,14,1,measure,5,count,idiomatic_bis,4194304,1,84653669,575011b204ab0ef9,0,11,11
8,go,20260922,15,1,measure,6,hash_chain,control,1048576,1,1936509,60edcbcfce416d11,0,11,11
8,go,20260922,16,1,measure,7,hash_chain,idiomatic,1048576,1,1874059,60edcbcfce416d11,0,11,11
8,go,20260922,17,1,measure,8,dot,idiomatic,1048576,1,1520888,410ff74524ad2567,0,11,11
8,go,20260922,18,2,measure,0,dot,control,1048576,1,1497313,410ff74524ad2567,0,11,11
8,go,20260922,19,2,measure,1,count,control,4194304,1,14625371,575011b204ab0ef9,0,11,11
8,go,20260922,20,2,measure,2,count,idiomatic_bis,4194304,1,83990311,575011b204ab0ef9,0,11,11
8,go,20260922,21,2,measure,3,dot,idiomatic,1048576,1,1582483,410ff74524ad2567,0,11,11
8,go,20260922,22,2,measure,4,hash_chain,control_bis,1048576,1,1842861,60edcbcfce416d11,0,11,11
8,go,20260922,23,2,measure,5,hash_chain,control_double,1048576,2,4064200,cafe17741c251268,0,11,11
8,go,20260922,24,2,measure,6,count,idiomatic,4194304,1,88722257,575011b204ab0ef9,0,11,11
8,go,20260922,25,2,measure,7,hash_chain,idiomatic,1048576,1,1881184,60edcbcfce416d11,0,11,11
8,go,20260922,26,2,measure,8,hash_chain,control,1048576,1,2039126,60edcbcfce416d11,0,11,11
8,go,20260922,27,3,measure,0,count,control,4194304,1,14721636,575011b204ab0ef9,0,11,11
8,go,20260922,28,3,measure,1,dot,idiomatic,1048576,1,1533789,410ff74524ad2567,0,11,11
8,go,20260922,29,3,measure,2,hash_chain,control,1048576,1,1845125,60edcbcfce416d11,0,11,11
8,go,20260922,30,3,measure,3,hash_chain,control_double,1048576,2,4182922,cafe17741c251268,0,11,11
8,go,20260922,31,3,measure,4,dot,control,1048576,1,1527012,410ff74524ad2567,0,11,11
8,go,20260922,32,3,measure,5,hash_chain,idiomatic,1048576,1,2087342,60edcbcfce416d11,0,11,11
8,go,20260922,33,3,measure,6,count,idiomatic_bis,4194304,1,83938574,575011b204ab0ef9,0,11,11
8,go,20260922,34,3,measure,7,count,idiomatic,4194304,1,82878250,575011b204ab0ef9,0,11,11
8,go,20260922,35,3,measure,8,hash_chain,control_bis,1048576,1,1939186,60edcbcfce416d11,0,11,11
8,go,20260922,36,4,measure,0,count,idiomatic_bis,4194304,1,82698868,575011b204ab0ef9,0,11,11
8,go,20260922,37,4,measure,1,hash_chain,control,1048576,1,1908633,60edcbcfce416d11,0,11,11
8,go,20260922,38,4,measure,2,hash_chain,control_bis,1048576,1,1792461,60edcbcfce416d11,0,11,11
8,go,20260922,39,4,measure,3,dot,control,1048576,1,1907076,410ff74524ad2567,0,11,11
8,go,20260922,40,4,measure,4,dot,idiomatic,1048576,1,1634004,410ff74524ad2567,0,11,11
