repetition,position,label,elapsed_ns,user_us,system_us,max_rss_kib,status
21,3,python-numpy,96018703,80354,14880,29736,0
21,4,c-O2,895091,800,0,1912,0
21,5,go,1405339,0,1347,2132,0
22,0,rust,849500,0,806,2220,0
22,1,go,1074475,1025,0,2132,0
22,2,python,19557472,13507,5788,11184,0
22,3,python-numpy,97506364,83715,12955,29496,0
22,4,c-O3,848538,0,772,1912,0
22,5,c-O2,574827,0,533,1912,0
23,0,c-O2,559763,496,0,1912,0
23,1,python,19142111,15938,2988,11360,0
23,2,c-O3,703186,0,646,1912,0
23,3,rust,829608,784,0,2304,0
23,4,python-numpy,96665662,84802,10974,29776,0
23,5,go,1595510,0,1492,2132,0
24,0,c-O2,725076,0,685,1912,0
24,1,python,19705707,18432,1024,11184,0
24,2,rust,993956,924,0,2336,0
24,3,go,1508530,0,1417,2132,0
24,4,python-numpy,97930795,77321,19825,29656,0
24,5,c-O3,879735,772,0,1912,0
25,0,go,1345606,1289,0,2132,0
25,1,python-numpy,97868027,79261,17833,29692,0
25,2,python,19809939,13685,5865,11252,0
25,3,c-O3,837104,769,0,1912,0
25,4,c-O2,559352,521,0,1912,0
25,5,rust,772650,0,732,2160,0
26,0,c-O3,518550,0,481,1912,0
26,1,c-O2,611477,546,0,1912,0
26,2,go,1301818,1241,0,2132,0
26,3,rust,722554,681,0,2320,0
26,4,python-numpy,98739452,80061,17791,29488,0
26,5,python,20428364,14079,6034,11292,0
27,0,python-numpy,101393405,82731,17728,29672,0
27,1,c-O3,860816,792,0,1912,0
27,2,rust,982103,0,875,2152,0
27,3,c-O2,558341,517,0,1912,0
27,4,go,1468590,0,1416,2132,0
27,5,python,21199666,17902,2983,11184,0
28,0,python-numpy,102347574,86096,15016,29640,0
28,1,rust,1107997,0,1026,2196,0
28,2,c-O3,690898,0,617,1912,0
28,3,go,1747001,0,1684,2132,0
28,4,c-O2,584225,543,0,1912,0
28,5,python,19732829,12652,6812,11064,0
29,0,python,19815120,14681,4893,11208,0
29,1,c-O2,852058,0,755,1912,0
29,2,c-O3,556207,517,0,1912,0
29,3,python-numpy,100071666,84308,14877,29628,0
29,4,go,1597359,0,1471,2132,0
29,5,rust,1012669,969,0,2188,0
30,0,rust,757897,715,0,2196,0
30,1,python-numpy,99751962,77115,21750,29636,0
30,2,c-O3,830495,757,0,1912,0
30,3,python,19479877,15404,3851,11276,0
30,4,c-O2,1062289,0,971,1912,0
30,5,go,1466087,0,1381,2132,0
31,0,c-O3,603537,0,560,1912,0
31,1,rust,747042,0,708,2236,0
31,2,go,1233011,0,1155,2132,0
31,3,python-numpy,99577022,79961,18756,29616,0
31,4,c-O2,850370,769,0,1912,0
31,5,python,20056330,17811,1979,11184,0
32,0,python,19371469,18096,1005,11068,0
32,1,c-O3,818420,0,751,1912,0
32,2,rust,806893,0,763,2152,0
32,3,python-numpy,99973753,81207,17825,29760,0
32,4,go,1617856,0,1474,2132,0
32,5,c-O2,1031265,0,991,1912,0
33,0,python,19883566,10815,8848,11352,0
33,1,python-numpy,101021503,76255,23767,29828,0
33,2,c-O2,892449,0,812,1912,0
33,3,go,1588006,0,1525,2132,0
33,4,c-O3,772108,688,0,1912,0
33,5,rust,863849,0,816,2152,0
34,0,rust,795902,747,0,2188,0
34,1,go,1130268,1039,0,2132,0
34,2,python,20248344,15874,3968,11108,0
34,3,c-O2,767352,0,677,1912,0
34,4,c-O3,546756,0,508,1912,0
34,5,python-numpy,99831568,84981,13834,29700,0
35,0,go,1502364,0,1414,2132,0
35,1,c-O2,727367,687,0,1912,0
