core,pages,bytes,class,processes,samples,share_of_samples,first_touch_ns_per_4k_page,ci95_low,ci95_high,first_touch_us_per_mib,second_over_first,median_faults
LP-E,2m,16777216,huge,8,80,1.000,1029.8,1025.7,1050.5,263.6,0.0430,8
LP-E,2m,268435456,huge,8,80,1.000,1032.5,1026.0,1040.9,264.3,0.0455,128
LP-E,4k,16777216,base,8,80,1.000,2408.0,2350.6,2413.3,616.4,0.0187,4096
LP-E,4k,268435456,base,8,80,1.000,2466.9,2453.6,2539.5,631.5,0.0194,65536
P,2m,16777216,huge,8,80,1.000,683.9,667.8,707.0,175.1,0.0289,8
P,2m,268435456,huge,8,80,1.000,508.9,505.0,511.7,130.3,0.0443,128
P,4k,16777216,base,8,80,1.000,1972.8,1934.2,2032.0,505.0,0.0113,4096
P,4k,268435456,base,8,80,1.000,1800.9,1793.5,1811.7,461.0,0.0237,65536
