core,pages,label,bytes,processes,median_ns_per_access,ci95_low,ci95_high
LP-E,4k,chase_random,8192,8,1.769,1.754,1.810
LP-E,4k,chase_random,16384,8,1.926,1.886,2.279
LP-E,4k,chase_random,32768,8,2.303,2.273,2.445
LP-E,4k,chase_random,65536,8,7.127,6.590,7.471
LP-E,4k,chase_random,131072,8,9.955,9.516,10.227
LP-E,4k,chase_random,262144,8,14.316,13.977,14.731
LP-E,4k,chase_random,524288,8,21.810,21.582,22.379
LP-E,4k,chase_random,1048576,8,34.404,33.560,34.793
LP-E,4k,chase_random,2097152,8,95.046,93.582,97.819
LP-E,4k,chase_random,4194304,8,236.106,234.390,239.027
LP-E,4k,chase_random,8388608,8,309.857,307.686,314.291
LP-E,4k,chase_random,16777216,8,353.976,352.839,357.862
LP-E,4k,chase_random,33554432,8,380.548,377.382,383.137
LP-E,4k,chase_random,67108864,8,397.141,392.220,399.186
LP-E,4k,chase_random,134217728,8,411.885,410.201,412.558
LP-E,4k,chase_random,268435456,8,433.244,426.536,435.757
LP-E,4k,chase_random_double,4096,8,1.835,1.677,1.904
LP-E,4k,chase_random_double,8192,8,1.776,1.704,1.893
LP-E,4k,chase_random_double,16384,8,1.818,1.784,1.869
LP-E,4k,chase_random_double,32768,8,2.069,1.997,2.232
LP-E,4k,chase_random_double,65536,8,6.252,6.186,6.628
LP-E,4k,chase_random_double,131072,8,8.957,8.699,9.062
LP-E,4k,chase_random_double,262144,8,11.738,11.677,12.042
LP-E,4k,chase_random_double,524288,8,16.549,16.222,17.189
LP-E,4k,chase_random_double,1048576,8,23.128,22.744,23.582
LP-E,4k,chase_random_double,2097152,8,78.849,72.003,83.662
LP-E,4k,chase_random_double,4194304,8,230.748,228.042,231.685
LP-E,4k,chase_random_double,8388608,8,308.374,307.614,311.021
LP-E,4k,chase_random_double,16777216,8,353.368,352.769,355.390
LP-E,4k,chase_random_double,33554432,8,379.549,376.699,381.717
LP-E,4k,chase_random_double,67108864,8,395.657,393.121,396.571
LP-E,4k,chase_random_double,134217728,8,409.653,407.876,413.341
LP-E,4k,chase_random_double,268435456,8,430.035,424.187,435.141
LP-E,4k,chase_sequential,4096,8,1.619,1.619,1.653
LP-E,4k,chase_sequential,8192,8,1.669,1.626,2.007
LP-E,4k,chase_sequential,16384,8,1.642,1.630,1.801
LP-E,4k,chase_sequential,32768,8,1.646,1.640,1.678
LP-E,4k,chase_sequential,65536,8,1.694,1.686,1.731
LP-E,4k,chase_sequential,131072,8,1.825,1.710,2.123
