core,pages,label,bytes,processes,median_ns_per_access,ci95_low,ci95_high
LP-E,4k,chase_random_double,2097152,1,222.973,222.973,222.973
LP-E,4k,chase_random_double,4194304,1,300.359,300.359,300.359
LP-E,4k,chase_random_double,8388608,1,346.325,346.325,346.325
LP-E,4k,chase_random_double,16777216,1,387.784,387.784,387.784
LP-E,4k,chase_sequential,4096,1,3.565,3.565,3.565
LP-E,4k,chase_sequential,8192,1,3.490,3.490,3.490
LP-E,4k,chase_sequential,16384,1,3.524,3.524,3.524
LP-E,4k,chase_sequential,32768,1,3.597,3.597,3.597
LP-E,4k,chase_sequential,65536,1,3.769,3.769,3.769
LP-E,4k,chase_sequential,131072,1,4.022,4.022,4.022
LP-E,4k,chase_sequential,262144,1,15.886,15.886,15.886
LP-E,4k,chase_sequential,524288,1,3.927,3.927,3.927
LP-E,4k,chase_sequential,1048576,1,3.998,3.998,3.998
LP-E,4k,chase_sequential,2097152,1,3.887,3.887,3.887
LP-E,4k,chase_sequential,4194304,1,3.950,3.950,3.950
LP-E,4k,chase_sequential,8388608,1,4.243,4.243,4.243
LP-E,4k,chase_sequential,16777216,1,3.991,3.991,3.991
LP-E,4k,independent_random,4096,1,3.343,3.343,3.343
LP-E,4k,independent_random,8192,1,3.356,3.356,3.356
LP-E,4k,independent_random,16384,1,6.357,6.357,6.357
LP-E,4k,independent_random,32768,1,3.598,3.598,3.598
LP-E,4k,independent_random,65536,1,7.178,7.178,7.178
LP-E,4k,independent_random,131072,1,4.812,4.812,4.812
LP-E,4k,independent_random,262144,1,6.539,6.539,6.539
LP-E,4k,independent_random,524288,1,10.992,10.992,10.992
LP-E,4k,independent_random,1048576,1,15.867,15.867,15.867
LP-E,4k,independent_random,2097152,1,21.865,21.865,21.865
LP-E,4k,independent_random,4194304,1,25.903,25.903,25.903
LP-E,4k,independent_random,8388608,1,26.049,26.049,26.049
LP-E,4k,independent_random,16777216,1,31.667,31.667,31.667
LP-E,4k,independent_random_bis,4096,1,3.334,3.334,3.334
LP-E,4k,independent_random_bis,8192,1,3.385,3.385,3.385
LP-E,4k,independent_random_bis,16384,1,3.441,3.441,3.441
LP-E,4k,independent_random_bis,32768,1,3.694,3.694,3.694
LP-E,4k,independent_random_bis,65536,1,4.155,4.155,4.155
LP-E,4k,independent_random_bis,131072,1,4.810,4.810,4.810
LP-E,4k,independent_random_bis,262144,1,6.373,6.373,6.373
LP-E,4k,independent_random_bis,524288,1,12.734,12.734,12.734
LP-E,4k,independent_random_bis,1048576,1,5.983,5.983,5.983
LP-E,4k,independent_random_bis,2097152,1,25.827,25.827,25.827
LP-E,4k,independent_random_bis,4194304,1,22.139,22.139,22.139
LP-E,4k,independent_random_bis,8388608,1,28.350,28.350,28.350
LP-E,4k,independent_random_bis,16777216,1,32.836,32.836,32.836
P,2m,chase_random,4096,1,4.156,4.156,4.156
P,2m,chase_random,8192,1,4.584,4.584,4.584
P,2m,chase_random,16384,1,4.740,4.740,4.740
P,2m,chase_random,32768,1,4.900,4.900,4.900
P,2m,chase_random,65536,1,9.495,9.495,9.495
P,2m,chase_random,131072,1,11.310,11.310,11.310
P,2m,chase_random,262144,1,32.860,32.860,32.860
P,2m,chase_random,524288,1,23.256,23.256,23.256
P,2m,chase_random,1048576,1,35.095,35.095,35.095
P,2m,chase_random,2097152,1,63.838,63.838,63.838
P,2m,chase_random,4194304,1,148.607,148.607,148.607
P,2m,chase_random,8388608,1,246.369,246.369,246.369
P,2m,chase_random,16777216,1,288.146,288.146,288.146
P,2m,chase_random_double,4096,1,4.260,4.260,4.260
P,2m,chase_random_double,8192,1,4.071,4.071,4.071
P,2m,chase_random_double,16384,1,4.256,4.256,4.256
P,2m,chase_random_double,32768,1,6.422,6.422,6.422
P,2m,chase_random_double,65536,1,6.136,6.136,6.136
P,2m,chase_random_double,131072,1,8.861,8.861,8.861
P,2m,chase_random_double,262144,1,11.828,11.828,11.828
P,2m,chase_random_double,524288,1,28.952,28.952,28.952
P,2m,chase_random_double,1048576,1,74.474,74.474,74.474
P,2m,chase_random_double,2097152,1,114.453,114.453,114.453
P,2m,chase_random_double,4194304,1,117.085,117.085,117.085
P,2m,chase_random_double,8388608,1,261.274,261.274,261.274
P,2m,chase_random_double,16777216,1,293.855,293.855,293.855
P,2m,chase_sequential,4096,1,3.934,3.934,3.934
P,2m,chase_sequential,8192,1,2.994,2.994,2.994
P,2m,chase_sequential,16384,1,4.633,4.633,4.633
P,2m,chase_sequential,32768,1,3.975,3.975,3.975
P,2m,chase_sequential,65536,1,3.745,3.745,3.745
P,2m,chase_sequential,131072,1,4.682,4.682,4.682
P,2m,chase_sequential,262144,1,4.329,4.329,4.329
P,2m,chase_sequential,524288,1,4.354,4.354,4.354
P,2m,chase_sequential,1048576,1,4.531,4.531,4.531
P,2m,chase_sequential,2097152,1,4.002,4.002,4.002
P,2m,chase_sequential,4194304,1,4.368,4.368,4.368
P,2m,chase_sequential,8388608,1,4.603,4.603,4.603
P,2m,chase_sequential,16777216,1,5.080,5.080,5.080
P,2m,independent_random,4096,1,1.384,1.384,1.384
P,2m,independent_random,8192,1,1.751,1.751,1.751
P,2m,independent_random,16384,1,1.887,1.887,1.887
P,2m,independent_random,32768,1,2.259,2.259,2.259
P,2m,independent_random,65536,1,1.780,1.780,1.780
P,2m,independent_random,131072,1,1.911,1.911,1.911
P,2m,independent_random,262144,1,2.724,2.724,2.724
P,2m,independent_random,524288,1,3.329,3.329,3.329
P,2m,independent_random,1048576,1,6.264,6.264,6.264
P,2m,independent_random,2097152,1,10.999,10.999,10.999
P,2m,independent_random,4194304,1,12.089,12.089,12.089
P,2m,independent_random,8388608,1,13.913,13.913,13.913
P,2m,independent_random,16777216,1,14.743,14.743,14.743
P,2m,independent_random_bis,4096,1,1.868,1.868,1.868
P,2m,independent_random_bis,8192,1,2.182,2.182,2.182
P,2m,independent_random_bis,16384,1,2.142,2.142,2.142
P,2m,independent_random_bis,32768,1,2.285,2.285,2.285
P,2m,independent_random_bis,65536,1,2.268,2.268,2.268
P,2m,independent_random_bis,131072,1,2.130,2.130,2.130
P,2m,independent_random_bis,262144,1,3.774,3.774,3.774
P,2m,independent_random_bis,524288,1,2.084,2.084,2.084
P,2m,independent_random_bis,1048576,1,2.904,2.904,2.904
