import time: self [us] | cumulative | imported package
import time:       223 |        223 |   _io
import time:        40 |         40 |   marshal
import time:       317 |        317 |   posix
import time:       659 |       1237 | _frozen_importlib_external
import time:        98 |         98 |   time
import time:       251 |        348 | zipimport
import time:        55 |         55 |     _codecs
import time:       597 |        651 |   codecs
import time:       424 |        424 |   encodings.aliases
import time:       584 |       1657 | encodings
import time:       185 |        185 | encodings.utf_8
import time:        95 |         95 | _signal
import time:        35 |         35 |       _abc
import time:       172 |        206 |     abc
import time:        44 |         44 |       _stat
import time:        99 |        142 |     stat
import time:       927 |        927 |     _collections_abc
import time:        83 |         83 |       errno
import time:       100 |        100 |       genericpath
import time:       161 |        344 |     posixpath
import time:       533 |       2150 |   os
import time:       118 |        118 |   _sitebuiltins
import time:       216 |        216 |   encodings.utf_8_sig
import time:       921 |        921 |   _distutils_hack
import time:        59 |         59 |     _types
import time:       305 |        363 |   types
import time:       145 |        145 |     importlib
import time:       177 |        177 |     importlib._abc
import time:       175 |        497 |   importlib.util
import time:        64 |         64 |   importlib.machinery
import time:       180 |        180 |     apport_python_hook
import time:       175 |        354 |   sitecustomize
import time:        68 |         68 |   usercustomize
import time:      1611 |       6359 | site
import time:        50 |         50 |       _contextvars
import time:       392 |        441 |     _py_warnings
import time:       161 |        602 |   warnings
import time:       172 |        172 |   numpy.version
import time:       114 |        114 |   numpy._expired_attrs_2_0
import time:      1466 |       1466 |     enum
import time:       118 |        118 |           itertools
import time:       137 |        137 |           keyword
import time:        87 |         87 |             _operator
import time:       288 |        374 |           operator
import time:       195 |        195 |           reprlib
import time:        77 |         77 |           _collections
import time:       881 |       1779 |         collections
import time:        72 |         72 |         _functools
import time:       637 |       2487 |       functools
import time:       179 |        179 |       numpy._utils._convertions
import time:       199 |       2864 |     numpy._utils
import time:       279 |       4608 |   numpy._globals
import time:        39 |         39 |     numpy._distributor_init_local
import time:       138 |        177 |   numpy._distributor_init
import time:        64 |         64 |               _datetime
import time:       210 |        274 |             datetime
import time:        61 |         61 |             math
import time:       249 |        249 |             numpy.exceptions
import time:       273 |        273 |             numpy._core._exceptions
import time:       114 |        114 |               contextvars
import time:       126 |        239 |             numpy._core.printoptions
import time:       117 |        117 |             numpy.dtypes
import time:      9450 |      10660 |           numpy._core._multiarray_umath
import time:       140 |        140 |             numpy._utils._inspect
import time:       422 |        562 |           numpy._core.overrides
import time:       585 |      11805 |         numpy._core.multiarray
import time:       263 |        263 |         numpy._core.umath
import time:       373 |        373 |           numbers
import time:       207 |        207 |           numpy._core._dtype
import time:       127 |        127 |           numpy._core._string_helpers
import time:       831 |        831 |           numpy._core._type_aliases
import time:       351 |       1886 |         numpy._core.numerictypes
import time:       204 |        204 |           numpy._core._ufunc_config
import time:       157 |        157 |                 copyreg
import time:        96 |         96 |                   _struct
import time:       105 |        201 |                 struct
import time:       249 |        249 |                 io
import time:       262 |        262 |                 _compat_pickle
import time:       123 |        123 |                 _pickle
import time:       772 |       1761 |               pickle
import time:       650 |        650 |               contextlib
import time:       247 |       2658 |             numpy._core._methods
import time:       858 |       3515 |           numpy._core.fromnumeric
import time:       217 |       3936 |         numpy._core._machar
import time:       330 |        330 |             numpy._core.shape_base
import time:       148 |        148 |             numpy._core._asarray
import time:       594 |        594 |             numpy._core.arrayprint
import time:       757 |       1828 |           numpy._core.numeric
import time:       306 |       2133 |         numpy._core.einsumfunc
import time:       242 |        242 |         numpy._core.function_base
import time:       318 |        318 |         numpy._core.getlimits
import time:       196 |        196 |         numpy._core.memmap
import time:       329 |        329 |         numpy._core.records
import time:       980 |        980 |         numpy._core._add_newdocs
import time:       371 |        371 |         numpy._core._add_newdocs_scalars
import time:       136 |        136 |         numpy._core._dtype_ctypes
import time:      1017 |       1017 |             _ast
import time:       392 |       1409 |           ast
import time:        85 |         85 |               _sre
import time:       271 |        271 |                 re._constants
import time:       420 |        690 |               re._parser
import time:       129 |        129 |               re._casefix
import time:       401 |       1304 |             re._compiler
import time:       618 |       1922 |           re
import time:       190 |        190 |                 _weakrefset
import time:       658 |        848 |               threading
import time:       421 |       1268 |             sysconfig
import time:       812 |        812 |             _ctypes
import time:       321 |        321 |             ctypes._endian
import time:       921 |       3320 |           ctypes
import time:       784 |       7434 |         numpy._core._internal
import time:       172 |        172 |         numpy._pytesttester
import time:       712 |      30906 |       numpy._core
import time:        27 |      30932 |     numpy._core._multiarray_umath
import time:       339 |      31271 |   numpy.__config__
import time:        55 |         55 |                   _typing
import time:      2394 |       2448 |                 typing
import time:       240 |        240 |                     numpy._typing._nbit_base
import time:       233 |        233 |                     numpy._typing._nested_sequence
