import time: self [us] | cumulative | imported package
import time:       198 |        198 |   _io
import time:        37 |         37 |   marshal
import time:       274 |        274 |   posix
import time:       656 |       1164 | _frozen_importlib_external
import time:        90 |         90 |   time
import time:       241 |        330 | zipimport
import time:        56 |         56 |     _codecs
import time:       570 |        625 |   codecs
import time:       398 |        398 |   encodings.aliases
import time:       538 |       1561 | encodings
import time:       187 |        187 | encodings.utf_8
import time:        98 |         98 | _signal
import time:        56 |         56 |       _abc
import time:       178 |        233 |     abc
import time:        45 |         45 |       _stat
import time:        98 |        142 |     stat
import time:       921 |        921 |     _collections_abc
import time:        65 |         65 |       errno
import time:        96 |         96 |       genericpath
import time:       151 |        311 |     posixpath
import time:       515 |       2120 |   os
import time:       113 |        113 |   _sitebuiltins
import time:       209 |        209 |   encodings.utf_8_sig
import time:       884 |        884 |   _distutils_hack
import time:        52 |         52 |     _types
import time:       269 |        321 |   types
import time:       140 |        140 |     importlib
import time:       173 |        173 |     importlib._abc
import time:       169 |        481 |   importlib.util
import time:        79 |         79 |   importlib.machinery
import time:       163 |        163 |     apport_python_hook
import time:       115 |        278 |   sitecustomize
import time:        66 |         66 |   usercustomize
import time:      1514 |       6058 | site
import time:        54 |         54 |       _contextvars
import time:       408 |        462 |     _py_warnings
import time:       162 |        623 |   warnings
import time:       220 |        220 |   numpy.version
import time:       113 |        113 |   numpy._expired_attrs_2_0
import time:      1506 |       1506 |     enum
import time:       137 |        137 |           itertools
import time:       153 |        153 |           keyword
import time:        78 |         78 |             _operator
import time:       298 |        376 |           operator
import time:       193 |        193 |           reprlib
import time:        78 |         78 |           _collections
import time:       896 |       1831 |         collections
import time:        77 |         77 |         _functools
import time:       702 |       2608 |       functools
import time:       190 |        190 |       numpy._utils._convertions
import time:       248 |       3045 |     numpy._utils
import time:       295 |       4845 |   numpy._globals
import time:        50 |         50 |     numpy._distributor_init_local
import time:       144 |        193 |   numpy._distributor_init
import time:        63 |         63 |               _datetime
import time:       214 |        277 |             datetime
import time:        57 |         57 |             math
import time:       264 |        264 |             numpy.exceptions
import time:       293 |        293 |             numpy._core._exceptions
import time:       122 |        122 |               contextvars
import time:       118 |        240 |             numpy._core.printoptions
import time:       196 |        196 |             numpy.dtypes
import time:      9485 |      10808 |           numpy._core._multiarray_umath
import time:       140 |        140 |             numpy._utils._inspect
import time:       394 |        533 |           numpy._core.overrides
import time:       581 |      11921 |         numpy._core.multiarray
import time:       215 |        215 |         numpy._core.umath
import time:       375 |        375 |           numbers
import time:       193 |        193 |           numpy._core._dtype
import time:       125 |        125 |           numpy._core._string_helpers
import time:       856 |        856 |           numpy._core._type_aliases
import time:       353 |       1901 |         numpy._core.numerictypes
import time:       222 |        222 |           numpy._core._ufunc_config
import time:       168 |        168 |                 copyreg
import time:        91 |         91 |                   _struct
import time:       113 |        203 |                 struct
import time:       246 |        246 |                 io
import time:       254 |        254 |                 _compat_pickle
import time:       120 |        120 |                 _pickle
import time:       764 |       1752 |               pickle
import time:       640 |        640 |               contextlib
import time:       235 |       2626 |             numpy._core._methods
import time:       849 |       3474 |           numpy._core.fromnumeric
import time:       224 |       3918 |         numpy._core._machar
import time:       360 |        360 |             numpy._core.shape_base
import time:       166 |        166 |             numpy._core._asarray
import time:       612 |        612 |             numpy._core.arrayprint
import time:       824 |       1960 |           numpy._core.numeric
import time:       336 |       2296 |         numpy._core.einsumfunc
import time:       273 |        273 |         numpy._core.function_base
import time:       325 |        325 |         numpy._core.getlimits
import time:       192 |        192 |         numpy._core.memmap
import time:       347 |        347 |         numpy._core.records
import time:      1005 |       1005 |         numpy._core._add_newdocs
import time:       410 |        410 |         numpy._core._add_newdocs_scalars
import time:       133 |        133 |         numpy._core._dtype_ctypes
import time:      1039 |       1039 |             _ast
import time:       395 |       1433 |           ast
import time:        88 |         88 |               _sre
import time:       272 |        272 |                 re._constants
import time:       403 |        674 |               re._parser
import time:       123 |        123 |               re._casefix
import time:       362 |       1245 |             re._compiler
import time:       605 |       1850 |           re
