import time: self [us] | cumulative | imported package
import time:       380 |        380 |       numpy.lib._iotools
import time:       642 |       4351 |     numpy.lib._npyio_impl
import time:       167 |        167 |         numpy.lib._ufunclike_impl
import time:       287 |        453 |       numpy.lib._type_check_impl
import time:       528 |        980 |     numpy.lib._polynomial_impl
import time:       391 |        391 |     numpy.lib._shape_base_impl
import time:       146 |        146 |     numpy.lib._version
import time:       112 |        112 |     numpy.lib.introspect
import time:       183 |        183 |     numpy.lib.mixins
import time:        88 |         88 |     numpy.lib.npyio
import time:       261 |        261 |       numpy.lib._scimath_impl
import time:        83 |        344 |     numpy.lib.scimath
import time:       395 |      24926 |   numpy.lib
import time:       159 |        159 |   numpy._array_api_info
import time:      2304 |      64193 | numpy
