import time: self [us] | cumulative | imported package
import time:       204 |        204 |   _io
import time:        38 |         38 |   marshal
import time:       286 |        286 |   posix
import time:       630 |       1157 | _frozen_importlib_external
import time:        99 |         99 |   time
import time:       244 |        343 | zipimport
import time:        58 |         58 |     _codecs
import time:       551 |        608 |   codecs
import time:       407 |        407 |   encodings.aliases
import time:       535 |       1550 | encodings
import time:       201 |        201 | encodings.utf_8
import time:        96 |         96 | _signal
import time:        35 |         35 |       _abc
import time:       190 |        225 |     abc
import time:        43 |         43 |       _stat
import time:       103 |        146 |     stat
import time:       922 |        922 |     _collections_abc
import time:        67 |         67 |       errno
import time:        96 |         96 |       genericpath
import time:       161 |        323 |     posixpath
import time:       525 |       2138 |   os
import time:       111 |        111 |   _sitebuiltins
import time:       214 |        214 |   encodings.utf_8_sig
import time:       894 |        894 |   _distutils_hack
import time:        56 |         56 |     _types
import time:       270 |        326 |   types
import time:       145 |        145 |     importlib
import time:       179 |        179 |     importlib._abc
import time:       173 |        496 |   importlib.util
import time:        74 |         74 |   importlib.machinery
import time:       165 |        165 |     apport_python_hook
import time:       115 |        279 |   sitecustomize
import time:        67 |         67 |   usercustomize
import time:      1568 |       6163 | site
import time:        44 |         44 |       _contextvars
import time:       386 |        430 |     _py_warnings
import time:       145 |        574 |   warnings
import time:       171 |        171 |   numpy.version
import time:       111 |        111 |   numpy._expired_attrs_2_0
import time:      1431 |       1431 |     enum
import time:       119 |        119 |           itertools
import time:       137 |        137 |           keyword
import time:        78 |         78 |             _operator
import time:       293 |        370 |           operator
import time:       190 |        190 |           reprlib
import time:        76 |         76 |           _collections
import time:       882 |       1773 |         collections
import time:        70 |         70 |         _functools
import time:       691 |       2533 |       functools
import time:       178 |        178 |       numpy._utils._convertions
import time:       200 |       2910 |     numpy._utils
import time:       287 |       4628 |   numpy._globals
import time:        40 |         40 |     numpy._distributor_init_local
import time:       141 |        180 |   numpy._distributor_init
import time:        62 |         62 |               _datetime
import time:       184 |        246 |             datetime
import time:        56 |         56 |             math
import time:       239 |        239 |             numpy.exceptions
import time:       270 |        270 |             numpy._core._exceptions
import time:       109 |        109 |               contextvars
import time:       123 |        232 |             numpy._core.printoptions
import time:       122 |        122 |             numpy.dtypes
import time:      9230 |      10392 |           numpy._core._multiarray_umath
import time:       140 |        140 |             numpy._utils._inspect
import time:       376 |        515 |           numpy._core.overrides
import time:       563 |      11470 |         numpy._core.multiarray
import time:       211 |        211 |         numpy._core.umath
import time:       366 |        366 |           numbers
import time:       181 |        181 |           numpy._core._dtype
import time:       120 |        120 |           numpy._core._string_helpers
import time:       827 |        827 |           numpy._core._type_aliases
import time:       361 |       1853 |         numpy._core.numerictypes
import time:       204 |        204 |           numpy._core._ufunc_config
import time:       160 |        160 |                 copyreg
import time:        85 |         85 |                   _struct
import time:       105 |        189 |                 struct
import time:       243 |        243 |                 io
import time:       255 |        255 |                 _compat_pickle
import time:       120 |        120 |                 _pickle
import time:       772 |       1736 |               pickle
import time:       662 |        662 |               contextlib
import time:       236 |       2633 |             numpy._core._methods
import time:       839 |       3472 |           numpy._core.fromnumeric
import time:       232 |       3908 |         numpy._core._machar
import time:       325 |        325 |             numpy._core.shape_base
import time:       146 |        146 |             numpy._core._asarray
import time:       593 |        593 |             numpy._core.arrayprint
import time:       774 |       1836 |           numpy._core.numeric
import time:       313 |       2148 |         numpy._core.einsumfunc
import time:       264 |        264 |         numpy._core.function_base
import time:       319 |        319 |         numpy._core.getlimits
import time:       190 |        190 |         numpy._core.memmap
import time:       345 |        345 |         numpy._core.records
import time:       964 |        964 |         numpy._core._add_newdocs
import time:       365 |        365 |         numpy._core._add_newdocs_scalars
import time:       130 |        130 |         numpy._core._dtype_ctypes
import time:      1047 |       1047 |             _ast
import time:       393 |       1440 |           ast
import time:        95 |         95 |               _sre
import time:       272 |        272 |                 re._constants
import time:       414 |        686 |               re._parser
import time:       123 |        123 |               re._casefix
import time:       381 |       1284 |             re._compiler
import time:       617 |       1901 |           re
import time:       189 |        189 |                 _weakrefset
import time:       665 |        853 |               threading
import time:       395 |       1248 |             sysconfig
import time:       749 |        749 |             _ctypes
import time:       317 |        317 |             ctypes._endian
import time:       901 |       3213 |           ctypes
import time:       776 |       7328 |         numpy._core._internal
import time:       168 |        168 |         numpy._pytesttester
import time:       692 |      30350 |       numpy._core
import time:        26 |      30376 |     numpy._core._multiarray_umath
import time:       328 |      30703 |   numpy.__config__
import time:        55 |         55 |                   _typing
import time:      2382 |       2437 |                 typing
import time:       235 |        235 |                     numpy._typing._nbit_base
import time:       222 |        222 |                     numpy._typing._nested_sequence
import time:       122 |        122 |                     numpy._typing._shape
import time:      1424 |       2002 |                   numpy._typing._array_like
import time:      1517 |       1517 |                   numpy._typing._char_codes
import time:       603 |        603 |                     annotationlib
import time:      1283 |       1886 |                   numpy._typing._dtype_like
import time:       214 |        214 |                   numpy._typing._nbit
import time:       136 |        136 |                   numpy._typing._scalars
import time:        97 |         97 |                   numpy._typing._ufunc
import time:       325 |       6174 |                 numpy._typing
import time:       276 |        276 |                   numpy.lib._stride_tricks_impl
import time:       332 |        607 |                 numpy.lib._twodim_base_impl
import time:       100 |        100 |                   numpy.lib._array_utils_impl
import time:       133 |        233 |                 numpy.lib.array_utils
import time:       860 |        860 |                 numpy.linalg._umath_linalg
import time:      1887 |      12195 |               numpy.linalg._linalg
import time:       133 |        133 |               numpy.linalg.linalg
import time:       176 |      12503 |             numpy.linalg
import time:       324 |      12826 |           numpy.matrixlib.defmatrix
import time:       131 |      12957 |         numpy.matrixlib
import time:      1569 |       1569 |           numpy.lib._histograms_impl
import time:      1101 |       2669 |         numpy.lib._function_base_impl
import time:       152 |        152 |         numpy.lib.stride_tricks
import time:       467 |      16243 |       numpy.lib._index_tricks_impl
import time:       322 |      16564 |     numpy.lib._arraypad_impl
import time:       990 |        990 |     numpy.lib._arraysetops_impl
import time:       212 |        212 |     numpy.lib._arrayterator_impl
import time:       494 |        494 |     numpy.lib._nanfunctions_impl
import time:       576 |        576 |       weakref
import time:        88 |         88 |               _wmi
import time:       742 |        830 |             platform
import time:       798 |        798 |             textwrap
import time:       254 |       1881 |           numpy.lib._utils_impl
import time:       235 |       2116 |         numpy.lib._format_impl
import time:       124 |       2240 |       numpy.lib.format
import time:       274 |        274 |       numpy.lib._datasource
import time:       364 |        364 |       numpy.lib._iotools
import time:      1052 |       4504 |     numpy.lib._npyio_impl
import time:       128 |        128 |         numpy.lib._ufunclike_impl
import time:       300 |        427 |       numpy.lib._type_check_impl
import time:       527 |        954 |     numpy.lib._polynomial_impl
import time:       436 |        436 |     numpy.lib._shape_base_impl
import time:       167 |        167 |     numpy.lib._version
import time:       101 |        101 |     numpy.lib.introspect
import time:       188 |        188 |     numpy.lib.mixins
import time:        90 |         90 |     numpy.lib.npyio
import time:       287 |        287 |       numpy.lib._scimath_impl
import time:        85 |        371 |     numpy.lib.scimath
import time:       427 |      25493 |   numpy.lib
import time:       169 |        169 |   numpy._array_api_info
import time:      2406 |      64431 | numpy
