protocol,mode,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,74,20260990,libre,22,0,10,47,15,measure,2,A_bis,20000,1,105627,6,6,16423531822433072818
interleaved,interleaved,74,20260990,libre,22,0,10,48,16,measure,0,B,20000,2,190326,6,6,4160052738302223594
interleaved,interleaved,74,20260990,libre,22,0,10,49,16,measure,1,A,20000,1,94972,6,6,18272899445768102861
interleaved,interleaved,74,20260990,libre,22,0,10,50,16,measure,2,A_bis,20000,1,94990,6,6,8351820910402019315
interleaved,interleaved,74,20260990,libre,22,0,10,51,17,measure,0,A_bis,20000,1,94965,6,6,6787091899255797436
interleaved,interleaved,74,20260990,libre,22,0,10,52,17,measure,1,A,20000,1,94952,6,6,4794440382386204489
interleaved,interleaved,74,20260990,libre,22,0,10,53,17,measure,2,B,20000,2,189914,6,6,4092699540941918713
interleaved,interleaved,74,20260990,libre,22,0,10,54,18,measure,0,A,20000,1,94973,6,6,14647154712005496179
interleaved,interleaved,74,20260990,libre,22,0,10,55,18,measure,1,B,20000,2,193417,6,6,10454597516538256776
interleaved,interleaved,74,20260990,libre,22,0,10,56,18,measure,2,A_bis,20000,1,94961,6,6,2533691696537357657
interleaved,interleaved,74,20260990,libre,22,0,10,57,19,measure,0,B,20000,2,189944,6,6,6571859871389663285
interleaved,interleaved,74,20260990,libre,22,0,10,58,19,measure,1,A_bis,20000,1,94976,6,6,13347195508856104270
interleaved,interleaved,74,20260990,libre,22,0,10,59,19,measure,2,A,20000,1,94967,6,6,3951307428758400979
interleaved,interleaved,74,20260990,libre,22,0,10,60,20,measure,0,A_bis,20000,1,94955,6,6,17744569440269608522
interleaved,interleaved,74,20260990,libre,22,0,10,61,20,measure,1,B,20000,2,191585,6,6,18229990959078390204
interleaved,interleaved,74,20260990,libre,22,0,10,62,20,measure,2,A,20000,1,94996,6,6,16129996805691263552
interleaved,interleaved,74,20260990,libre,22,0,10,63,21,measure,0,B,20000,2,198107,6,6,18252189849626902767
interleaved,interleaved,74,20260990,libre,22,0,10,64,21,measure,1,A_bis,20000,1,94965,6,6,17083864000603070829
interleaved,interleaved,74,20260990,libre,22,0,10,65,21,measure,2,A,20000,1,94975,6,6,9964661439877202953
interleaved,interleaved,74,20260990,libre,22,0,10,66,22,measure,0,A,20000,1,94972,6,6,11801621198456768506
interleaved,interleaved,74,20260990,libre,22,0,10,67,22,measure,1,B,20000,2,189920,6,6,8821194680665519006
interleaved,interleaved,74,20260990,libre,22,0,10,68,22,measure,2,A_bis,20000,1,94966,6,6,15700702982658448230
interleaved,interleaved,74,20260990,libre,22,0,10,69,23,measure,0,A,20000,1,94967,6,6,13138693603563384856
interleaved,interleaved,74,20260990,libre,22,0,10,70,23,measure,1,B,20000,2,189946,6,6,16774988214660306318
interleaved,interleaved,74,20260990,libre,22,0,10,71,23,measure,2,A_bis,20000,1,107604,6,6,990422231517392532
interleaved,interleaved,74,20260990,libre,22,0,10,72,24,measure,0,A_bis,20000,1,94975,6,6,5369979163837427615
interleaved,interleaved,74,20260990,libre,22,0,10,73,24,measure,1,B,20000,2,189941,6,6,1400074486832050757
interleaved,interleaved,74,20260990,libre,22,0,10,74,24,measure,2,A,20000,1,94958,6,6,2392906186462380610
interleaved,interleaved,74,20260990,libre,22,0,10,75,25,measure,0,A_bis,20000,1,94957,6,6,787653589742194429
interleaved,interleaved,74,20260990,libre,22,0,10,76,25,measure,1,B,20000,2,189927,6,6,11608758717735980617
interleaved,interleaved,74,20260990,libre,22,0,10,77,25,measure,2,A,20000,1,94972,6,6,16041812658897479782
interleaved,interleaved,74,20260990,libre,22,0,10,78,26,measure,0,A_bis,20000,1,94971,6,6,10583631077325271619
interleaved,interleaved,74,20260990,libre,22,0,10,79,26,measure,1,B,20000,2,193266,6,6,6326106366211276561
interleaved,interleaved,74,20260990,libre,22,0,10,80,26,measure,2,A,20000,1,94965,6,6,2169198144772266081
interleaved,interleaved,74,20260990,libre,22,0,10,81,27,measure,0,A_bis,20000,1,94978,6,6,9293880194735900281
interleaved,interleaved,74,20260990,libre,22,0,10,82,27,measure,1,B,20000,2,189923,6,6,5567974224050667233
