protocol,mode,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,115,20261031,libre,22,0,10,0,0,warmup,0,A,20000,1,123245,16,16,18394221670077763051
interleaved,interleaved,115,20261031,libre,22,0,10,1,0,warmup,1,B,20000,2,220555,16,16,4768503844789210928
interleaved,interleaved,115,20261031,libre,22,0,10,2,0,warmup,2,A_bis,20000,1,110277,16,16,11174905552214032890
interleaved,interleaved,115,20261031,libre,22,0,10,3,1,warmup,0,A_bis,20000,1,110261,16,16,13212341839688627592
interleaved,interleaved,115,20261031,libre,22,0,10,4,1,warmup,1,B,20000,2,220528,16,16,11937321234984848458
interleaved,interleaved,115,20261031,libre,22,0,10,5,1,warmup,2,A,20000,1,110254,16,16,6895860452682258425
interleaved,interleaved,115,20261031,libre,22,0,10,6,2,warmup,0,B,20000,2,224857,16,16,14415164547696950868
interleaved,interleaved,115,20261031,libre,22,0,10,7,2,warmup,1,A,20000,1,110255,16,16,15794718684804656979
interleaved,interleaved,115,20261031,libre,22,0,10,8,2,warmup,2,A_bis,20000,1,110270,16,16,13551220650873830007
interleaved,interleaved,115,20261031,libre,22,0,10,9,3,warmup,0,A_bis,20000,1,110291,16,16,17057090103509725172
interleaved,interleaved,115,20261031,libre,22,0,10,10,3,warmup,1,B,20000,2,250049,16,16,5825338143443242713
interleaved,interleaved,115,20261031,libre,22,0,10,11,3,warmup,2,A,20000,1,126088,16,16,18113314021755333323
interleaved,interleaved,115,20261031,libre,22,0,10,12,4,warmup,0,A,20000,1,110281,16,16,11225816090254404901
interleaved,interleaved,115,20261031,libre,22,0,10,13,4,warmup,1,A_bis,20000,1,110273,16,16,8013145325734744896
interleaved,interleaved,115,20261031,libre,22,0,10,14,4,warmup,2,B,20000,2,228017,16,16,10588041114117574942
interleaved,interleaved,115,20261031,libre,22,0,10,15,5,warmup,0,A,20000,1,110271,16,16,2216074017303567644
interleaved,interleaved,115,20261031,libre,22,0,10,16,5,warmup,1,B,20000,2,220507,16,16,14330089590929914531
interleaved,interleaved,115,20261031,libre,22,0,10,17,5,warmup,2,A_bis,20000,1,110263,16,16,12959450702241042007
interleaved,interleaved,115,20261031,libre,22,0,10,18,6,warmup,0,A_bis,20000,1,110277,16,16,6019769418363064892
interleaved,interleaved,115,20261031,libre,22,0,10,19,6,warmup,1,A,20000,1,110245,16,16,4722619842346846295
interleaved,interleaved,115,20261031,libre,22,0,10,20,6,warmup,2,B,20000,2,223136,16,16,12484928996322564533
interleaved,interleaved,115,20261031,libre,22,0,10,21,7,warmup,0,A,20000,1,110253,16,16,13477867131081300019
interleaved,interleaved,115,20261031,libre,22,0,10,22,7,warmup,1,B,20000,2,220521,16,16,4054157768855496167
interleaved,interleaved,115,20261031,libre,22,0,10,23,7,warmup,2,A_bis,20000,1,110260,16,16,2724320176375815077
interleaved,interleaved,115,20261031,libre,22,0,10,24,8,warmup,0,A,20000,1,110251,16,16,18141206470624785393
interleaved,interleaved,115,20261031,libre,22,0,10,25,8,warmup,1,B,20000,2,220534,16,16,8081940335943115480
interleaved,interleaved,115,20261031,libre,22,0,10,26,8,warmup,2,A_bis,20000,1,110254,16,16,7203474501558091277
interleaved,interleaved,115,20261031,libre,22,0,10,27,9,warmup,0,A_bis,20000,1,113222,16,16,2791789021642987689
interleaved,interleaved,115,20261031,libre,22,0,10,28,9,warmup,1,A,20000,1,110277,16,16,11901285847032886072
interleaved,interleaved,115,20261031,libre,22,0,10,29,9,warmup,2,B,20000,2,220502,16,16,3414944533601518676
interleaved,interleaved,115,20261031,libre,22,0,10,30,10,measure,0,B,20000,2,220518,16,16,16083140711274063608
interleaved,interleaved,115,20261031,libre,22,0,10,31,10,measure,1,A_bis,20000,1,110264,16,16,8221802004972029824
interleaved,interleaved,115,20261031,libre,22,0,10,32,10,measure,2,A,20000,1,110278,16,16,2858052123859907705
interleaved,interleaved,115,20261031,libre,22,0,10,33,11,measure,0,A,20000,1,110250,16,16,16937813066795457502
interleaved,interleaved,115,20261031,libre,22,0,10,34,11,measure,1,B,20000,2,301553,16,1,12398289534455408485
interleaved,interleaved,115,20261031,libre,22,0,10,35,11,measure,2,A_bis,20000,1,90335,1,1,12758310212900404229
interleaved,interleaved,115,20261031,libre,22,0,10,36,12,measure,0,A_bis,20000,1,90220,1,1,14658242758122597435
interleaved,interleaved,115,20261031,libre,22,0,10,37,12,measure,1,A,20000,1,97951,1,1,4136047551131976637
interleaved,interleaved,115,20261031,libre,22,0,10,38,12,measure,2,B,20000,2,215823,1,1,16828107400045027722
interleaved,interleaved,115,20261031,libre,22,0,10,39,13,measure,0,A,20000,1,98605,1,1,12406054250203530228
interleaved,interleaved,115,20261031,libre,22,0,10,40,13,measure,1,B,20000,2,226310,1,1,14260751850147024459
interleaved,interleaved,115,20261031,libre,22,0,10,41,13,measure,2,A_bis,20000,1,90224,1,1,17292181975625313408
interleaved,interleaved,115,20261031,libre,22,0,10,42,14,measure,0,A,20000,1,90224,1,1,17736393323793052899
interleaved,interleaved,115,20261031,libre,22,0,10,43,14,measure,1,A_bis,20000,1,90217,1,1,5489992978207330414
interleaved,interleaved,115,20261031,libre,22,0,10,44,14,measure,2,B,20000,2,180428,1,1,16727582231972871023
interleaved,interleaved,115,20261031,libre,22,0,10,45,15,measure,0,A,20000,1,90219,1,1,1064496008381998911
interleaved,interleaved,115,20261031,libre,22,0,10,46,15,measure,1,B,20000,2,180403,1,1,6840389725750820666
interleaved,interleaved,115,20261031,libre,22,0,10,47,15,measure,2,A_bis,20000,1,90220,1,1,14286738531342902134
interleaved,interleaved,115,20261031,libre,22,0,10,48,16,measure,0,A_bis,20000,1,95471,1,1,6685863345409625070
interleaved,interleaved,115,20261031,libre,22,0,10,49,16,measure,1,B,20000,2,180430,1,1,14107064885191388202
interleaved,interleaved,115,20261031,libre,22,0,10,50,16,measure,2,A,20000,1,90216,1,1,14514009554392447542
interleaved,interleaved,115,20261031,libre,22,0,10,51,17,measure,0,A,20000,1,90237,1,1,15275565917767017240
interleaved,interleaved,115,20261031,libre,22,0,10,52,17,measure,1,A_bis,20000,1,90215,1,1,18130754978895871483
interleaved,interleaved,115,20261031,libre,22,0,10,53,17,measure,2,B,20000,2,180426,1,1,2662267826464039188
interleaved,interleaved,115,20261031,libre,22,0,10,54,18,measure,0,B,20000,2,180433,1,1,3009602292294569912
interleaved,interleaved,115,20261031,libre,22,0,10,55,18,measure,1,A_bis,20000,1,90235,1,1,11115108424738382272
interleaved,interleaved,115,20261031,libre,22,0,10,56,18,measure,2,A,20000,1,92776,1,1,15602698292551729460
interleaved,interleaved,115,20261031,libre,22,0,10,57,19,measure,0,A,20000,1,90259,1,1,3245398618136990141
interleaved,interleaved,115,20261031,libre,22,0,10,58,19,measure,1,A_bis,20000,1,90220,1,1,10433387952623001226
interleaved,interleaved,115,20261031,libre,22,0,10,59,19,measure,2,B,20000,2,180416,1,1,10594709395378085725
interleaved,interleaved,115,20261031,libre,22,0,10,60,20,measure,0,B,20000,2,180425,1,1,15173408470030939761
interleaved,interleaved,115,20261031,libre,22,0,10,61,20,measure,1,A_bis,20000,1,90231,1,1,18015417798266543382
interleaved,interleaved,115,20261031,libre,22,0,10,62,20,measure,2,A,20000,1,90229,1,1,11862306448208283177
interleaved,interleaved,115,20261031,libre,22,0,10,63,21,measure,0,B,20000,2,182094,1,1,4971087218371541627
interleaved,interleaved,115,20261031,libre,22,0,10,64,21,measure,1,A,20000,1,93893,1,1,15351926610408404140
interleaved,interleaved,115,20261031,libre,22,0,10,65,21,measure,2,A_bis,20000,1,90251,1,1,9819259689282700683
interleaved,interleaved,115,20261031,libre,22,0,10,66,22,measure,0,A,20000,1,90215,1,1,18222366992737923244
interleaved,interleaved,115,20261031,libre,22,0,10,67,22,measure,1,A_bis,20000,1,90219,1,1,9253945288347871788
interleaved,interleaved,115,20261031,libre,22,0,10,68,22,measure,2,B,20000,2,180431,1,1,1121692434046591888
interleaved,interleaved,115,20261031,libre,22,0,10,69,23,measure,0,A,20000,1,90218,1,1,9798984855328548799
interleaved,interleaved,115,20261031,libre,22,0,10,70,23,measure,1,A_bis,20000,1,90211,1,1,6629248775799034202
interleaved,interleaved,115,20261031,libre,22,0,10,71,23,measure,2,B,20000,2,180430,1,1,6606322276208708969
interleaved,interleaved,115,20261031,libre,22,0,10,72,24,measure,0,A,20000,1,90220,1,1,447733797524841924
interleaved,interleaved,115,20261031,libre,22,0,10,73,24,measure,1,A_bis,20000,1,90222,1,1,8697013815045060790
interleaved,interleaved,115,20261031,libre,22,0,10,74,24,measure,2,B,20000,2,186826,1,1,11239849072253145214
interleaved,interleaved,115,20261031,libre,22,0,10,75,25,measure,0,B,20000,2,180436,1,1,13999419460270613808
interleaved,interleaved,115,20261031,libre,22,0,10,76,25,measure,1,A_bis,20000,1,90220,1,1,11689087601051154043
interleaved,interleaved,115,20261031,libre,22,0,10,77,25,measure,2,A,20000,1,90220,1,1,7653672110977460084
interleaved,interleaved,115,20261031,libre,22,0,10,78,26,measure,0,A,20000,1,90217,1,1,6951344640685964464
interleaved,interleaved,115,20261031,libre,22,0,10,79,26,measure,1,A_bis,20000,1,90238,1,1,10551170990736750947
interleaved,interleaved,115,20261031,libre,22,0,10,80,26,measure,2,B,20000,2,180409,1,1,432157522344621871
interleaved,interleaved,115,20261031,libre,22,0,10,81,27,measure,0,A_bis,20000,1,90216,1,1,17763985579329824613
interleaved,interleaved,115,20261031,libre,22,0,10,82,27,measure,1,B,20000,2,199059,1,1,16668016470285835793
interleaved,interleaved,115,20261031,libre,22,0,10,83,27,measure,2,A,20000,1,90221,1,1,16509337369658797529
interleaved,interleaved,115,20261031,libre,22,0,10,84,28,measure,0,B,20000,2,180441,1,1,9340178236370339774
interleaved,interleaved,115,20261031,libre,22,0,10,85,28,measure,1,A,20000,1,90216,1,1,2917080863942004714
interleaved,interleaved,115,20261031,libre,22,0,10,86,28,measure,2,A_bis,20000,1,90239,1,1,1718822809424374917
interleaved,interleaved,115,20261031,libre,22,0,10,87,29,measure,0,A_bis,20000,1,90221,1,1,17245579956650808102
interleaved,interleaved,115,20261031,libre,22,0,10,88,29,measure,1,A,20000,1,90239,1,1,4900740164368957166
interleaved,interleaved,115,20261031,libre,22,0,10,89,29,measure,2,B,20000,2,186417,1,1,5370490122992258308
interleaved,interleaved,115,20261031,libre,22,0,10,90,30,measure,0,B,20000,2,180414,1,1,11963479352936178757
interleaved,interleaved,115,20261031,libre,22,0,10,91,30,measure,1,A,20000,1,90229,1,1,12164528316239727517
interleaved,interleaved,115,20261031,libre,22,0,10,92,30,measure,2,A_bis,20000,1,90220,1,1,3071308757846106086
interleaved,interleaved,115,20261031,libre,22,0,10,93,31,measure,0,B,20000,2,180436,1,1,14605753874779625251
interleaved,interleaved,115,20261031,libre,22,0,10,94,31,measure,1,A_bis,20000,1,90220,1,1,4005552793867735179
interleaved,interleaved,115,20261031,libre,22,0,10,95,31,measure,2,A,20000,1,90219,1,1,4960226489390287603
interleaved,interleaved,115,20261031,libre,22,0,10,96,32,measure,0,B,20000,2,180435,1,1,10451847721367056212
interleaved,interleaved,115,20261031,libre,22,0,10,97,32,measure,1,A_bis,20000,1,93606,1,1,3688213434656005916
interleaved,interleaved,115,20261031,libre,22,0,10,98,32,measure,2,A,20000,1,90231,1,1,9271384046581561556
interleaved,interleaved,115,20261031,libre,22,0,10,99,33,measure,0,B,20000,2,180425,1,1,17321260788493545560
interleaved,interleaved,115,20261031,libre,22,0,10,100,33,measure,1,A,20000,1,90212,1,1,516727602865123060
interleaved,interleaved,115,20261031,libre,22,0,10,101,33,measure,2,A_bis,20000,1,90240,1,1,7232931008124165728
interleaved,interleaved,115,20261031,libre,22,0,10,102,34,measure,0,B,20000,2,180414,1,1,2695675024273757541
interleaved,interleaved,115,20261031,libre,22,0,10,103,34,measure,1,A_bis,20000,1,90214,1,1,6342359007116253974
interleaved,interleaved,115,20261031,libre,22,0,10,104,34,measure,2,A,20000,1,90220,1,1,8791173774656178635
interleaved,interleaved,115,20261031,libre,22,0,10,105,35,measure,0,B,20000,2,184720,1,1,5816441857893417136
interleaved,interleaved,115,20261031,libre,22,0,10,106,35,measure,1,A_bis,20000,1,90241,1,1,18273194761361522139
interleaved,interleaved,115,20261031,libre,22,0,10,107,35,measure,2,A,20000,1,90223,1,1,11499649488588510276
interleaved,interleaved,115,20261031,libre,22,0,10,108,36,measure,0,A_bis,20000,1,90217,1,1,6823390516178708119
interleaved,interleaved,115,20261031,libre,22,0,10,109,36,measure,1,B,20000,2,180435,1,1,16913824898196101478
interleaved,interleaved,115,20261031,libre,22,0,10,110,36,measure,2,A,20000,1,90220,1,1,18329395869781361066
interleaved,interleaved,115,20261031,libre,22,0,10,111,37,measure,0,A_bis,20000,1,90218,1,1,1144539716849882053
interleaved,interleaved,115,20261031,libre,22,0,10,112,37,measure,1,A,20000,1,90233,1,1,3736700614289135676
interleaved,interleaved,115,20261031,libre,22,0,10,113,37,measure,2,B,20000,2,180412,1,1,13258645663222936457
interleaved,interleaved,115,20261031,libre,22,0,10,114,38,measure,0,A_bis,20000,1,90218,1,1,8662107564491778181
interleaved,interleaved,115,20261031,libre,22,0,10,115,38,measure,1,A,20000,1,94099,1,1,13955385918825954501
interleaved,interleaved,115,20261031,libre,22,0,10,116,38,measure,2,B,20000,2,180431,1,1,4596348870156153458
interleaved,interleaved,115,20261031,libre,22,0,10,117,39,measure,0,B,20000,2,180439,1,1,4368086482401981629
interleaved,interleaved,115,20261031,libre,22,0,10,118,39,measure,1,A_bis,20000,1,90217,1,1,3733576774368097581
interleaved,interleaved,115,20261031,libre,22,0,10,119,39,measure,2,A,20000,1,90224,1,1,15749365133750732607
interleaved,interleaved,115,20261031,libre,22,0,10,120,40,measure,0,A,20000,1,90219,1,1,16828921039646261585
interleaved,interleaved,115,20261031,libre,22,0,10,121,40,measure,1,A_bis,20000,1,90220,1,1,11819464400283197332
interleaved,interleaved,115,20261031,libre,22,0,10,122,40,measure,2,B,20000,2,180437,1,1,15142188343324527656
interleaved,interleaved,115,20261031,libre,22,0,10,123,41,measure,0,A,20000,1,93852,1,1,3521359697611400535
interleaved,interleaved,115,20261031,libre,22,0,10,124,41,measure,1,A_bis,20000,1,90235,1,1,3558965960733080059
interleaved,interleaved,115,20261031,libre,22,0,10,125,41,measure,2,B,20000,2,180421,1,1,14128305622696092195
interleaved,interleaved,115,20261031,libre,22,0,10,126,42,measure,0,B,20000,2,180431,1,1,18280534246497850343
interleaved,interleaved,115,20261031,libre,22,0,10,127,42,measure,1,A,20000,1,90225,1,1,13113156009624460977
interleaved,interleaved,115,20261031,libre,22,0,10,128,42,measure,2,A_bis,20000,1,90218,1,1,10236806761005988637
interleaved,interleaved,115,20261031,libre,22,0,10,129,43,measure,0,A,20000,1,90239,1,1,12737732859784339562
interleaved,interleaved,115,20261031,libre,22,0,10,130,43,measure,1,A_bis,20000,1,90222,1,1,16912842398766552558
interleaved,interleaved,115,20261031,libre,22,0,10,131,43,measure,2,B,20000,2,183579,1,1,3945544796127188640
interleaved,interleaved,115,20261031,libre,22,0,10,132,44,measure,0,A,20000,1,90220,1,1,8372946728137815708
interleaved,interleaved,115,20261031,libre,22,0,10,133,44,measure,1,A_bis,20000,1,90221,1,1,7072390422750759764
interleaved,interleaved,115,20261031,libre,22,0,10,134,44,measure,2,B,20000,2,180429,1,1,13393604761156929615
interleaved,interleaved,115,20261031,libre,22,0,10,135,45,measure,0,A_bis,20000,1,90222,1,1,5195860270517535440
interleaved,interleaved,115,20261031,libre,22,0,10,136,45,measure,1,A,20000,1,90215,1,1,13145024419474116685
interleaved,interleaved,115,20261031,libre,22,0,10,137,45,measure,2,B,20000,2,180432,1,1,10775543904942802176
interleaved,interleaved,115,20261031,libre,22,0,10,138,46,measure,0,B,20000,2,180433,1,1,6337978282645197404
interleaved,interleaved,115,20261031,libre,22,0,10,139,46,measure,1,A,20000,1,94294,1,1,9112712807386951118
interleaved,interleaved,115,20261031,libre,22,0,10,140,46,measure,2,A_bis,20000,1,90221,1,1,15609483502291580724
interleaved,interleaved,115,20261031,libre,22,0,10,141,47,measure,0,B,20000,2,180436,1,1,3937528671465365006
interleaved,interleaved,115,20261031,libre,22,0,10,142,47,measure,1,A,20000,1,90216,1,1,14459506382077733724
interleaved,interleaved,115,20261031,libre,22,0,10,143,47,measure,2,A_bis,20000,1,90217,1,1,15239323855347726109
interleaved,interleaved,115,20261031,libre,22,0,10,144,48,measure,0,A_bis,20000,1,90237,1,1,15632983218055352
interleaved,interleaved,115,20261031,libre,22,0,10,145,48,measure,1,A,20000,1,90231,1,1,1622976166372489407
interleaved,interleaved,115,20261031,libre,22,0,10,146,48,measure,2,B,20000,2,180419,1,1,1707623403195805831
interleaved,interleaved,115,20261031,libre,22,0,10,147,49,measure,0,B,20000,2,184213,1,1,900805696449760828
interleaved,interleaved,115,20261031,libre,22,0,10,148,49,measure,1,A_bis,20000,1,90219,1,1,2228718212463975487
interleaved,interleaved,115,20261031,libre,22,0,10,149,49,measure,2,A,20000,1,90224,1,1,5494446492109466227
interleaved,interleaved,115,20261031,libre,22,0,10,150,50,measure,0,A,20000,1,90220,1,1,3691761981410677965
interleaved,interleaved,115,20261031,libre,22,0,10,151,50,measure,1,B,20000,2,180434,1,1,1553668358840684954
interleaved,interleaved,115,20261031,libre,22,0,10,152,50,measure,2,A_bis,20000,1,90220,1,1,12889483387153276457
interleaved,interleaved,115,20261031,libre,22,0,10,153,51,measure,0,A,20000,1,90223,1,1,1952338496026177693
interleaved,interleaved,115,20261031,libre,22,0,10,154,51,measure,1,B,20000,2,180429,1,1,6997162758501270630
interleaved,interleaved,115,20261031,libre,22,0,10,155,51,measure,2,A_bis,20000,1,90224,1,1,608413927633143150
interleaved,interleaved,115,20261031,libre,22,0,10,156,52,measure,0,A,20000,1,93277,1,1,3048723695342863812
interleaved,interleaved,115,20261031,libre,22,0,10,157,52,measure,1,A_bis,20000,1,90220,1,1,12860014568838341388
interleaved,interleaved,115,20261031,libre,22,0,10,158,52,measure,2,B,20000,2,180437,1,1,16299018554790144175
interleaved,interleaved,115,20261031,libre,22,0,10,159,53,measure,0,A_bis,20000,1,90221,1,1,15839886612836906325
interleaved,interleaved,115,20261031,libre,22,0,10,160,53,measure,1,A,20000,1,90220,1,1,12300758166581719141
interleaved,interleaved,115,20261031,libre,22,0,10,161,53,measure,2,B,20000,2,180426,1,1,2426283644262020084
