protocol,mode,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,123,20261039,LP-E,1,0,10,0,0,warmup,0,A,20000,1,201021,21,21,9407460645013809556
interleaved,interleaved,123,20261039,LP-E,1,0,10,1,0,warmup,1,B,20000,2,420836,21,21,9136035254404655805
interleaved,interleaved,123,20261039,LP-E,1,0,10,2,0,warmup,2,A_bis,20000,1,200666,21,21,15788352939633318807
interleaved,interleaved,123,20261039,LP-E,1,0,10,3,1,warmup,0,B,20000,2,401030,21,21,10123999243097351157
interleaved,interleaved,123,20261039,LP-E,1,0,10,4,1,warmup,1,A,20000,1,200515,21,21,16458695229336786345
interleaved,interleaved,123,20261039,LP-E,1,0,10,5,1,warmup,2,A_bis,20000,1,207748,21,21,3805883110774077649
interleaved,interleaved,123,20261039,LP-E,1,0,10,6,2,warmup,0,A_bis,20000,1,200547,21,21,2141978608419924513
interleaved,interleaved,123,20261039,LP-E,1,0,10,7,2,warmup,1,A,20000,1,200731,21,21,15576161075380488376
interleaved,interleaved,123,20261039,LP-E,1,0,10,8,2,warmup,2,B,20000,2,401171,21,21,4637251369105568149
interleaved,interleaved,123,20261039,LP-E,1,0,10,9,3,warmup,0,B,20000,2,414308,21,21,4170259145845535269
interleaved,interleaved,123,20261039,LP-E,1,0,10,10,3,warmup,1,A_bis,20000,1,200554,21,21,12584053202996284040
interleaved,interleaved,123,20261039,LP-E,1,0,10,11,3,warmup,2,A,20000,1,200513,21,21,10133667885293793873
interleaved,interleaved,123,20261039,LP-E,1,0,10,12,4,warmup,0,B,20000,2,411789,21,21,6019616204641005236
interleaved,interleaved,123,20261039,LP-E,1,0,10,13,4,warmup,1,A,20000,1,200539,21,21,14315806361992227177
interleaved,interleaved,123,20261039,LP-E,1,0,10,14,4,warmup,2,A_bis,20000,1,200517,21,21,10299881654850047487
interleaved,interleaved,123,20261039,LP-E,1,0,10,15,5,warmup,0,A_bis,20000,1,200520,21,21,8175872661314545254
interleaved,interleaved,123,20261039,LP-E,1,0,10,16,5,warmup,1,A,20000,1,200542,21,21,5968170275480958803
