label,repetitions,median_ms,ci95_low,ci95_high,p10_ms,p90_ms,max_rss_kib_median
c-O2,10,0.741,0.536,0.837,0.513,0.862,1784
c-O3,10,0.601,0.570,0.703,0.543,0.774,1784
rust,10,1.000,0.788,1.099,0.744,1.117,2140
go,10,1.359,1.261,1.464,1.246,1.528,2196
python,10,18.972,18.243,19.264,18.032,20.344,11210
python-numpy,10,94.674,92.832,95.950,92.358,96.990,29236
