build,processes,runtime,peak_rss_mib_median,automatic_gc_total_max,jit,gil
c-O2,1,15.2.0,67.0,0,none,none
c-O3,1,15.2.0,67.0,0,none,none
rust,1,rustc,101.5,0,none,none
go,1,go1.26.0,99.1,0,none,none
python,1,CPython 3.14.4 numpy 2.3.5,584.6,0,False,True
