import time: self [us] | cumulative | imported package
import time:       243 |        243 |   _io
import time:        44 |         44 |   marshal
import time:       315 |        315 |   posix
import time:       685 |       1286 | _frozen_importlib_external
import time:       120 |        120 |   time
import time:       263 |        382 | zipimport
import time:        63 |         63 |     _codecs
import time:       586 |        648 |   codecs
import time:       419 |        419 |   encodings.aliases
import time:       589 |       1655 | encodings
import time:       273 |        273 | encodings.utf_8
import time:       102 |        102 | _signal
import time:        46 |         46 |       _abc
import time:       186 |        231 |     abc
import time:        45 |         45 |       _stat
import time:       108 |        152 |     stat
import time:       962 |        962 |     _collections_abc
import time:        71 |         71 |       errno
import time:       104 |        104 |       genericpath
import time:       168 |        342 |     posixpath
import time:       557 |       2241 |   os
import time:       117 |        117 |   _sitebuiltins
import time:       219 |        219 |   encodings.utf_8_sig
import time:       901 |        901 |   _distutils_hack
import time:        55 |         55 |     _types
import time:       281 |        335 |   types
import time:       147 |        147 |     importlib
import time:       232 |        232 |     importlib._abc
import time:       202 |        581 |   importlib.util
import time:        79 |         79 |   importlib.machinery
import time:       179 |        179 |     apport_python_hook
import time:       156 |        334 |   sitecustomize
import time:        78 |         78 |   usercustomize
import time:      1667 |       6549 | site
