import time: self [us] | cumulative | imported package
import time:       201 |        201 |   _io
import time:        39 |         39 |   marshal
import time:       282 |        282 |   posix
import time:       623 |       1144 | _frozen_importlib_external
import time:        96 |         96 |   time
import time:       249 |        345 | zipimport
import time:        55 |         55 |     _codecs
import time:       557 |        612 |   codecs
import time:       399 |        399 |   encodings.aliases
import time:       524 |       1534 | encodings
import time:       191 |        191 | encodings.utf_8
import time:        95 |         95 | _signal
import time:        35 |         35 |       _abc
import time:       168 |        203 |     abc
import time:        42 |         42 |       _stat
import time:       104 |        146 |     stat
import time:       916 |        916 |     _collections_abc
import time:        64 |         64 |       errno
import time:        96 |         96 |       genericpath
import time:       149 |        308 |     posixpath
import time:       526 |       2097 |   os
import time:       110 |        110 |   _sitebuiltins
import time:       211 |        211 |   encodings.utf_8_sig
import time:       876 |        876 |   _distutils_hack
import time:        57 |         57 |     _types
import time:       319 |        376 |   types
import time:       145 |        145 |     importlib
import time:       173 |        173 |     importlib._abc
import time:       172 |        489 |   importlib.util
import time:        64 |         64 |   importlib.machinery
import time:       181 |        181 |     apport_python_hook
import time:       126 |        306 |   sitecustomize
import time:        87 |         87 |   usercustomize
import time:      1515 |       6128 | site
import time:        90 |         90 |       _contextvars
import time:       706 |        795 |     _py_warnings
import time:       278 |       1073 |   warnings
import time:       287 |        287 |   numpy.version
import time:       174 |        174 |   numpy._expired_attrs_2_0
import time:      2216 |       2216 |     enum
import time:       226 |        226 |           itertools
import time:       190 |        190 |           keyword
import time:        80 |         80 |             _operator
import time:       306 |        386 |           operator
import time:       216 |        216 |           reprlib
import time:        85 |         85 |           _collections
import time:      1163 |       2264 |         collections
import time:        75 |         75 |         _functools
import time:       982 |       3320 |       functools
import time:       234 |        234 |       numpy._utils._convertions
import time:       454 |       4007 |     numpy._utils
import time:       421 |       6643 |   numpy._globals
import time:        40 |         40 |     numpy._distributor_init_local
import time:       153 |        193 |   numpy._distributor_init
import time:        72 |         72 |               _datetime
import time:       211 |        282 |             datetime
import time:        68 |         68 |             math
import time:       268 |        268 |             numpy.exceptions
import time:       308 |        308 |             numpy._core._exceptions
import time:       126 |        126 |               contextvars
import time:       128 |        254 |             numpy._core.printoptions
import time:       143 |        143 |             numpy.dtypes
import time:      9762 |      11083 |           numpy._core._multiarray_umath
import time:       139 |        139 |             numpy._utils._inspect
import time:       398 |        536 |           numpy._core.overrides
import time:       617 |      12236 |         numpy._core.multiarray
import time:       202 |        202 |         numpy._core.umath
import time:       379 |        379 |           numbers
import time:       197 |        197 |           numpy._core._dtype
import time:       137 |        137 |           numpy._core._string_helpers
import time:       860 |        860 |           numpy._core._type_aliases
import time:       376 |       1947 |         numpy._core.numerictypes
import time:       210 |        210 |           numpy._core._ufunc_config
import time:       159 |        159 |                 copyreg
import time:        84 |         84 |                   _struct
import time:       121 |        205 |                 struct
import time:       255 |        255 |                 io
import time:       271 |        271 |                 _compat_pickle
import time:       129 |        129 |                 _pickle
import time:       783 |       1800 |               pickle
import time:       647 |        647 |               contextlib
import time:       245 |       2691 |             numpy._core._methods
import time:       860 |       3551 |           numpy._core.fromnumeric
import time:       231 |       3992 |         numpy._core._machar
import time:       334 |        334 |             numpy._core.shape_base
import time:       146 |        146 |             numpy._core._asarray
import time:       590 |        590 |             numpy._core.arrayprint
import time:       789 |       1857 |           numpy._core.numeric
import time:       316 |       2173 |         numpy._core.einsumfunc
import time:       260 |        260 |         numpy._core.function_base
import time:       323 |        323 |         numpy._core.getlimits
import time:       190 |        190 |         numpy._core.memmap
import time:       367 |        367 |         numpy._core.records
import time:       981 |        981 |         numpy._core._add_newdocs
import time:       379 |        379 |         numpy._core._add_newdocs_scalars
import time:       135 |        135 |         numpy._core._dtype_ctypes
import time:      1019 |       1019 |             _ast
import time:       415 |       1434 |           ast
import time:        85 |         85 |               _sre
import time:       271 |        271 |                 re._constants
import time:       430 |        700 |               re._parser
import time:       123 |        123 |               re._casefix
import time:       374 |       1281 |             re._compiler
import time:       613 |       1894 |           re
import time:       186 |        186 |                 _weakrefset
import time:       651 |        837 |               threading
import time:       396 |       1233 |             sysconfig
import time:       712 |        712 |             _ctypes
import time:       310 |        310 |             ctypes._endian
import time:       931 |       3184 |           ctypes
import time:       764 |       7274 |         numpy._core._internal
import time:       180 |        180 |         numpy._pytesttester
import time:       785 |      31415 |       numpy._core
import time:        31 |      31446 |     numpy._core._multiarray_umath
import time:       336 |      31782 |   numpy.__config__
import time:        52 |         52 |                   _typing
import time:      2353 |       2405 |                 typing
import time:       322 |        322 |                     numpy._typing._nbit_base
import time:       240 |        240 |                     numpy._typing._nested_sequence
import time:       124 |        124 |                     numpy._typing._shape
import time:      1391 |       2075 |                   numpy._typing._array_like
import time:      1514 |       1514 |                   numpy._typing._char_codes
import time:       601 |        601 |                     annotationlib
import time:      1220 |       1820 |                   numpy._typing._dtype_like
import time:       159 |        159 |                   numpy._typing._nbit
import time:       142 |        142 |                   numpy._typing._scalars
import time:       105 |        105 |                   numpy._typing._ufunc
import time:       357 |       6170 |                 numpy._typing
import time:       254 |        254 |                   numpy.lib._stride_tricks_impl
import time:       315 |        568 |                 numpy.lib._twodim_base_impl
import time:       101 |        101 |                   numpy.lib._array_utils_impl
import time:       141 |        242 |                 numpy.lib.array_utils
import time:       806 |        806 |                 numpy.linalg._umath_linalg
import time:      1802 |      11990 |               numpy.linalg._linalg
import time:       130 |        130 |               numpy.linalg.linalg
import time:       176 |      12295 |             numpy.linalg
import time:       313 |      12608 |           numpy.matrixlib.defmatrix
import time:       128 |      12735 |         numpy.matrixlib
import time:      1478 |       1478 |           numpy.lib._histograms_impl
import time:      1093 |       2571 |         numpy.lib._function_base_impl
import time:       140 |        140 |         numpy.lib.stride_tricks
import time:       463 |      15908 |       numpy.lib._index_tricks_impl
import time:       311 |      16218 |     numpy.lib._arraypad_impl
import time:       956 |        956 |     numpy.lib._arraysetops_impl
import time:       193 |        193 |     numpy.lib._arrayterator_impl
import time:       468 |        468 |     numpy.lib._nanfunctions_impl
import time:       446 |        446 |       weakref
import time:        86 |         86 |               _wmi
import time:       749 |        835 |             platform
import time:       774 |        774 |             textwrap
import time:       259 |       1868 |           numpy.lib._utils_impl
import time:       250 |       2117 |         numpy.lib._format_impl
import time:       133 |       2249 |       numpy.lib.format
import time:       275 |        275 |       numpy.lib._datasource
import time:       373 |        373 |       numpy.lib._iotools
import time:      1127 |       4469 |     numpy.lib._npyio_impl
import time:       129 |        129 |         numpy.lib._ufunclike_impl
import time:       289 |        418 |       numpy.lib._type_check_impl
import time:       543 |        961 |     numpy.lib._polynomial_impl
import time:       381 |        381 |     numpy.lib._shape_base_impl
import time:       148 |        148 |     numpy.lib._version
import time:       101 |        101 |     numpy.lib.introspect
import time:       189 |        189 |     numpy.lib.mixins
import time:       105 |        105 |     numpy.lib.npyio
import time:       275 |        275 |       numpy.lib._scimath_impl
import time:        97 |        371 |     numpy.lib.scimath
import time:       436 |      24991 |   numpy.lib
import time:       151 |        151 |   numpy._array_api_info
import time:      2581 |      67871 | numpy
