import time: self [us] | cumulative | imported package
import time:       203 |        203 |   _io
import time:        44 |         44 |   marshal
import time:       304 |        304 |   posix
import time:       640 |       1191 | _frozen_importlib_external
import time:        96 |         96 |   time
import time:       256 |        351 | zipimport
import time:        54 |         54 |     _codecs
import time:       564 |        618 |   codecs
import time:       418 |        418 |   encodings.aliases
import time:       572 |       1608 | encodings
import time:       190 |        190 | encodings.utf_8
import time:       103 |        103 | _signal
import time:        37 |         37 |       _abc
import time:       182 |        218 |     abc
import time:        44 |         44 |       _stat
import time:       107 |        151 |     stat
import time:       919 |        919 |     _collections_abc
import time:        68 |         68 |       errno
import time:       100 |        100 |       genericpath
import time:       165 |        332 |     posixpath
import time:       553 |       2171 |   os
import time:       119 |        119 |   _sitebuiltins
import time:       249 |        249 |   encodings.utf_8_sig
import time:       907 |        907 |   _distutils_hack
import time:        54 |         54 |     _types
import time:       275 |        329 |   types
import time:       158 |        158 |     importlib
import time:       183 |        183 |     importlib._abc
import time:       185 |        525 |   importlib.util
import time:        67 |         67 |   importlib.machinery
import time:       166 |        166 |     apport_python_hook
import time:       120 |        286 |   sitecustomize
import time:        72 |         72 |   usercustomize
import time:      1595 |       6315 | site
import time:        47 |         47 |       _contextvars
import time:       400 |        446 |     _py_warnings
import time:       156 |        602 |   warnings
import time:       176 |        176 |   numpy.version
import time:       114 |        114 |   numpy._expired_attrs_2_0
import time:      1401 |       1401 |     enum
import time:       118 |        118 |           itertools
import time:       148 |        148 |           keyword
import time:        78 |         78 |             _operator
import time:       295 |        372 |           operator
import time:       202 |        202 |           reprlib
import time:        84 |         84 |           _collections
import time:       875 |       1797 |         collections
import time:        78 |         78 |         _functools
import time:       628 |       2503 |       functools
import time:       182 |        182 |       numpy._utils._convertions
import time:       212 |       2896 |     numpy._utils
import time:       345 |       4641 |   numpy._globals
import time:        39 |         39 |     numpy._distributor_init_local
import time:       150 |        188 |   numpy._distributor_init
import time:        61 |         61 |               _datetime
import time:       179 |        239 |             datetime
import time:        60 |         60 |             math
import time:       264 |        264 |             numpy.exceptions
import time:       288 |        288 |             numpy._core._exceptions
import time:       112 |        112 |               contextvars
import time:       125 |        236 |             numpy._core.printoptions
import time:       128 |        128 |             numpy.dtypes
import time:      9160 |      10373 |           numpy._core._multiarray_umath
import time:       132 |        132 |             numpy._utils._inspect
import time:       354 |        485 |           numpy._core.overrides
import time:       590 |      11448 |         numpy._core.multiarray
import time:       242 |        242 |         numpy._core.umath
import time:       418 |        418 |           numbers
import time:       219 |        219 |           numpy._core._dtype
import time:       144 |        144 |           numpy._core._string_helpers
import time:       900 |        900 |           numpy._core._type_aliases
import time:       430 |       2109 |         numpy._core.numerictypes
import time:       221 |        221 |           numpy._core._ufunc_config
import time:       159 |        159 |                 copyreg
import time:        92 |         92 |                   _struct
import time:       123 |        214 |                 struct
import time:       243 |        243 |                 io
import time:       265 |        265 |                 _compat_pickle
