import time: self [us] | cumulative | imported package
import time:       210 |        210 |   _io
import time:        38 |         38 |   marshal
import time:       294 |        294 |   posix
import time:       679 |       1219 | _frozen_importlib_external
import time:        99 |         99 |   time
import time:       259 |        357 | zipimport
import time:        57 |         57 |     _codecs
import time:       582 |        639 |   codecs
import time:       409 |        409 |   encodings.aliases
import time:       560 |       1607 | encodings
import time:       202 |        202 | encodings.utf_8
import time:        97 |         97 | _signal
import time:        34 |         34 |       _abc
import time:       184 |        218 |     abc
import time:        44 |         44 |       _stat
import time:       102 |        145 |     stat
import time:       938 |        938 |     _collections_abc
import time:        69 |         69 |       errno
import time:        98 |         98 |       genericpath
import time:       158 |        324 |     posixpath
import time:       532 |       2156 |   os
import time:       117 |        117 |   _sitebuiltins
import time:       217 |        217 |   encodings.utf_8_sig
import time:       892 |        892 |   _distutils_hack
import time:        56 |         56 |     _types
import time:       273 |        328 |   types
import time:       146 |        146 |     importlib
import time:       178 |        178 |     importlib._abc
import time:       182 |        505 |   importlib.util
import time:        65 |         65 |   importlib.machinery
import time:       170 |        170 |     apport_python_hook
import time:       123 |        292 |   sitecustomize
import time:        66 |         66 |   usercustomize
import time:      1613 |       6248 | site
