import time: self [us] | cumulative | imported package
import time:       242 |        242 |   _io
import time:        43 |         43 |   marshal
import time:       365 |        365 |   posix
import time:       743 |       1391 | _frozen_importlib_external
import time:       112 |        112 |   time
import time:       279 |        391 | zipimport
import time:        60 |         60 |     _codecs
import time:       657 |        716 |   codecs
import time:       427 |        427 |   encodings.aliases
import time:       624 |       1767 | encodings
import time:       187 |        187 | encodings.utf_8
import time:       109 |        109 | _signal
import time:        37 |         37 |       _abc
import time:       182 |        219 |     abc
import time:        46 |         46 |       _stat
import time:       104 |        150 |     stat
import time:       996 |        996 |     _collections_abc
import time:        72 |         72 |       errno
import time:       101 |        101 |       genericpath
import time:       182 |        354 |     posixpath
import time:       605 |       2321 |   os
import time:       118 |        118 |   _sitebuiltins
import time:       336 |        336 |   encodings.utf_8_sig
import time:      1355 |       1355 |   _distutils_hack
import time:        96 |         96 |     _types
import time:       454 |        550 |   types
import time:       244 |        244 |     importlib
import time:       202 |        202 |     importlib._abc
import time:       269 |        714 |   importlib.util
import time:        86 |         86 |   importlib.machinery
import time:       196 |        196 |     apport_python_hook
import time:       227 |        422 |   sitecustomize
import time:        69 |         69 |   usercustomize
import time:      2433 |       8400 | site
