import time: self [us] | cumulative | imported package
import time:       213 |        213 |   _io
import time:        40 |         40 |   marshal
import time:       303 |        303 |   posix
import time:       654 |       1208 | _frozen_importlib_external
import time:        96 |         96 |   time
import time:       251 |        347 | zipimport
import time:        56 |         56 |     _codecs
import time:       567 |        623 |   codecs
import time:       429 |        429 |   encodings.aliases
import time:       580 |       1631 | encodings
import time:       184 |        184 | encodings.utf_8
import time:        93 |         93 | _signal
import time:        35 |         35 |       _abc
import time:       176 |        210 |     abc
import time:        42 |         42 |       _stat
import time:        96 |        137 |     stat
import time:       933 |        933 |     _collections_abc
import time:        66 |         66 |       errno
import time:       105 |        105 |       genericpath
import time:       155 |        325 |     posixpath
import time:       533 |       2137 |   os
import time:       110 |        110 |   _sitebuiltins
import time:       219 |        219 |   encodings.utf_8_sig
import time:       895 |        895 |   _distutils_hack
import time:        56 |         56 |     _types
import time:       285 |        341 |   types
import time:       143 |        143 |     importlib
import time:       176 |        176 |     importlib._abc
import time:       172 |        489 |   importlib.util
import time:        63 |         63 |   importlib.machinery
import time:       177 |        177 |     apport_python_hook
import time:       129 |        306 |   sitecustomize
import time:        70 |         70 |   usercustomize
import time:      1673 |       6298 | site
