import time: self [us] | cumulative | imported package
import time:       203 |        203 |   _io
import time:        40 |         40 |   marshal
import time:       295 |        295 |   posix
import time:       630 |       1167 | _frozen_importlib_external
import time:        93 |         93 |   time
import time:       244 |        336 | zipimport
import time:        56 |         56 |     _codecs
import time:       546 |        602 |   codecs
import time:       411 |        411 |   encodings.aliases
import time:       592 |       1604 | encodings
import time:       185 |        185 | encodings.utf_8
import time:       102 |        102 | _signal
import time:        36 |         36 |       _abc
import time:       177 |        213 |     abc
import time:        42 |         42 |       _stat
import time:        94 |        136 |     stat
import time:       961 |        961 |     _collections_abc
import time:        72 |         72 |       errno
import time:       102 |        102 |       genericpath
import time:       177 |        350 |     posixpath
import time:       552 |       2210 |   os
import time:       130 |        130 |   _sitebuiltins
import time:       214 |        214 |   encodings.utf_8_sig
import time:       898 |        898 |   _distutils_hack
import time:        55 |         55 |     _types
import time:       286 |        341 |   types
import time:       145 |        145 |     importlib
import time:       176 |        176 |     importlib._abc
import time:       174 |        494 |   importlib.util
import time:        75 |         75 |   importlib.machinery
import time:       176 |        176 |     apport_python_hook
import time:       121 |        296 |   sitecustomize
import time:        66 |         66 |   usercustomize
import time:      1678 |       6397 | site
import time:        46 |         46 |       _contextvars
import time:       392 |        438 |     _py_warnings
import time:       144 |        582 |   warnings
import time:       177 |        177 |   numpy.version
import time:       110 |        110 |   numpy._expired_attrs_2_0
import time:      1455 |       1455 |     enum
import time:       122 |        122 |           itertools
import time:       142 |        142 |           keyword
import time:        80 |         80 |             _operator
import time:       303 |        382 |           operator
import time:       199 |        199 |           reprlib
import time:        78 |         78 |           _collections
import time:       872 |       1792 |         collections
import time:        74 |         74 |         _functools
import time:       614 |       2479 |       functools
import time:       188 |        188 |       numpy._utils._convertions
import time:       200 |       2866 |     numpy._utils
import time:       285 |       4605 |   numpy._globals
import time:        39 |         39 |     numpy._distributor_init_local
import time:       142 |        180 |   numpy._distributor_init
import time:        64 |         64 |               _datetime
import time:       189 |        252 |             datetime
import time:        71 |         71 |             math
import time:       266 |        266 |             numpy.exceptions
import time:       282 |        282 |             numpy._core._exceptions
import time:       118 |        118 |               contextvars
import time:       114 |        232 |             numpy._core.printoptions
import time:       135 |        135 |             numpy.dtypes
import time:      9465 |      10699 |           numpy._core._multiarray_umath
import time:       148 |        148 |             numpy._utils._inspect
import time:       389 |        537 |           numpy._core.overrides
import time:       591 |      11826 |         numpy._core.multiarray
import time:       201 |        201 |         numpy._core.umath
import time:       362 |        362 |           numbers
import time:       190 |        190 |           numpy._core._dtype
import time:       151 |        151 |           numpy._core._string_helpers
import time:       839 |        839 |           numpy._core._type_aliases
import time:       356 |       1896 |         numpy._core.numerictypes
import time:       209 |        209 |           numpy._core._ufunc_config
import time:       170 |        170 |                 copyreg
import time:       101 |        101 |                   _struct
import time:       118 |        219 |                 struct
import time:       259 |        259 |                 io
import time:       260 |        260 |                 _compat_pickle
import time:       123 |        123 |                 _pickle
import time:       766 |       1795 |               pickle
import time:       646 |        646 |               contextlib
import time:       245 |       2686 |             numpy._core._methods
import time:       845 |       3531 |           numpy._core.fromnumeric
import time:       238 |       3976 |         numpy._core._machar
import time:       330 |        330 |             numpy._core.shape_base
import time:       141 |        141 |             numpy._core._asarray
import time:       579 |        579 |             numpy._core.arrayprint
import time:       782 |       1831 |           numpy._core.numeric
import time:       358 |       2188 |         numpy._core.einsumfunc
import time:       257 |        257 |         numpy._core.function_base
import time:       308 |        308 |         numpy._core.getlimits
import time:       178 |        178 |         numpy._core.memmap
import time:       353 |        353 |         numpy._core.records
import time:      1003 |       1003 |         numpy._core._add_newdocs
import time:       389 |        389 |         numpy._core._add_newdocs_scalars
import time:       133 |        133 |         numpy._core._dtype_ctypes
import time:      1057 |       1057 |             _ast
import time:       423 |       1480 |           ast
import time:        82 |         82 |               _sre
import time:       271 |        271 |                 re._constants
import time:       410 |        681 |               re._parser
import time:       144 |        144 |               re._casefix
import time:       392 |       1298 |             re._compiler
import time:       622 |       1920 |           re
import time:       182 |        182 |                 _weakrefset
import time:       654 |        836 |               threading
import time:       414 |       1249 |             sysconfig
import time:       728 |        728 |             _ctypes
import time:       314 |        314 |             ctypes._endian
import time:       899 |       3189 |           ctypes
import time:       785 |       7371 |         numpy._core._internal
import time:       176 |        176 |         numpy._pytesttester
import time:       677 |      30926 |       numpy._core
import time:        26 |      30951 |     numpy._core._multiarray_umath
import time:       338 |      31289 |   numpy.__config__
import time:        53 |         53 |                   _typing
import time:      2329 |       2382 |                 typing
import time:       236 |        236 |                     numpy._typing._nbit_base
import time:       229 |        229 |                     numpy._typing._nested_sequence
import time:       116 |        116 |                     numpy._typing._shape
import time:      1405 |       1985 |                   numpy._typing._array_like
import time:      1535 |       1535 |                   numpy._typing._char_codes
import time:       609 |        609 |                     annotationlib
import time:      1222 |       1831 |                   numpy._typing._dtype_like
import time:       166 |        166 |                   numpy._typing._nbit
import time:       144 |        144 |                   numpy._typing._scalars
import time:        98 |         98 |                   numpy._typing._ufunc
import time:       356 |       6110 |                 numpy._typing
import time:       239 |        239 |                   numpy.lib._stride_tricks_impl
import time:       308 |        546 |                 numpy.lib._twodim_base_impl
import time:        99 |         99 |                   numpy.lib._array_utils_impl
import time:       127 |        226 |                 numpy.lib.array_utils
import time:       842 |        842 |                 numpy.linalg._umath_linalg
import time:      1811 |      11914 |               numpy.linalg._linalg
import time:       136 |        136 |               numpy.linalg.linalg
import time:       173 |      12222 |             numpy.linalg
import time:       309 |      12531 |           numpy.matrixlib.defmatrix
import time:       126 |      12656 |         numpy.matrixlib
import time:      1517 |       1517 |           numpy.lib._histograms_impl
import time:      1100 |       2616 |         numpy.lib._function_base_impl
import time:       137 |        137 |         numpy.lib.stride_tricks
import time:       455 |      15864 |       numpy.lib._index_tricks_impl
