import time: self [us] | cumulative | imported package
import time:       216 |        216 |   _io
import time:        51 |         51 |   marshal
import time:       311 |        311 |   posix
import time:       677 |       1253 | _frozen_importlib_external
import time:       103 |        103 |   time
import time:       261 |        364 | zipimport
import time:        58 |         58 |     _codecs
import time:       597 |        654 |   codecs
import time:       411 |        411 |   encodings.aliases
import time:       593 |       1657 | encodings
import time:       188 |        188 | encodings.utf_8
import time:       107 |        107 | _signal
import time:        36 |         36 |       _abc
import time:       179 |        214 |     abc
import time:        45 |         45 |       _stat
import time:       113 |        158 |     stat
import time:       931 |        931 |     _collections_abc
import time:        71 |         71 |       errno
import time:       104 |        104 |       genericpath
import time:       211 |        385 |     posixpath
import time:       549 |       2235 |   os
import time:       123 |        123 |   _sitebuiltins
import time:       219 |        219 |   encodings.utf_8_sig
import time:       914 |        914 |   _distutils_hack
import time:        59 |         59 |     _types
import time:       285 |        343 |   types
import time:       149 |        149 |     importlib
import time:       190 |        190 |     importlib._abc
import time:       327 |        665 |   importlib.util
import time:        74 |         74 |   importlib.machinery
import time:       173 |        173 |     apport_python_hook
import time:       132 |        304 |   sitecustomize
import time:        73 |         73 |   usercustomize
import time:      1723 |       6670 | site
