import time: self [us] | cumulative | imported package
import time:       241 |        241 |   _io
import time:        41 |         41 |   marshal
import time:       322 |        322 |   posix
import time:       728 |       1330 | _frozen_importlib_external
import time:       107 |        107 |   time
import time:       278 |        385 | zipimport
import time:        57 |         57 |     _codecs
import time:       649 |        706 |   codecs
import time:       439 |        439 |   encodings.aliases
import time:       611 |       1756 | encodings
import time:       197 |        197 | encodings.utf_8
import time:       104 |        104 | _signal
import time:        40 |         40 |       _abc
import time:       300 |        340 |     abc
import time:        47 |         47 |       _stat
import time:       118 |        164 |     stat
import time:       979 |        979 |     _collections_abc
import time:        68 |         68 |       errno
import time:       121 |        121 |       genericpath
import time:       165 |        353 |     posixpath
import time:       576 |       2409 |   os
import time:       119 |        119 |   _sitebuiltins
import time:       215 |        215 |   encodings.utf_8_sig
import time:       935 |        935 |   _distutils_hack
import time:        57 |         57 |     _types
import time:       299 |        356 |   types
import time:       149 |        149 |     importlib
import time:       185 |        185 |     importlib._abc
import time:       177 |        510 |   importlib.util
import time:        80 |         80 |   importlib.machinery
import time:       182 |        182 |     apport_python_hook
import time:       128 |        309 |   sitecustomize
import time:        73 |         73 |   usercustomize
import time:      1668 |       6669 | site
