import time: self [us] | cumulative | imported package
import time:       208 |        208 |   _io
import time:        38 |         38 |   marshal
import time:       308 |        308 |   posix
import time:       627 |       1180 | _frozen_importlib_external
import time:       104 |        104 |   time
import time:       256 |        359 | zipimport
import time:       110 |        110 |     _codecs
import time:      1240 |       1350 |   codecs
import time:       636 |        636 |   encodings.aliases
import time:      1166 |       3151 | encodings
import time:       266 |        266 | encodings.utf_8
import time:       143 |        143 | _signal
import time:        54 |         54 |       _abc
import time:       281 |        335 |     abc
import time:        66 |         66 |       _stat
import time:       158 |        223 |     stat
import time:      1332 |       1332 |     _collections_abc
import time:        87 |         87 |       errno
import time:       106 |        106 |       genericpath
import time:       208 |        401 |     posixpath
import time:       797 |       3086 |   os
import time:       185 |        185 |   _sitebuiltins
import time:       544 |        544 |   encodings.utf_8_sig
import time:      1116 |       1116 |   _distutils_hack
import time:        63 |         63 |     _types
import time:       382 |        445 |   types
import time:       236 |        236 |     importlib
import time:       335 |        335 |     importlib._abc
import time:       297 |        867 |   importlib.util
import time:        99 |         99 |   importlib.machinery
import time:       281 |        281 |     apport_python_hook
import time:       170 |        450 |   sitecustomize
import time:       102 |        102 |   usercustomize
import time:      2643 |       9531 | site
