import time: self [us] | cumulative | imported package
import time:       225 |        225 |   _io
import time:        40 |         40 |   marshal
import time:       328 |        328 |   posix
import time:       715 |       1306 | _frozen_importlib_external
import time:       124 |        124 |   time
import time:       295 |        419 | zipimport
import time:        57 |         57 |     _codecs
import time:       606 |        663 |   codecs
import time:       444 |        444 |   encodings.aliases
import time:       642 |       1749 | encodings
import time:       195 |        195 | encodings.utf_8
import time:       104 |        104 | _signal
import time:        37 |         37 |       _abc
import time:       188 |        225 |     abc
import time:        54 |         54 |       _stat
import time:       117 |        170 |     stat
import time:      1077 |       1077 |     _collections_abc
import time:       207 |        207 |       errno
import time:       121 |        121 |       genericpath
import time:       186 |        512 |     posixpath
import time:       598 |       2580 |   os
import time:       118 |        118 |   _sitebuiltins
import time:       216 |        216 |   encodings.utf_8_sig
import time:       921 |        921 |   _distutils_hack
import time:        55 |         55 |     _types
import time:       274 |        328 |   types
import time:       151 |        151 |     importlib
import time:       191 |        191 |     importlib._abc
import time:       181 |        523 |   importlib.util
import time:        77 |         77 |   importlib.machinery
import time:       179 |        179 |     apport_python_hook
import time:       136 |        315 |   sitecustomize
import time:        74 |         74 |   usercustomize
import time:      1698 |       6846 | site
