import time: self [us] | cumulative | imported package
import time:       208 |        208 |   _io
import time:        40 |         40 |   marshal
import time:       297 |        297 |   posix
import time:       652 |       1196 | _frozen_importlib_external
import time:        95 |         95 |   time
import time:       263 |        357 | zipimport
import time:        57 |         57 |     _codecs
import time:       587 |        643 |   codecs
import time:       428 |        428 |   encodings.aliases
import time:       571 |       1641 | encodings
import time:       190 |        190 | encodings.utf_8
import time:        97 |         97 | _signal
import time:        36 |         36 |       _abc
import time:       177 |        212 |     abc
import time:        43 |         43 |       _stat
import time:       101 |        143 |     stat
import time:       937 |        937 |     _collections_abc
import time:        67 |         67 |       errno
import time:       108 |        108 |       genericpath
import time:       156 |        330 |     posixpath
import time:       538 |       2158 |   os
import time:       114 |        114 |   _sitebuiltins
import time:       216 |        216 |   encodings.utf_8_sig
import time:       932 |        932 |   _distutils_hack
import time:        55 |         55 |     _types
import time:       275 |        329 |   types
import time:       145 |        145 |     importlib
import time:       175 |        175 |     importlib._abc
import time:       172 |        490 |   importlib.util
import time:        62 |         62 |   importlib.machinery
import time:       172 |        172 |     apport_python_hook
import time:       112 |        283 |   sitecustomize
import time:        66 |         66 |   usercustomize
import time:      1604 |       6250 | site
import time:        48 |         48 |       _contextvars
import time:       397 |        444 |     _py_warnings
import time:       141 |        585 |   warnings
import time:       174 |        174 |   numpy.version
import time:       111 |        111 |   numpy._expired_attrs_2_0
import time:      1420 |       1420 |     enum
import time:       122 |        122 |           itertools
import time:       134 |        134 |           keyword
import time:        76 |         76 |             _operator
import time:       280 |        356 |           operator
import time:       189 |        189 |           reprlib
import time:        83 |         83 |           _collections
import time:       875 |       1758 |         collections
import time:        70 |         70 |         _functools
import time:       625 |       2452 |       functools
import time:       176 |        176 |       numpy._utils._convertions
import time:       200 |       2826 |     numpy._utils
import time:       285 |       4531 |   numpy._globals
import time:        40 |         40 |     numpy._distributor_init_local
import time:       141 |        180 |   numpy._distributor_init
import time:        78 |         78 |               _datetime
import time:       225 |        303 |             datetime
import time:        58 |         58 |             math
import time:       263 |        263 |             numpy.exceptions
import time:       286 |        286 |             numpy._core._exceptions
import time:       125 |        125 |               contextvars
import time:       113 |        238 |             numpy._core.printoptions
import time:       136 |        136 |             numpy.dtypes
import time:      9326 |      10607 |           numpy._core._multiarray_umath
import time:       138 |        138 |             numpy._utils._inspect
import time:       437 |        575 |           numpy._core.overrides
import time:       681 |      11863 |         numpy._core.multiarray
import time:       208 |        208 |         numpy._core.umath
import time:       368 |        368 |           numbers
import time:       192 |        192 |           numpy._core._dtype
import time:       127 |        127 |           numpy._core._string_helpers
import time:       737 |        737 |           numpy._core._type_aliases
import time:       354 |       1777 |         numpy._core.numerictypes
import time:       224 |        224 |           numpy._core._ufunc_config
import time:       165 |        165 |                 copyreg
import time:        86 |         86 |                   _struct
import time:       111 |        196 |                 struct
import time:       251 |        251 |                 io
import time:       257 |        257 |                 _compat_pickle
import time:       121 |        121 |                 _pickle
import time:       769 |       1757 |               pickle
import time:       656 |        656 |               contextlib
import time:       251 |       2663 |             numpy._core._methods
import time:       859 |       3522 |           numpy._core.fromnumeric
import time:       220 |       3965 |         numpy._core._machar
import time:       322 |        322 |             numpy._core.shape_base
import time:       141 |        141 |             numpy._core._asarray
import time:       579 |        579 |             numpy._core.arrayprint
import time:       760 |       1801 |           numpy._core.numeric
import time:       314 |       2114 |         numpy._core.einsumfunc
import time:       252 |        252 |         numpy._core.function_base
import time:       310 |        310 |         numpy._core.getlimits
import time:       183 |        183 |         numpy._core.memmap
import time:       364 |        364 |         numpy._core.records
import time:      1063 |       1063 |         numpy._core._add_newdocs
import time:       403 |        403 |         numpy._core._add_newdocs_scalars
import time:       128 |        128 |         numpy._core._dtype_ctypes
import time:      1059 |       1059 |             _ast
import time:       413 |       1471 |           ast
import time:        87 |         87 |               _sre
import time:       283 |        283 |                 re._constants
import time:       411 |        693 |               re._parser
import time:       143 |        143 |               re._casefix
import time:       372 |       1293 |             re._compiler
import time:       657 |       1949 |           re
import time:       187 |        187 |                 _weakrefset
import time:       644 |        830 |               threading
import time:       408 |       1238 |             sysconfig
import time:       654 |        654 |             _ctypes
import time:       321 |        321 |             ctypes._endian
import time:       941 |       3152 |           ctypes
import time:       789 |       7360 |         numpy._core._internal
import time:       165 |        165 |         numpy._pytesttester
import time:       729 |      30876 |       numpy._core
import time:        26 |      30901 |     numpy._core._multiarray_umath
import time:       328 |      31229 |   numpy.__config__
import time:        54 |         54 |                   _typing
import time:      2358 |       2411 |                 typing
import time:       268 |        268 |                     numpy._typing._nbit_base
import time:       264 |        264 |                     numpy._typing._nested_sequence
import time:       131 |        131 |                     numpy._typing._shape
import time:      1493 |       2156 |                   numpy._typing._array_like
import time:      1572 |       1572 |                   numpy._typing._char_codes
import time:       611 |        611 |                     annotationlib
import time:      1240 |       1851 |                   numpy._typing._dtype_like
import time:       158 |        158 |                   numpy._typing._nbit
import time:       134 |        134 |                   numpy._typing._scalars
import time:       113 |        113 |                   numpy._typing._ufunc
import time:       338 |       6319 |                 numpy._typing
import time:       245 |        245 |                   numpy.lib._stride_tricks_impl
import time:       307 |        551 |                 numpy.lib._twodim_base_impl
import time:       102 |        102 |                   numpy.lib._array_utils_impl
import time:       142 |        243 |                 numpy.lib.array_utils
import time:       855 |        855 |                 numpy.linalg._umath_linalg
import time:      1927 |      12304 |               numpy.linalg._linalg
import time:       152 |        152 |               numpy.linalg.linalg
import time:       171 |      12625 |             numpy.linalg
import time:       314 |      12939 |           numpy.matrixlib.defmatrix
