import time: self [us] | cumulative | imported package
import time:       199 |        199 |   _io
import time:        42 |         42 |   marshal
import time:       297 |        297 |   posix
import time:       647 |       1182 | _frozen_importlib_external
import time:       102 |        102 |   time
import time:       252 |        353 | zipimport
import time:        53 |         53 |     _codecs
import time:       566 |        619 |   codecs
import time:       408 |        408 |   encodings.aliases
import time:       553 |       1579 | encodings
import time:       189 |        189 | encodings.utf_8
import time:        97 |         97 | _signal
import time:        37 |         37 |       _abc
import time:       183 |        219 |     abc
import time:        42 |         42 |       _stat
import time:       103 |        145 |     stat
import time:       925 |        925 |     _collections_abc
import time:        70 |         70 |       errno
import time:       109 |        109 |       genericpath
import time:       163 |        341 |     posixpath
import time:       539 |       2167 |   os
import time:       120 |        120 |   _sitebuiltins
import time:       241 |        241 |   encodings.utf_8_sig
import time:       895 |        895 |   _distutils_hack
import time:       104 |        104 |     _types
import time:       280 |        383 |   types
import time:       150 |        150 |     importlib
import time:       183 |        183 |     importlib._abc
import time:       186 |        517 |   importlib.util
import time:        67 |         67 |   importlib.machinery
import time:       177 |        177 |     apport_python_hook
import time:       122 |        298 |   sitecustomize
import time:        72 |         72 |   usercustomize
import time:      1583 |       6338 | site
import time:        56 |         56 |       _contextvars
import time:       443 |        498 |     _py_warnings
import time:       178 |        676 |   warnings
import time:       230 |        230 |   numpy.version
import time:       126 |        126 |   numpy._expired_attrs_2_0
import time:      1499 |       1499 |     enum
import time:       129 |        129 |           itertools
import time:       162 |        162 |           keyword
import time:        77 |         77 |             _operator
import time:       309 |        385 |           operator
import time:       223 |        223 |           reprlib
import time:        86 |         86 |           _collections
import time:       892 |       1876 |         collections
import time:        75 |         75 |         _functools
import time:       687 |       2637 |       functools
import time:       191 |        191 |       numpy._utils._convertions
import time:       257 |       3083 |     numpy._utils
import time:       297 |       4878 |   numpy._globals
import time:        38 |         38 |     numpy._distributor_init_local
import time:       154 |        192 |   numpy._distributor_init
import time:        63 |         63 |               _datetime
import time:       215 |        277 |             datetime
import time:        83 |         83 |             math
import time:       279 |        279 |             numpy.exceptions
import time:       339 |        339 |             numpy._core._exceptions
import time:       115 |        115 |               contextvars
import time:       165 |        280 |             numpy._core.printoptions
import time:       179 |        179 |             numpy.dtypes
import time:      9429 |      10863 |           numpy._core._multiarray_umath
import time:       151 |        151 |             numpy._utils._inspect
import time:       382 |        533 |           numpy._core.overrides
import time:       575 |      11970 |         numpy._core.multiarray
import time:       200 |        200 |         numpy._core.umath
import time:       376 |        376 |           numbers
import time:       188 |        188 |           numpy._core._dtype
import time:       124 |        124 |           numpy._core._string_helpers
import time:       787 |        787 |           numpy._core._type_aliases
import time:       340 |       1813 |         numpy._core.numerictypes
import time:       205 |        205 |           numpy._core._ufunc_config
import time:       161 |        161 |                 copyreg
import time:        89 |         89 |                   _struct
import time:       108 |        196 |                 struct
import time:       264 |        264 |                 io
import time:       333 |        333 |                 _compat_pickle
import time:       120 |        120 |                 _pickle
import time:       757 |       1828 |               pickle
import time:       660 |        660 |               contextlib
import time:       241 |       2728 |             numpy._core._methods
import time:       851 |       3578 |           numpy._core.fromnumeric
import time:       221 |       4004 |         numpy._core._machar
import time:       328 |        328 |             numpy._core.shape_base
import time:       133 |        133 |             numpy._core._asarray
import time:       624 |        624 |             numpy._core.arrayprint
import time:       777 |       1860 |           numpy._core.numeric
import time:       305 |       2164 |         numpy._core.einsumfunc
import time:       306 |        306 |         numpy._core.function_base
import time:       319 |        319 |         numpy._core.getlimits
import time:       190 |        190 |         numpy._core.memmap
import time:       359 |        359 |         numpy._core.records
import time:      1039 |       1039 |         numpy._core._add_newdocs
import time:       405 |        405 |         numpy._core._add_newdocs_scalars
import time:       135 |        135 |         numpy._core._dtype_ctypes
import time:      1032 |       1032 |             _ast
import time:       394 |       1426 |           ast
import time:        87 |         87 |               _sre
import time:       284 |        284 |                 re._constants
import time:       412 |        695 |               re._parser
import time:       136 |        136 |               re._casefix
import time:       373 |       1290 |             re._compiler
import time:       623 |       1913 |           re
import time:       199 |        199 |                 _weakrefset
import time:       649 |        848 |               threading
import time:       408 |       1255 |             sysconfig
import time:       711 |        711 |             _ctypes
import time:       365 |        365 |             ctypes._endian
import time:       955 |       3284 |           ctypes
import time:       762 |       7383 |         numpy._core._internal
import time:       173 |        173 |         numpy._pytesttester
import time:       698 |      31151 |       numpy._core
import time:        26 |      31176 |     numpy._core._multiarray_umath
import time:       325 |      31500 |   numpy.__config__
import time:        67 |         67 |                   _typing
import time:      2321 |       2387 |                 typing
import time:       239 |        239 |                     numpy._typing._nbit_base
import time:       217 |        217 |                     numpy._typing._nested_sequence
import time:       115 |        115 |                     numpy._typing._shape
import time:      1375 |       1944 |                   numpy._typing._array_like
import time:      1524 |       1524 |                   numpy._typing._char_codes
import time:       592 |        592 |                     annotationlib
import time:      1200 |       1792 |                   numpy._typing._dtype_like
import time:       152 |        152 |                   numpy._typing._nbit
import time:       129 |        129 |                   numpy._typing._scalars
import time:        92 |         92 |                   numpy._typing._ufunc
import time:       324 |       5953 |                 numpy._typing
import time:       253 |        253 |                   numpy.lib._stride_tricks_impl
import time:       298 |        551 |                 numpy.lib._twodim_base_impl
import time:       100 |        100 |                   numpy.lib._array_utils_impl
import time:       129 |        229 |                 numpy.lib.array_utils
import time:       828 |        828 |                 numpy.linalg._umath_linalg
import time:      1754 |      11699 |               numpy.linalg._linalg
import time:       125 |        125 |               numpy.linalg.linalg
import time:       165 |      11988 |             numpy.linalg
import time:       310 |      12297 |           numpy.matrixlib.defmatrix
import time:       132 |      12429 |         numpy.matrixlib
import time:      1421 |       1421 |           numpy.lib._histograms_impl
import time:      1114 |       2535 |         numpy.lib._function_base_impl
import time:       166 |        166 |         numpy.lib.stride_tricks
import time:       463 |      15592 |       numpy.lib._index_tricks_impl
import time:       314 |      15905 |     numpy.lib._arraypad_impl
import time:       953 |        953 |     numpy.lib._arraysetops_impl
import time:       179 |        179 |     numpy.lib._arrayterator_impl
import time:       494 |        494 |     numpy.lib._nanfunctions_impl
import time:       516 |        516 |       weakref
import time:        86 |         86 |               _wmi
import time:       738 |        824 |             platform
import time:       775 |        775 |             textwrap
import time:       246 |       1844 |           numpy.lib._utils_impl
import time:       243 |       2087 |         numpy.lib._format_impl
import time:       113 |       2200 |       numpy.lib.format
import time:       267 |        267 |       numpy.lib._datasource
import time:       360 |        360 |       numpy.lib._iotools
import time:      1026 |       4368 |     numpy.lib._npyio_impl
import time:       125 |        125 |         numpy.lib._ufunclike_impl
import time:       283 |        408 |       numpy.lib._type_check_impl
import time:       519 |        926 |     numpy.lib._polynomial_impl
import time:       389 |        389 |     numpy.lib._shape_base_impl
import time:       147 |        147 |     numpy.lib._version
import time:        96 |         96 |     numpy.lib.introspect
import time:       190 |        190 |     numpy.lib.mixins
import time:        92 |         92 |     numpy.lib.npyio
import time:       272 |        272 |       numpy.lib._scimath_impl
import time:        86 |        357 |     numpy.lib.scimath
import time:       399 |      24489 |   numpy.lib
import time:       155 |        155 |   numpy._array_api_info
import time:      2355 |      64597 | numpy
