run_id,mode,batch,operations,elapsed_ns
142,java-serial,0,8192,3158251
142,java-serial,1,8192,212897
142,java-serial,2,8192,219100
142,java-serial,3,8192,220161
142,java-serial,4,8192,215030
142,java-serial,5,8192,3634308
142,java-serial,6,8192,214607
142,java-serial,7,8192,212796
142,java-serial,8,8192,217416
142,java-serial,9,8192,211840
142,java-serial,10,8192,3239324
142,java-serial,11,8192,219876
142,java-serial,12,8192,220211
142,java-serial,13,8192,216357
142,java-serial,14,8192,216436
142,java-serial,15,8192,221944
142,java-serial,16,8192,216026
142,java-serial,17,8192,212089
142,java-serial,18,8192,214376
142,java-serial,19,8192,217329
142,java-serial,20,8192,234029
142,java-serial,21,8192,243911
142,java-serial,22,8192,283224
142,java-serial,23,8192,947154
142,java-serial,24,8192,171000
142,java-serial,25,8192,175544
142,java-serial,26,8192,217999
142,java-serial,27,8192,166438
142,java-serial,28,8192,241377
142,java-serial,29,8192,165162
142,java-serial,30,8192,174454
142,java-serial,31,8192,306252
142,java-serial,32,8192,173044
142,java-serial,33,8192,168703
142,java-serial,34,8192,166109
142,java-serial,35,8192,171616
142,java-serial,36,8192,180613
142,java-serial,37,8192,440389
142,java-serial,38,8192,165318
142,java-serial,39,8192,181661
142,java-serial,40,8192,174470
142,java-serial,41,8192,167020
142,java-serial,42,8192,166957
142,java-serial,43,8192,167970
142,java-serial,44,8192,171864
142,java-serial,45,8192,172657
142,java-serial,46,8192,163484
142,java-serial,47,8192,170001
142,java-serial,48,8192,167000
142,java-serial,49,8192,168927
142,java-serial,50,8192,723493
142,java-serial,51,8192,58659521
142,java-serial,52,8192,40723
142,java-serial,53,8192,51623
142,java-serial,54,8192,36676
142,java-serial,55,8192,105512
142,java-serial,56,8192,167658
142,java-serial,57,8192,168351
142,java-serial,58,8192,166750
142,java-serial,59,8192,125446
142,java-serial,60,8192,48613
142,java-serial,61,8192,42541
142,java-serial,62,8192,42314
142,java-serial,63,8192,44998
142,java-serial,64,8192,49662
