run_id,part,mode,cpus,steps,n_log2,live_log2,batch_log2,batches
139,warm,java-2cpu,9;11,300,16,20,13,1024
140,churn,go-gogc100,11,300,16,20,13,1024
141,warm,python-jit,11,300,16,20,13,1024
142,churn,java-serial,11,300,16,20,13,1024
143,churn,c,11,300,16,20,13,1024
144,churn,node,11,300,16,20,13,1024
145,warm,node,11,300,16,20,13,1024
146,warm,c,11,300,16,20,13,1024
147,warm,python-jit,11,300,16,20,13,1024
148,churn,python-nogc,11,300,16,20,13,1024
149,churn,node,11,300,16,20,13,1024
150,warm,c,11,300,16,20,13,1024
151,warm,node-jitless,11,300,16,20,13,1024
152,warm,python-jit,11,300,16,20,13,1024
153,warm,java,11,300,16,20,13,1024
154,warm,java-xint,11,300,16,20,13,1024
155,churn,java-g1,11,300,16,20,13,1024
156,warm,java,11,300,16,20,13,1024
157,churn,node,11,300,16,20,13,1024
158,churn,python-gc,11,300,16,20,13,1024
159,warm,node-jitless,11,300,16,20,13,1024
160,churn,java-serial,11,300,16,20,13,1024
161,warm,c,11,300,16,20,13,1024
162,warm,c,11,300,16,20,13,1024
163,warm,node-jitless,11,300,16,20,13,1024
164,churn,java-g1,11,300,16,20,13,1024
165,churn,go-gogc100,11,300,16,20,13,1024
166,warm,node-2cpu,9;11,300,16,20,13,1024
167,churn,c,11,300,16,20,13,1024
168,warm,python,11,300,16,20,13,1024
169,warm,node-2cpu,9;11,300,16,20,13,1024
170,warm,python-jit,11,300,16,20,13,1024
