run_id,mode,batch,operations,elapsed_ns
51,java-g1,0,8192,3051735
51,java-g1,1,8192,150918
51,java-g1,2,8192,150436
51,java-g1,3,8192,17054808
51,java-g1,4,8192,278318
51,java-g1,5,8192,6181853
51,java-g1,6,8192,268777
51,java-g1,7,8192,293128
51,java-g1,8,8192,273806
51,java-g1,9,8192,296917
51,java-g1,10,8192,274609
51,java-g1,11,8192,273191
51,java-g1,12,8192,1166921
51,java-g1,13,8192,294344
51,java-g1,14,8192,327738
51,java-g1,15,8192,3501535
51,java-g1,16,8192,274720
51,java-g1,17,8192,276084
51,java-g1,18,8192,275303
51,java-g1,19,8192,290982
51,java-g1,20,8192,274257
51,java-g1,21,8192,270943
51,java-g1,22,8192,284434
51,java-g1,23,8192,707697
51,java-g1,24,8192,306970
51,java-g1,25,8192,346951
51,java-g1,26,8192,274284
51,java-g1,27,8192,271667
51,java-g1,28,8192,415923
51,java-g1,29,8192,272080
51,java-g1,30,8192,273872
51,java-g1,31,8192,279861
51,java-g1,32,8192,274223
51,java-g1,33,8192,269351
51,java-g1,34,8192,273605
51,java-g1,35,8192,1779292
51,java-g1,36,8192,217729
51,java-g1,37,8192,226087
51,java-g1,38,8192,213264
51,java-g1,39,8192,219988
51,java-g1,40,8192,217425
51,java-g1,41,8192,245527
51,java-g1,42,8192,217965
51,java-g1,43,8192,505754
51,java-g1,44,8192,217988
51,java-g1,45,8192,225832
51,java-g1,46,8192,215690
51,java-g1,47,8192,225201
51,java-g1,48,8192,270460
51,java-g1,49,8192,221564
51,java-g1,50,8192,285137
51,java-g1,51,8192,567043
51,java-g1,52,8192,275961
51,java-g1,53,8192,366610
51,java-g1,54,8192,226942
51,java-g1,55,8192,232062
51,java-g1,56,8192,218107
51,java-g1,57,8192,215263
51,java-g1,58,8192,215680
51,java-g1,59,8192,782074
51,java-g1,60,8192,219552
51,java-g1,61,8192,217120
51,java-g1,62,8192,254139
51,java-g1,63,8192,217063
51,java-g1,64,8192,217225
51,java-g1,65,8192,215035
51,java-g1,66,8192,235435
51,java-g1,67,8192,486154
51,java-g1,68,8192,218106
51,java-g1,69,8192,223781
51,java-g1,70,8192,216331
51,java-g1,71,8192,218325
51,java-g1,72,8192,773764
51,java-g1,73,8192,226259
51,java-g1,74,8192,213591
51,java-g1,75,8192,495543
51,java-g1,76,8192,224288
51,java-g1,77,8192,215536
51,java-g1,78,8192,219216
51,java-g1,79,8192,233358
51,java-g1,80,8192,220597
51,java-g1,81,8192,221697
51,java-g1,82,8192,249396
51,java-g1,83,8192,690083
51,java-g1,84,8192,271478
51,java-g1,85,8192,220744
51,java-g1,86,8192,228704
51,java-g1,87,8192,217053
51,java-g1,88,8192,218681
51,java-g1,89,8192,216179
51,java-g1,90,8192,226706
51,java-g1,91,8192,516578
51,java-g1,92,8192,226097
51,java-g1,93,8192,223720
51,java-g1,94,8192,240398
51,java-g1,95,8192,220248
51,java-g1,96,8192,218100
51,java-g1,97,8192,778025
51,java-g1,98,8192,228083
51,java-g1,99,8192,495845
51,java-g1,100,8192,218190
51,java-g1,101,8192,214297
51,java-g1,102,8192,220048
51,java-g1,103,8192,229524
51,java-g1,104,8192,220081
51,java-g1,105,8192,55744886
51,java-g1,106,8192,106198
51,java-g1,107,8192,86921
51,java-g1,108,8192,85218
51,java-g1,109,8192,85610
51,java-g1,110,8192,85498
51,java-g1,111,8192,89690
51,java-g1,112,8192,87120
51,java-g1,113,8192,86799
51,java-g1,114,8192,85734
51,java-g1,115,8192,85743
51,java-g1,116,8192,91110
51,java-g1,117,8192,87430
51,java-g1,118,8192,88468
51,java-g1,119,8192,85038
51,java-g1,120,8192,85341
51,java-g1,121,8192,201375
51,java-g1,122,8192,85829
51,java-g1,123,8192,84950
51,java-g1,124,8192,87985
51,java-g1,125,8192,264985
51,java-g1,126,8192,85846
51,java-g1,127,8192,86378
51,java-g1,128,8192,85980
51,java-g1,129,8192,224206
51,java-g1,130,8192,88045
51,java-g1,131,8192,86410
51,java-g1,132,8192,85397
51,java-g1,133,8192,1307549
51,java-g1,134,8192,87194
51,java-g1,135,8192,86159
51,java-g1,136,8192,85451
51,java-g1,137,8192,90534
51,java-g1,138,8192,85961
51,java-g1,139,8192,85726
51,java-g1,140,8192,85365
51,java-g1,141,8192,356571
51,java-g1,142,8192,86879
51,java-g1,143,8192,88159
51,java-g1,144,8192,86438
51,java-g1,145,8192,85872
51,java-g1,146,8192,85723
51,java-g1,147,8192,85462
51,java-g1,148,8192,85291
51,java-g1,149,8192,355282
51,java-g1,150,8192,88442
51,java-g1,151,8192,85341
51,java-g1,152,8192,85251
51,java-g1,153,8192,85500
51,java-g1,154,8192,86487
51,java-g1,155,8192,85735
51,java-g1,156,8192,87394
51,java-g1,157,8192,347340
51,java-g1,158,8192,100059
51,java-g1,159,8192,85000
51,java-g1,160,8192,85915
51,java-g1,161,8192,85978
51,java-g1,162,8192,88156
51,java-g1,163,8192,88828
51,java-g1,164,8192,85086
51,java-g1,165,8192,356486
51,java-g1,166,8192,86349
51,java-g1,167,8192,84791
51,java-g1,168,8192,84927
51,java-g1,169,8192,89196
51,java-g1,170,8192,85407
51,java-g1,171,8192,85335
51,java-g1,172,8192,85967
51,java-g1,173,8192,342832
51,java-g1,174,8192,89472
51,java-g1,175,8192,87999
51,java-g1,176,8192,87579
51,java-g1,177,8192,86816
51,java-g1,178,8192,85433
51,java-g1,179,8192,86251
51,java-g1,180,8192,86151
51,java-g1,181,8192,339338
51,java-g1,182,8192,89553
51,java-g1,183,8192,90358
51,java-g1,184,8192,85140
51,java-g1,185,8192,85842
51,java-g1,186,8192,84980
51,java-g1,187,8192,86156
51,java-g1,188,8192,89197
51,java-g1,189,8192,345980
51,java-g1,190,8192,86895
51,java-g1,191,8192,89759
51,java-g1,192,8192,87330
51,java-g1,193,8192,86728
51,java-g1,194,8192,48183790
51,java-g1,195,8192,86830
51,java-g1,196,8192,85381
51,java-g1,197,8192,85651
51,java-g1,198,8192,86325
51,java-g1,199,8192,92363
51,java-g1,200,8192,87272
51,java-g1,201,8192,126636
51,java-g1,202,8192,367281
51,java-g1,203,8192,87076
51,java-g1,204,8192,85886
51,java-g1,205,8192,85259
51,java-g1,206,8192,85583
51,java-g1,207,8192,88834
51,java-g1,208,8192,86730
51,java-g1,209,8192,90208
51,java-g1,210,8192,349923
51,java-g1,211,8192,87983
51,java-g1,212,8192,85230
51,java-g1,213,8192,85480
51,java-g1,214,8192,89252
51,java-g1,215,8192,85893
51,java-g1,216,8192,94525
51,java-g1,217,8192,86252
51,java-g1,218,8192,332125
51,java-g1,219,8192,87206
51,java-g1,220,8192,88584
51,java-g1,221,8192,85461
51,java-g1,222,8192,85729
51,java-g1,223,8192,85824
51,java-g1,224,8192,103836
51,java-g1,225,8192,112283
51,java-g1,226,8192,389816
51,java-g1,227,8192,87783
51,java-g1,228,8192,85768
51,java-g1,229,8192,85408
51,java-g1,230,8192,86755
51,java-g1,231,8192,86384
51,java-g1,232,8192,85753
51,java-g1,233,8192,88784
51,java-g1,234,8192,357276
51,java-g1,235,8192,86976
51,java-g1,236,8192,85425
51,java-g1,237,8192,85769
51,java-g1,238,8192,85104
51,java-g1,239,8192,87537
51,java-g1,240,8192,87124
51,java-g1,241,8192,85225
51,java-g1,242,8192,270078
51,java-g1,243,8192,89374
51,java-g1,244,8192,84926
51,java-g1,245,8192,86867
51,java-g1,246,8192,86940
51,java-g1,247,8192,85967
51,java-g1,248,8192,86872
51,java-g1,249,8192,85406
51,java-g1,250,8192,268797
51,java-g1,251,8192,88041
51,java-g1,252,8192,88358
51,java-g1,253,8192,86211
51,java-g1,254,8192,85964
51,java-g1,255,8192,86450
51,java-g1,256,8192,87034
51,java-g1,257,8192,85026
51,java-g1,258,8192,346239
51,java-g1,259,8192,86655
51,java-g1,260,8192,85937
51,java-g1,261,8192,85648
51,java-g1,262,8192,85846
51,java-g1,263,8192,86756
51,java-g1,264,8192,85227
51,java-g1,265,8192,88469
51,java-g1,266,8192,256944
51,java-g1,267,8192,86071
51,java-g1,268,8192,89603
51,java-g1,269,8192,85674
51,java-g1,270,8192,85165
51,java-g1,271,8192,87369
51,java-g1,272,8192,86078
51,java-g1,273,8192,85407
51,java-g1,274,8192,340540
51,java-g1,275,8192,87060
51,java-g1,276,8192,88338
51,java-g1,277,8192,87943
51,java-g1,278,8192,86067
51,java-g1,279,8192,85936
51,java-g1,280,8192,85951
51,java-g1,281,8192,85204
51,java-g1,282,8192,335785
51,java-g1,283,8192,87416
51,java-g1,284,8192,40244452
51,java-g1,285,8192,86969
51,java-g1,286,8192,87690
51,java-g1,287,8192,84980
51,java-g1,288,8192,85766
51,java-g1,289,8192,86843
51,java-g1,290,8192,89941
51,java-g1,291,8192,88053
51,java-g1,292,8192,85604
51,java-g1,293,8192,85637
51,java-g1,294,8192,85336
51,java-g1,295,8192,92594
51,java-g1,296,8192,87047
51,java-g1,297,8192,88412
51,java-g1,298,8192,85022
51,java-g1,299,8192,85616
51,java-g1,300,8192,85781
51,java-g1,301,8192,85616
51,java-g1,302,8192,99416
51,java-g1,303,8192,87983
51,java-g1,304,8192,97254
51,java-g1,305,8192,87847
51,java-g1,306,8192,89955
51,java-g1,307,8192,86414
51,java-g1,308,8192,211105
51,java-g1,309,8192,89176
51,java-g1,310,8192,86498
51,java-g1,311,8192,85170
51,java-g1,312,8192,171828
51,java-g1,313,8192,85469
51,java-g1,314,8192,85186
51,java-g1,315,8192,856308
51,java-g1,316,8192,90043
51,java-g1,317,8192,85787
51,java-g1,318,8192,93624
51,java-g1,319,8192,85371
51,java-g1,320,8192,357995
51,java-g1,321,8192,85594
51,java-g1,322,8192,87302
51,java-g1,323,8192,93850
51,java-g1,324,8192,85889
51,java-g1,325,8192,85635
51,java-g1,326,8192,91621
51,java-g1,327,8192,86570
51,java-g1,328,8192,113035
51,java-g1,329,8192,89940
51,java-g1,330,8192,85399
51,java-g1,331,8192,85429
51,java-g1,332,8192,85055
51,java-g1,333,8192,86249
51,java-g1,334,8192,84989
51,java-g1,335,8192,87453
51,java-g1,336,8192,85679
51,java-g1,337,8192,378457
51,java-g1,338,8192,86424
51,java-g1,339,8192,85690
51,java-g1,340,8192,84808
