run_id,mode,batch,operations,elapsed_ns
80,go-gogc100,0,8192,953623
80,go-gogc100,1,8192,1026911
80,go-gogc100,2,8192,984001
80,go-gogc100,3,8192,1243775
80,go-gogc100,4,8192,1005704
80,go-gogc100,5,8192,998020
80,go-gogc100,6,8192,1141592
80,go-gogc100,7,8192,990686
80,go-gogc100,8,8192,1235242
80,go-gogc100,9,8192,982602
80,go-gogc100,10,8192,990673
80,go-gogc100,11,8192,986471
80,go-gogc100,12,8192,1225760
80,go-gogc100,13,8192,1023664
80,go-gogc100,14,8192,984582
80,go-gogc100,15,8192,985028
80,go-gogc100,16,8192,7219641
80,go-gogc100,17,8192,442775
80,go-gogc100,18,8192,248427
80,go-gogc100,19,8192,234296
80,go-gogc100,20,8192,240378
80,go-gogc100,21,8192,252134
80,go-gogc100,22,8192,277940
80,go-gogc100,23,8192,244039
80,go-gogc100,24,8192,237782
80,go-gogc100,25,8192,255605
80,go-gogc100,26,8192,241872
80,go-gogc100,27,8192,241497
80,go-gogc100,28,8192,238482
80,go-gogc100,29,8192,263616
80,go-gogc100,30,8192,239789
80,go-gogc100,31,8192,244414
80,go-gogc100,32,8192,243978
80,go-gogc100,33,8192,245245
80,go-gogc100,34,8192,243321
80,go-gogc100,35,8192,236925
80,go-gogc100,36,8192,241103
80,go-gogc100,37,8192,269239
80,go-gogc100,38,8192,237822
80,go-gogc100,39,8192,241901
80,go-gogc100,40,8192,242399
80,go-gogc100,41,8192,237143
80,go-gogc100,42,8192,248440
80,go-gogc100,43,8192,260128
80,go-gogc100,44,8192,239035
80,go-gogc100,45,8192,278653
80,go-gogc100,46,8192,235780
80,go-gogc100,47,8192,244834
80,go-gogc100,48,8192,241779
80,go-gogc100,49,8192,247572
80,go-gogc100,50,8192,243848
80,go-gogc100,51,8192,236937
80,go-gogc100,52,8192,244839
80,go-gogc100,53,8192,250388
80,go-gogc100,54,8192,238530
80,go-gogc100,55,8192,250266
80,go-gogc100,56,8192,260809
80,go-gogc100,57,8192,286114
80,go-gogc100,58,8192,261862
80,go-gogc100,59,8192,272145
80,go-gogc100,60,8192,253033
80,go-gogc100,61,8192,251838
80,go-gogc100,62,8192,235277
80,go-gogc100,63,8192,247949
80,go-gogc100,64,8192,303045
80,go-gogc100,65,8192,254170
80,go-gogc100,66,8192,243515
80,go-gogc100,67,8192,238922
80,go-gogc100,68,8192,252637
80,go-gogc100,69,8192,253596
80,go-gogc100,70,8192,356152
80,go-gogc100,71,8192,248099
80,go-gogc100,72,8192,248497
80,go-gogc100,73,8192,244850
80,go-gogc100,74,8192,244641
80,go-gogc100,75,8192,235040
80,go-gogc100,76,8192,252591
80,go-gogc100,77,8192,246934
80,go-gogc100,78,8192,299671
80,go-gogc100,79,8192,264421
80,go-gogc100,80,8192,247074
80,go-gogc100,81,8192,248227
80,go-gogc100,82,8192,245245
80,go-gogc100,83,8192,234027
80,go-gogc100,84,8192,251256
80,go-gogc100,85,8192,269264
80,go-gogc100,86,8192,237884
80,go-gogc100,87,8192,241478
80,go-gogc100,88,8192,240163
80,go-gogc100,89,8192,247428
80,go-gogc100,90,8192,235689
80,go-gogc100,91,8192,240276
80,go-gogc100,92,8192,245710
80,go-gogc100,93,8192,255819
80,go-gogc100,94,8192,244554
80,go-gogc100,95,8192,242052
80,go-gogc100,96,8192,234677
80,go-gogc100,97,8192,253067
80,go-gogc100,98,8192,240091
80,go-gogc100,99,8192,238394
80,go-gogc100,100,8192,243590
80,go-gogc100,101,8192,246015
80,go-gogc100,102,8192,245777
80,go-gogc100,103,8192,240338
80,go-gogc100,104,8192,237860
80,go-gogc100,105,8192,255336
80,go-gogc100,106,8192,261945
80,go-gogc100,107,8192,244367
80,go-gogc100,108,8192,245085
80,go-gogc100,109,8192,263000
80,go-gogc100,110,8192,284354
80,go-gogc100,111,8192,237088
80,go-gogc100,112,8192,237077
80,go-gogc100,113,8192,253933
80,go-gogc100,114,8192,234210
80,go-gogc100,115,8192,244725
80,go-gogc100,116,8192,238780
80,go-gogc100,117,8192,242196
80,go-gogc100,118,8192,245178
80,go-gogc100,119,8192,234190
80,go-gogc100,120,8192,243830
80,go-gogc100,121,8192,269141
80,go-gogc100,122,8192,234029
80,go-gogc100,123,8192,241698
80,go-gogc100,124,8192,240068
80,go-gogc100,125,8192,245553
80,go-gogc100,126,8192,257142
80,go-gogc100,127,8192,290030
80,go-gogc100,128,8192,252955
80,go-gogc100,129,8192,269875
80,go-gogc100,130,8192,351295
80,go-gogc100,131,8192,510740
80,go-gogc100,132,8192,395613
80,go-gogc100,133,8192,394688
80,go-gogc100,134,8192,453048
80,go-gogc100,135,8192,381144
80,go-gogc100,136,8192,346593
80,go-gogc100,137,8192,345733
80,go-gogc100,138,8192,310433
80,go-gogc100,139,8192,270116
80,go-gogc100,140,8192,367681
80,go-gogc100,141,8192,462402
80,go-gogc100,142,8192,387439
80,go-gogc100,143,8192,490713
80,go-gogc100,144,8192,450467
80,go-gogc100,145,8192,412006
80,go-gogc100,146,8192,620205
80,go-gogc100,147,8192,1059837
80,go-gogc100,148,8192,906175
80,go-gogc100,149,8192,1730809
80,go-gogc100,150,8192,732828
80,go-gogc100,151,8192,738150
80,go-gogc100,152,8192,733312
80,go-gogc100,153,8192,736543
80,go-gogc100,154,8192,890246
80,go-gogc100,155,8192,1269697
80,go-gogc100,156,8192,781582
80,go-gogc100,157,8192,734838
80,go-gogc100,158,8192,729382
80,go-gogc100,159,8192,777098
80,go-gogc100,160,8192,1045145
80,go-gogc100,161,8192,851792
80,go-gogc100,162,8192,759233
80,go-gogc100,163,8192,746415
80,go-gogc100,164,8192,748739
80,go-gogc100,165,8192,773280
80,go-gogc100,166,8192,1239856
80,go-gogc100,167,8192,8712992
80,go-gogc100,168,8192,472186
80,go-gogc100,169,8192,502170
80,go-gogc100,170,8192,467764
80,go-gogc100,171,8192,484500
80,go-gogc100,172,8192,459671
80,go-gogc100,173,8192,465450
80,go-gogc100,174,8192,490970
80,go-gogc100,175,8192,492120
80,go-gogc100,176,8192,502606
80,go-gogc100,177,8192,455708
80,go-gogc100,178,8192,474898
80,go-gogc100,179,8192,464250
80,go-gogc100,180,8192,463008
80,go-gogc100,181,8192,473593
80,go-gogc100,182,8192,465646
80,go-gogc100,183,8192,557731
80,go-gogc100,184,8192,470940
80,go-gogc100,185,8192,492582
80,go-gogc100,186,8192,463189
80,go-gogc100,187,8192,542235
80,go-gogc100,188,8192,459503
80,go-gogc100,189,8192,470376
80,go-gogc100,190,8192,513650
80,go-gogc100,191,8192,500283
80,go-gogc100,192,8192,1870110
80,go-gogc100,193,8192,183456
80,go-gogc100,194,8192,176884
80,go-gogc100,195,8192,178847
80,go-gogc100,196,8192,260343
80,go-gogc100,197,8192,180938
80,go-gogc100,198,8192,180410
80,go-gogc100,199,8192,184752
80,go-gogc100,200,8192,180642
80,go-gogc100,201,8192,186065
80,go-gogc100,202,8192,184558
80,go-gogc100,203,8192,187674
80,go-gogc100,204,8192,181987
80,go-gogc100,205,8192,182843
80,go-gogc100,206,8192,199939
80,go-gogc100,207,8192,203524
80,go-gogc100,208,8192,180948
80,go-gogc100,209,8192,178440
80,go-gogc100,210,8192,189010
80,go-gogc100,211,8192,182199
80,go-gogc100,212,8192,211154
80,go-gogc100,213,8192,191680
80,go-gogc100,214,8192,187098
80,go-gogc100,215,8192,184982
80,go-gogc100,216,8192,185593
80,go-gogc100,217,8192,190515
80,go-gogc100,218,8192,182834
80,go-gogc100,219,8192,180758
80,go-gogc100,220,8192,194832
80,go-gogc100,221,8192,201385
80,go-gogc100,222,8192,202227
80,go-gogc100,223,8192,195999
80,go-gogc100,224,8192,194247
80,go-gogc100,225,8192,187899
80,go-gogc100,226,8192,204224
80,go-gogc100,227,8192,208341
80,go-gogc100,228,8192,228020
80,go-gogc100,229,8192,235850
80,go-gogc100,230,8192,234684
80,go-gogc100,231,8192,200848
80,go-gogc100,232,8192,201521
80,go-gogc100,233,8192,201854
80,go-gogc100,234,8192,202158
80,go-gogc100,235,8192,194108
80,go-gogc100,236,8192,220431
80,go-gogc100,237,8192,201430
80,go-gogc100,238,8192,190784
80,go-gogc100,239,8192,210580
80,go-gogc100,240,8192,195447
80,go-gogc100,241,8192,190625
80,go-gogc100,242,8192,195792
80,go-gogc100,243,8192,201172
80,go-gogc100,244,8192,197674
80,go-gogc100,245,8192,199483
80,go-gogc100,246,8192,194156
80,go-gogc100,247,8192,206743
80,go-gogc100,248,8192,211531
80,go-gogc100,249,8192,195753
80,go-gogc100,250,8192,185535
80,go-gogc100,251,8192,192866
80,go-gogc100,252,8192,201443
80,go-gogc100,253,8192,201353
80,go-gogc100,254,8192,191738
80,go-gogc100,255,8192,195714
80,go-gogc100,256,8192,204033
80,go-gogc100,257,8192,220526
80,go-gogc100,258,8192,199275
80,go-gogc100,259,8192,201211
80,go-gogc100,260,8192,194545
80,go-gogc100,261,8192,194752
80,go-gogc100,262,8192,220979
80,go-gogc100,263,8192,192395
80,go-gogc100,264,8192,194043
80,go-gogc100,265,8192,192269
80,go-gogc100,266,8192,195237
80,go-gogc100,267,8192,337861
80,go-gogc100,268,8192,973043
80,go-gogc100,269,8192,533027
80,go-gogc100,270,8192,174481
80,go-gogc100,271,8192,192394
80,go-gogc100,272,8192,180597
80,go-gogc100,273,8192,187721
80,go-gogc100,274,8192,165145
80,go-gogc100,275,8192,177222
80,go-gogc100,276,8192,183731
80,go-gogc100,277,8192,181573
80,go-gogc100,278,8192,178995
80,go-gogc100,279,8192,177509
80,go-gogc100,280,8192,190041
80,go-gogc100,281,8192,238112
80,go-gogc100,282,8192,190354
80,go-gogc100,283,8192,217005
80,go-gogc100,284,8192,205028
80,go-gogc100,285,8192,199154
80,go-gogc100,286,8192,183712
80,go-gogc100,287,8192,182363
80,go-gogc100,288,8192,188935
80,go-gogc100,289,8192,185266
80,go-gogc100,290,8192,186045
80,go-gogc100,291,8192,191990
80,go-gogc100,292,8192,188457
80,go-gogc100,293,8192,176925
80,go-gogc100,294,8192,182618
80,go-gogc100,295,8192,176095
80,go-gogc100,296,8192,181678
80,go-gogc100,297,8192,168696
80,go-gogc100,298,8192,185060
80,go-gogc100,299,8192,179378
80,go-gogc100,300,8192,171475
80,go-gogc100,301,8192,187029
80,go-gogc100,302,8192,190629
80,go-gogc100,303,8192,198097
80,go-gogc100,304,8192,202690
80,go-gogc100,305,8192,207349
80,go-gogc100,306,8192,185015
80,go-gogc100,307,8192,194134
80,go-gogc100,308,8192,187310
80,go-gogc100,309,8192,182321
80,go-gogc100,310,8192,178999
80,go-gogc100,311,8192,179049
80,go-gogc100,312,8192,183468
80,go-gogc100,313,8192,194872
80,go-gogc100,314,8192,176139
80,go-gogc100,315,8192,182696
80,go-gogc100,316,8192,176891
80,go-gogc100,317,8192,183896
80,go-gogc100,318,8192,177618
80,go-gogc100,319,8192,187504
80,go-gogc100,320,8192,177066
80,go-gogc100,321,8192,172606
80,go-gogc100,322,8192,186137
80,go-gogc100,323,8192,189716
80,go-gogc100,324,8192,189952
80,go-gogc100,325,8192,183293
80,go-gogc100,326,8192,178459
80,go-gogc100,327,8192,177104
80,go-gogc100,328,8192,177809
80,go-gogc100,329,8192,173124
