run_id,mode,step,workload,elements,elapsed_ns,result,cpu
99,node,0,hash_chain,65536,4174261,2601340f9235852a,-1
99,node,0,dot,65536,1633147,40d00d876b11f984,-1
99,node,1,hash_chain,65536,1698654,2601340f9235852a,-1
99,node,1,dot,65536,124336,40d00d876b11f984,-1
99,node,2,hash_chain,65536,1533974,2601340f9235852a,-1
99,node,2,dot,65536,94428,40d00d876b11f984,-1
99,node,3,hash_chain,65536,1581391,2601340f9235852a,-1
99,node,3,dot,65536,79602,40d00d876b11f984,-1
99,node,4,hash_chain,65536,1496363,2601340f9235852a,-1
99,node,4,dot,65536,73515,40d00d876b11f984,-1
99,node,5,hash_chain,65536,1542458,2601340f9235852a,-1
99,node,5,dot,65536,72430,40d00d876b11f984,-1
99,node,6,hash_chain,65536,1512545,2601340f9235852a,-1
99,node,6,dot,65536,71664,40d00d876b11f984,-1
99,node,7,hash_chain,65536,1587022,2601340f9235852a,-1
99,node,7,dot,65536,71455,40d00d876b11f984,-1
99,node,8,hash_chain,65536,1481890,2601340f9235852a,-1
99,node,8,dot,65536,71578,40d00d876b11f984,-1
99,node,9,hash_chain,65536,1521648,2601340f9235852a,-1
99,node,9,dot,65536,71474,40d00d876b11f984,-1
99,node,10,hash_chain,65536,1489167,2601340f9235852a,-1
99,node,10,dot,65536,70844,40d00d876b11f984,-1
99,node,11,hash_chain,65536,1555518,2601340f9235852a,-1
99,node,11,dot,65536,70976,40d00d876b11f984,-1
99,node,12,hash_chain,65536,1486463,2601340f9235852a,-1
99,node,12,dot,65536,71499,40d00d876b11f984,-1
99,node,13,hash_chain,65536,1516851,2601340f9235852a,-1
99,node,13,dot,65536,72060,40d00d876b11f984,-1
99,node,14,hash_chain,65536,1568322,2601340f9235852a,-1
99,node,14,dot,65536,71093,40d00d876b11f984,-1
99,node,15,hash_chain,65536,1464934,2601340f9235852a,-1
99,node,15,dot,65536,71091,40d00d876b11f984,-1
99,node,16,hash_chain,65536,1541329,2601340f9235852a,-1
99,node,16,dot,65536,70635,40d00d876b11f984,-1
99,node,17,hash_chain,65536,1480871,2601340f9235852a,-1
99,node,17,dot,65536,70548,40d00d876b11f984,-1
99,node,18,hash_chain,65536,1581226,2601340f9235852a,-1
99,node,18,dot,65536,70734,40d00d876b11f984,-1
99,node,19,hash_chain,65536,1511435,2601340f9235852a,-1
99,node,19,dot,65536,71083,40d00d876b11f984,-1
99,node,20,hash_chain,65536,1532660,2601340f9235852a,-1
99,node,20,dot,65536,70536,40d00d876b11f984,-1
99,node,21,hash_chain,65536,1504562,2601340f9235852a,-1
99,node,21,dot,65536,71019,40d00d876b11f984,-1
99,node,22,hash_chain,65536,1534211,2601340f9235852a,-1
99,node,22,dot,65536,75227,40d00d876b11f984,-1
99,node,23,hash_chain,65536,1506114,2601340f9235852a,-1
99,node,23,dot,65536,74403,40d00d876b11f984,-1
99,node,24,hash_chain,65536,1586267,2601340f9235852a,-1
99,node,24,dot,65536,73982,40d00d876b11f984,-1
99,node,25,hash_chain,65536,1581791,2601340f9235852a,-1
99,node,25,dot,65536,72587,40d00d876b11f984,-1
99,node,26,hash_chain,65536,1603074,2601340f9235852a,-1
99,node,26,dot,65536,71518,40d00d876b11f984,-1
99,node,27,hash_chain,65536,1482101,2601340f9235852a,-1
99,node,27,dot,65536,70528,40d00d876b11f984,-1
99,node,28,hash_chain,65536,1575279,2601340f9235852a,-1
99,node,28,dot,65536,70686,40d00d876b11f984,-1
99,node,29,hash_chain,65536,1487652,2601340f9235852a,-1
99,node,29,dot,65536,75981,40d00d876b11f984,-1
99,node,30,hash_chain,65536,1567026,2601340f9235852a,-1
99,node,30,dot,65536,70645,40d00d876b11f984,-1
99,node,31,hash_chain,65536,1756341,2601340f9235852a,-1
99,node,31,dot,65536,70765,40d00d876b11f984,-1
99,node,32,hash_chain,65536,2177554,2601340f9235852a,-1
99,node,32,dot,65536,71552,40d00d876b11f984,-1
99,node,33,hash_chain,65536,1595504,2601340f9235852a,-1
99,node,33,dot,65536,78594,40d00d876b11f984,-1
99,node,34,hash_chain,65536,1568816,2601340f9235852a,-1
99,node,34,dot,65536,77241,40d00d876b11f984,-1
99,node,35,hash_chain,65536,1869281,2601340f9235852a,-1
99,node,35,dot,65536,76808,40d00d876b11f984,-1
99,node,36,hash_chain,65536,1798677,2601340f9235852a,-1
99,node,36,dot,65536,71130,40d00d876b11f984,-1
99,node,37,hash_chain,65536,1614750,2601340f9235852a,-1
99,node,37,dot,65536,71719,40d00d876b11f984,-1
99,node,38,hash_chain,65536,1480222,2601340f9235852a,-1
99,node,38,dot,65536,72571,40d00d876b11f984,-1
99,node,39,hash_chain,65536,1565021,2601340f9235852a,-1
99,node,39,dot,65536,73818,40d00d876b11f984,-1
99,node,40,hash_chain,65536,1501281,2601340f9235852a,-1
99,node,40,dot,65536,74322,40d00d876b11f984,-1
99,node,41,hash_chain,65536,1539879,2601340f9235852a,-1
99,node,41,dot,65536,80051,40d00d876b11f984,-1
99,node,42,hash_chain,65536,1508230,2601340f9235852a,-1
99,node,42,dot,65536,77884,40d00d876b11f984,-1
99,node,43,hash_chain,65536,1557272,2601340f9235852a,-1
99,node,43,dot,65536,75232,40d00d876b11f984,-1
99,node,44,hash_chain,65536,1535288,2601340f9235852a,-1
99,node,44,dot,65536,76259,40d00d876b11f984,-1
99,node,45,hash_chain,65536,1582653,2601340f9235852a,-1
99,node,45,dot,65536,77723,40d00d876b11f984,-1
99,node,46,hash_chain,65536,1547879,2601340f9235852a,-1
99,node,46,dot,65536,79023,40d00d876b11f984,-1
99,node,47,hash_chain,65536,1493003,2601340f9235852a,-1
99,node,47,dot,65536,77747,40d00d876b11f984,-1
99,node,48,hash_chain,65536,1546606,2601340f9235852a,-1
99,node,48,dot,65536,77645,40d00d876b11f984,-1
99,node,49,hash_chain,65536,1517502,2601340f9235852a,-1
99,node,49,dot,65536,77265,40d00d876b11f984,-1
99,node,50,hash_chain,65536,1565369,2601340f9235852a,-1
99,node,50,dot,65536,75279,40d00d876b11f984,-1
99,node,51,hash_chain,65536,1518906,2601340f9235852a,-1
99,node,51,dot,65536,75578,40d00d876b11f984,-1
99,node,52,hash_chain,65536,1556581,2601340f9235852a,-1
99,node,52,dot,65536,74436,40d00d876b11f984,-1
99,node,53,hash_chain,65536,1496551,2601340f9235852a,-1
99,node,53,dot,65536,75146,40d00d876b11f984,-1
99,node,54,hash_chain,65536,1567720,2601340f9235852a,-1
99,node,54,dot,65536,74626,40d00d876b11f984,-1
99,node,55,hash_chain,65536,1635078,2601340f9235852a,-1
99,node,55,dot,65536,76832,40d00d876b11f984,-1
99,node,56,hash_chain,65536,1598029,2601340f9235852a,-1
99,node,56,dot,65536,73676,40d00d876b11f984,-1
99,node,57,hash_chain,65536,1503044,2601340f9235852a,-1
99,node,57,dot,65536,73987,40d00d876b11f984,-1
99,node,58,hash_chain,65536,1642987,2601340f9235852a,-1
99,node,58,dot,65536,73532,40d00d876b11f984,-1
99,node,59,hash_chain,65536,1528469,2601340f9235852a,-1
99,node,59,dot,65536,71204,40d00d876b11f984,-1
99,node,60,hash_chain,65536,1554492,2601340f9235852a,-1
99,node,60,dot,65536,70929,40d00d876b11f984,-1
99,node,61,hash_chain,65536,1579329,2601340f9235852a,-1
99,node,61,dot,65536,70581,40d00d876b11f984,-1
99,node,62,hash_chain,65536,1490020,2601340f9235852a,-1
99,node,62,dot,65536,71132,40d00d876b11f984,-1
99,node,63,hash_chain,65536,1588865,2601340f9235852a,-1
99,node,63,dot,65536,71109,40d00d876b11f984,-1
99,node,64,hash_chain,65536,1543072,2601340f9235852a,-1
99,node,64,dot,65536,71812,40d00d876b11f984,-1
99,node,65,hash_chain,65536,1587194,2601340f9235852a,-1
99,node,65,dot,65536,76418,40d00d876b11f984,-1
99,node,66,hash_chain,65536,1499736,2601340f9235852a,-1
99,node,66,dot,65536,70519,40d00d876b11f984,-1
99,node,67,hash_chain,65536,1525918,2601340f9235852a,-1
99,node,67,dot,65536,70494,40d00d876b11f984,-1
99,node,68,hash_chain,65536,1475817,2601340f9235852a,-1
99,node,68,dot,65536,70902,40d00d876b11f984,-1
99,node,69,hash_chain,65536,1542363,2601340f9235852a,-1
99,node,69,dot,65536,70462,40d00d876b11f984,-1
99,node,70,hash_chain,65536,1456269,2601340f9235852a,-1
99,node,70,dot,65536,70522,40d00d876b11f984,-1
99,node,71,hash_chain,65536,1565720,2601340f9235852a,-1
99,node,71,dot,65536,70841,40d00d876b11f984,-1
99,node,72,hash_chain,65536,1492551,2601340f9235852a,-1
99,node,72,dot,65536,71144,40d00d876b11f984,-1
99,node,73,hash_chain,65536,1527536,2601340f9235852a,-1
99,node,73,dot,65536,71364,40d00d876b11f984,-1
99,node,74,hash_chain,65536,1503572,2601340f9235852a,-1
99,node,74,dot,65536,71678,40d00d876b11f984,-1
99,node,75,hash_chain,65536,1537813,2601340f9235852a,-1
99,node,75,dot,65536,77733,40d00d876b11f984,-1
99,node,76,hash_chain,65536,1569370,2601340f9235852a,-1
99,node,76,dot,65536,77028,40d00d876b11f984,-1
99,node,77,hash_chain,65536,1493053,2601340f9235852a,-1
99,node,77,dot,65536,78658,40d00d876b11f984,-1
99,node,78,hash_chain,65536,1542018,2601340f9235852a,-1
99,node,78,dot,65536,77292,40d00d876b11f984,-1
99,node,79,hash_chain,65536,1520160,2601340f9235852a,-1
99,node,79,dot,65536,76479,40d00d876b11f984,-1
99,node,80,hash_chain,65536,1567880,2601340f9235852a,-1
99,node,80,dot,65536,75664,40d00d876b11f984,-1
99,node,81,hash_chain,65536,1569402,2601340f9235852a,-1
99,node,81,dot,65536,81773,40d00d876b11f984,-1
99,node,82,hash_chain,65536,1605664,2601340f9235852a,-1
99,node,82,dot,65536,72509,40d00d876b11f984,-1
99,node,83,hash_chain,65536,1532596,2601340f9235852a,-1
99,node,83,dot,65536,73885,40d00d876b11f984,-1
99,node,84,hash_chain,65536,1551240,2601340f9235852a,-1
99,node,84,dot,65536,73487,40d00d876b11f984,-1
99,node,85,hash_chain,65536,1526034,2601340f9235852a,-1
99,node,85,dot,65536,72796,40d00d876b11f984,-1
99,node,86,hash_chain,65536,1639945,2601340f9235852a,-1
99,node,86,dot,65536,82929,40d00d876b11f984,-1
99,node,87,hash_chain,65536,1519198,2601340f9235852a,-1
99,node,87,dot,65536,72082,40d00d876b11f984,-1
99,node,88,hash_chain,65536,1557957,2601340f9235852a,-1
99,node,88,dot,65536,70549,40d00d876b11f984,-1
99,node,89,hash_chain,65536,1473697,2601340f9235852a,-1
99,node,89,dot,65536,70487,40d00d876b11f984,-1
99,node,90,hash_chain,65536,1517667,2601340f9235852a,-1
99,node,90,dot,65536,70422,40d00d876b11f984,-1
99,node,91,hash_chain,65536,1548330,2601340f9235852a,-1
99,node,91,dot,65536,81939,40d00d876b11f984,-1
99,node,92,hash_chain,65536,1551083,2601340f9235852a,-1
99,node,92,dot,65536,520262,40d00d876b11f984,-1
99,node,93,hash_chain,65536,1659709,2601340f9235852a,-1
99,node,93,dot,65536,130806,40d00d876b11f984,-1
99,node,94,hash_chain,65536,2157835,2601340f9235852a,-1
99,node,94,dot,65536,1588872,40d00d876b11f984,-1
99,node,95,hash_chain,65536,5970757,2601340f9235852a,-1
99,node,95,dot,65536,63371,40d00d876b11f984,-1
99,node,96,hash_chain,65536,11953272,2601340f9235852a,-1
99,node,96,dot,65536,123767,40d00d876b11f984,-1
99,node,97,hash_chain,65536,836173,2601340f9235852a,-1
99,node,97,dot,65536,108294,40d00d876b11f984,-1
99,node,98,hash_chain,65536,633444,2601340f9235852a,-1
99,node,98,dot,65536,107502,40d00d876b11f984,-1
99,node,99,hash_chain,65536,603839,2601340f9235852a,-1
99,node,99,dot,65536,108265,40d00d876b11f984,-1
99,node,100,hash_chain,65536,603395,2601340f9235852a,-1
99,node,100,dot,65536,101611,40d00d876b11f984,-1
99,node,101,hash_chain,65536,554412,2601340f9235852a,-1
99,node,101,dot,65536,177936,40d00d876b11f984,-1
99,node,102,hash_chain,65536,672180,2601340f9235852a,-1
99,node,102,dot,65536,92319,40d00d876b11f984,-1
99,node,103,hash_chain,65536,509700,2601340f9235852a,-1
99,node,103,dot,65536,90410,40d00d876b11f984,-1
99,node,104,hash_chain,65536,466648,2601340f9235852a,-1
99,node,104,dot,65536,92757,40d00d876b11f984,-1
99,node,105,hash_chain,65536,519249,2601340f9235852a,-1
99,node,105,dot,65536,88106,40d00d876b11f984,-1
99,node,106,hash_chain,65536,450782,2601340f9235852a,-1
99,node,106,dot,65536,89441,40d00d876b11f984,-1
99,node,107,hash_chain,65536,511696,2601340f9235852a,-1
99,node,107,dot,65536,87157,40d00d876b11f984,-1
99,node,108,hash_chain,65536,509750,2601340f9235852a,-1
99,node,108,dot,65536,86392,40d00d876b11f984,-1
99,node,109,hash_chain,65536,449405,2601340f9235852a,-1
99,node,109,dot,65536,84364,40d00d876b11f984,-1
99,node,110,hash_chain,65536,559100,2601340f9235852a,-1
99,node,110,dot,65536,91160,40d00d876b11f984,-1
99,node,111,hash_chain,65536,428933,2601340f9235852a,-1
99,node,111,dot,65536,65929,40d00d876b11f984,-1
99,node,112,hash_chain,65536,436118,2601340f9235852a,-1
99,node,112,dot,65536,63187,40d00d876b11f984,-1
99,node,113,hash_chain,65536,395581,2601340f9235852a,-1
99,node,113,dot,65536,63260,40d00d876b11f984,-1
99,node,114,hash_chain,65536,433179,2601340f9235852a,-1
99,node,114,dot,65536,62572,40d00d876b11f984,-1
99,node,115,hash_chain,65536,377937,2601340f9235852a,-1
99,node,115,dot,65536,62599,40d00d876b11f984,-1
99,node,116,hash_chain,65536,420828,2601340f9235852a,-1
99,node,116,dot,65536,62607,40d00d876b11f984,-1
99,node,117,hash_chain,65536,382563,2601340f9235852a,-1
99,node,117,dot,65536,62526,40d00d876b11f984,-1
99,node,118,hash_chain,65536,444721,2601340f9235852a,-1
99,node,118,dot,65536,62594,40d00d876b11f984,-1
99,node,119,hash_chain,65536,433459,2601340f9235852a,-1
99,node,119,dot,65536,62711,40d00d876b11f984,-1
99,node,120,hash_chain,65536,444499,2601340f9235852a,-1
99,node,120,dot,65536,59966,40d00d876b11f984,-1
99,node,121,hash_chain,65536,385824,2601340f9235852a,-1
