run_id,core,seed,sample,round,phase,position,label,param,ops,units_per_op,elapsed_ns,deferred_ns,result,expected,resident_before,resident_after,file_pages,read_syscalls,write_syscalls,read_bytes,write_bytes,cancelled_write_bytes,device_reads,device_read_sectors,device_writes,device_write_sectors,device_flushes,journal_commits,deferred_device_writes,deferred_device_write_sectors,deferred_device_flushes,deferred_journal_commits,voluntary_switches,involuntary_switches,cpu_before,cpu_after
1,P,20260921,0,0,warmup,0,append_fsync,256,1,256,8294462,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,10,2088,1,1,0,0,0,0,2,0,11,11
1,P,20260921,1,0,warmup,1,append_buffered,0,256,1,1134408,7200821,256,256,0,0,65536,2,256,0,1048576,0,0,0,0,0,0,0,10,2088,1,1,0,0,11,11
1,P,20260921,2,0,warmup,2,append_fsync,4,64,4,436667373,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,192,5240,64,64,0,0,0,0,128,0,11,11
1,P,20260921,3,0,warmup,3,append_fsync,1,256,1,1787214951,0,256,256,0,0,65536,2,256,0,1048576,0,2,40,808,19320,256,256,0,0,0,0,512,1,11,11
1,P,20260921,4,0,warmup,4,overwrite_fdatasync_folio,1,256,1,532638408,0,256,256,0,0,65536,2,256,0,268435456,0,0,0,512,2048,256,0,0,0,0,0,511,1,11,11
1,P,20260921,5,0,warmup,5,seq_read_cold,0,2048,32,101042930,0,65536,65536,0,65536,65536,2050,0,268435456,0,0,2048,524288,0,0,0,0,0,0,0,0,205,1,11,11
1,P,20260921,6,0,warmup,6,tmpfs_append_fsync,1,256,1,540142,0,256,256,0,0,65536,2,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
1,P,20260921,7,0,warmup,7,rand_read_warm,0,256,1,343335,0,256,256,65536,65536,65536,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
1,P,20260921,8,0,warmup,8,rand_read_cold,0,256,1,17308923,0,256,256,0,256,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
1,P,20260921,9,0,warmup,9,rand_read_direct,0,256,1,13657431,0,256,256,256,256,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
1,P,20260921,10,0,warmup,10,overwrite_fdatasync,1,256,1,535201270,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,514,2232,256,0,0,0,0,0,511,1,11,11
1,P,20260921,11,0,warmup,11,append_fsync,16,16,16,114789274,0,256,256,0,0,65536,2,256,4096,1048576,0,1,8,48,2840,16,16,0,0,0,0,33,0,11,11
1,P,20260921,12,0,warmup,12,append_fsync,64,4,64,30322534,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,16,2208,4,4,0,0,0,0,8,0,11,11
1,P,20260921,13,0,warmup,13,overwrite_fsync,1,256,1,1761576298,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,769,8632,256,256,0,0,0,0,512,0,11,11
1,P,20260921,14,0,warmup,14,rand_read_cold_bis,0,256,1,15043691,0,256,256,0,256,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
1,P,20260921,15,0,warmup,15,overwrite_fdatasync_bis,1,256,1,512038104,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,512,2048,256,0,0,0,0,0,512,2,11,11
1,P,20260921,16,0,warmup,16,rand_read_direct_double,0,256,2,28024501,0,512,512,256,256,65536,514,0,2097152,0,0,512,4096,0,0,0,0,0,0,0,0,512,0,11,11
1,P,20260921,17,0,warmup,17,seq_read_warm,0,2048,32,45237324,0,65536,65536,65536,65536,65536,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
1,P,20260921,18,0,warmup,18,seq_read_direct,0,2048,32,162794324,0,65536,65536,65536,65536,65536,2050,0,268435456,0,0,2048,524288,0,0,0,0,0,0,0,0,2048,3,11,11
1,P,20260921,19,0,warmup,19,append_fdatasync,1,256,1,1718894914,0,256,256,0,0,65536,2,256,0,1048576,0,2,16,788,20256,256,256,0,0,0,0,512,0,11,11
1,P,20260921,20,0,warmup,20,overwrite_odsync,1,256,1,487255946,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,522,2208,260,2,0,0,0,0,512,1,11,11
1,P,20260921,21,0,warmup,21,overwrite_fdatasync_double,1,256,2,976931760,0,512,512,0,0,65536,2,512,0,2097152,0,0,0,1024,4096,512,0,0,0,0,0,1024,3,11,11
1,P,20260921,22,0,warmup,22,overwrite_odsync_folio,1,256,1,464224810,0,256,256,0,0,65536,2,256,0,268435456,0,0,0,518,2296,256,0,0,0,0,0,512,0,11,11
