run_id,build,cpu,seed,rounds,warmup_rounds,scale_log2
1,c-O3,11,20260922,3,1,0
2,go,11,20260922,3,1,0
3,python,11,20260922,3,1,0
4,c-O2,11,20260922,3,1,0
5,rust,11,20260922,3,1,0
